"","Concentrated","Petition_1","Petition_2","Petition_3","Petition_4","Petition_5","Petition_6","Petition_7","Petition_8","Age","Gender","Ethnicity_1","Ethnicity_2","Ethnicity_3","Ethnicity_4","Ethnicity_5","Ethnicity_6","Religion","Services","Confidence_religion","Pak","Politics","Morals","Conservative","Education","Income","Q215","Ladder","Ladder_resp","Employed","LostJob","Technical","code"
"1",NA,NA,NA,1,NA,1,NA,1,NA,62,1,NA,NA,NA,NA,1,NA,7,1,-4,2,3,4,4,6,5,1,1,6,2,2,1,NA
"2",NA,NA,NA,1,NA,NA,NA,NA,NA,35,1,NA,NA,1,NA,NA,NA,10,3,2,1,4,5,3,3,3,1,1,4,1,2,2,1
"3",1,NA,NA,1,1,1,1,NA,1,45,2,NA,NA,NA,NA,1,NA,1,5,3,1,1,6,6,4,3,1,1,4,1,1,2,1
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1,1,NA,NA,NA,NA,NA,1,4,-2,1,2,7,7,6,4,1,1,6,1,2,2,1
"5",1,NA,NA,1,1,1,NA,1,1,49,1,1,NA,NA,NA,NA,NA,0,1,-4,1,2,6,6,3,3,1,1,8,1,2,1,1
"6",NA,1,1,1,1,1,1,1,1,28,2,NA,NA,1,NA,NA,NA,1,2,0,2,4,4,4,4,2,1,1,6,1,2,2,1
"7",1,NA,1,1,NA,NA,1,1,1,24,2,1,NA,NA,NA,NA,NA,1,4,4,2,2,4,7,4,2,1,1,6,1,2,1,1
"8",1,NA,NA,NA,NA,NA,NA,NA,NA,58,2,1,NA,NA,NA,NA,NA,7,1,-2,1,3,6,4,4,2,1,1,9,2,2,1,1
"9",1,NA,1,1,1,1,1,NA,1,27,1,1,NA,NA,NA,NA,NA,7,1,-2,1,3,6,4,5,3,1,1,7,1,2,2,1
"10",1,NA,NA,NA,NA,NA,NA,1,1,40,2,NA,NA,NA,NA,1,NA,10,1,-4,1,4,6,4,5,5,1,1,5,1,2,1,1
"11",NA,NA,1,1,1,1,1,1,1,41,2,1,NA,NA,NA,NA,NA,1,2,2,1,1,7,2,5,3,1,1,7,2,2,1,1
"12",NA,1,1,NA,NA,1,1,NA,1,29,1,1,NA,NA,NA,NA,NA,1,4,1,1,2,5,4,5,3,1,1,5,1,2,1,1
"13",1,NA,NA,NA,NA,1,NA,NA,1,38,2,NA,NA,1,NA,NA,NA,0,5,4,1,3,6,4,2,2,1,1,1,1,1,1,NA
"14",1,NA,1,1,1,1,1,1,1,27,1,1,NA,NA,NA,NA,NA,0,1,-2,2,1,5,2,6,2,1,1,7,2,2,1,1
"15",NA,NA,NA,NA,NA,NA,1,NA,NA,38,2,1,NA,NA,NA,NA,NA,7,1,-4,2,1,4,1,5,5,1,1,3,1,2,1,1
