"","id","estimation_condition","low_rep_est1","low_rep_est2","low_rep_est3","low_rep_est4","low_rep_est5","low_rep_est6","low_rep_est_all","addiction1","addiction2","addiction3","addiction4","addiction5","addiction6","imc","addiction7","addiction8","dependency1","dependency2","dependency3","dependency4","dependency5","hour","minute","rm1","rm2","rm3","rm4","rm5","rm6","rm7","rm8","rm9","rm10","rm11","rm12","female","age"
"1",467,1,2,4,4,2,4,2,4,3,2,1,1,5,6,2,5,5,3,1,4,2,1,0,0,4,3,5,5,5,4,3,4,4,4,3,3,1,51
"2",285,1,2,3,4,1,1,1,3,2,1,1,2,1,3,2,3,3,1,3,3,4,2,0,40,2,4,2,3,4,5,4,5,3,4,3,2,1,41
"3",305,0,3,4,4,3,3,3,5,3,5,1,3,1,1,2,1,1,2,2,1,2,3,0,0,5,3,4,3,4,4,5,3,5,4,3,4,2,49
"4",485,0,2,3,4,2,3,1,5,1,3,1,5,3,3,2,2,3,3,1,2,1,4,0,10,3,3,4,3,3,4,3,3,4,6,3,3,1,53
"5",444,1,1,1,1,4,3,1,3,2,2,3,2,5,3,2,1,4,2,1,1,1,1,1,5,2,3,5,4,3,2,4,3,2,4,4,3,1,46
"6",163,1,3,3,4,2,3,2,2,3,6,2,1,4,1,2,3,1,1,1,2,2,2,0,20,4,4,4,4,2,3,4,3,6,5,5,3,1,59
"7",462,1,1,1,4,2,2,2,6,3,2,1,1,3,2,2,2,1,1,1,1,3,2,0,5,4,2,5,1,4,1,5,5,4,4,4,3,1,21
"8",316,1,3,4,3,2,4,3,3,1,2,2,3,4,2,2,5,1,3,3,1,4,1,0,2,4,3,1,4,4,5,4,5,4,1,4,4,1,54
"9",377,1,2,5,2,3,2,3,3,2,5,1,5,5,4,2,5,2,3,2,1,5,3,0,5,3,2,3,3,3,5,3,2,3,5,3,4,2,35
"10",239,0,2,4,6,2,3,2,5,1,2,1,3,5,4,2,4,1,1,2,2,2,2,0,0,3,3,4,4,4,4,2,3,4,3,4,3,1,39
"11",509,1,1,2,3,2,2,2,6,3,5,5,3,3,2,2,6,1,1,2,3,1,2,1,30,6,4,4,4,3,3,3,4,4,4,4,3,1,42
