"id","estimation_condition","low_rep_est1","low_rep_est2","low_rep_est3","low_rep_est4","low_rep_est5","low_rep_est6","low_rep_est_all","addiction1","addiction2","addiction3","addiction4","addiction5","addiction6","imc","addiction7","addiction8","dependency1","dependency2","dependency3","dependency4","dependency5","hour","minute","rm1","rm2","rm3","rm4","rm5","rm6","rm7","rm8","rm9","rm10","rm11","rm12","female","age"
190,0,3,3,3,2,2,2,3,1,4,2,1,5,2,2,2,1,1,2,1,1,1,0,10,3,3,4,3,4,4,4,4,2,5,4,4,1,58
577,0,2,3,3,2,3,1,3,2,1,1,4,4,2,2,3,1,2,2,3,1,2,0,0,3,4,4,4,3,4,4,4,4,4,3,3,1,43
496,1,1,1,5,1,1,2,5,3,2,2,4,4,1,2,1,1,2,2,2,1,2,0,5,4,3,4,4,5,4,4,4,4,5,3,3,2,48
588,0,2,2,5,2,3,2,4,1,2,2,3,1,3,2,2,1,2,1,1,1,1,0,30,3,3,1,3,2,3,2,3,3,3,4,4,1,64
523,0,3,3,3,2,2,2,4,2,3,1,3,5,1,2,2,1,3,1,1,1,1,1,5,5,4,4,3,4,5,5,5,2,5,3,2,2,72
637,1,4,4,3,4,3,3,2,3,1,1,2,4,2,2,3,1,2,1,2,1,2,1,10,3,4,4,4,4,3,4,4,2,3,3,3,1,58
497,0,2,2,4,1,1,1,5,1,1,1,1,5,1,2,1,2,4,1,1,2,2,0,5,4,5,5,4,4,5,3,4,2,5,2,2,1,47
232,0,1,2,3,1,2,2,5,1,1,1,2,3,2,2,2,2,1,1,2,1,2,0,5,5,5,5,5,4,3,3,4,5,4,3,3,1,55
432,0,5,6,2,5,5,4,1,2,3,2,3,5,3,2,3,2,3,1,2,1,1,0,0,3,3,4,3,4,4,3,4,4,4,3,3,2,32
321,0,2,1,3,1,2,1,4,3,3,1,2,7,2,2,3,1,1,1,1,1,2,0,20,4,5,5,3,5,5,3,4,3,5,3,2,2,60
209,1,3,3,2,3,2,3,3,1,1,2,1,5,2,2,3,2,1,2,2,1,2,0.5,20,3,2,6,4,4,5,4,4,4,4,4,3,1,37
398,0,2,2,4,1,1,1,3,1,1,2,1,2,1,2,3,2,2,2,2,2,3,1,30,3,3,4,4,4,5,5,3,5,4,6,6,2,52
326,1,2,3,1,4,3,3,2,2,2,1,4,4,1,2,4,2,2,3,2,2,3,0,5,4,4,4,3,5,5,3,4,4,5,3,4,1,38
438,0,3,3,4,3,2,2,6,1,1,5,4,2,2,2,2,1,2,1,3,1,3,0,30,3,3,4,4,3,5,5,3,3,3,3,3,1,21
362,0,3,3,3,3,3,3,3,2,1,2,2,2,1,2,1,2,1,1,1,1,1,0,3,3,3,4,3,5,4,3,4,2,3,2,2,2,42
237,1,3,4,3,2,3,3,4,5,6,6,5,6,5,2,5,4,4,3,4,5,3,1,20,3,2,3,4,5,2,4,3,4,3,5,4,2,38
695,0,4,4,5,3,3,4,3,5,4,2,5,6,4,2,6,6,2,1,2,3,2,0,5,2,2,3,4,4,3,4,3,4,4,3,3,2,37
415,1,3,3,4,2,3,3,3,4,4,4,3,6,4,2,4,4,3,4,4,3,2,0,15,4,3,4,5,6,4,4,5,3,5,3,3,1,42
243,1,2,2,4,2,3,2,3,3,2,2,3,2,2,2,2,3,2,2,3,2,5,0,5,5,4,5,3,2,3,2,2,2,3,1,2,1,38
160,1,1,1,5,1,1,1,5,2,3,1,4,5,2,2,2,1,1,1,2,1,2,0,10,5,4,5,4,4,4,3,5,4,5,4,3,1,40
586,0,1,2,6,1,1,1,6,1,1,1,2,4,1,2,2,1,1,1,1,2,2,0,0,4,5,4,5,4,4,3,3,2,4,2,2,1,53
247,0,3,3,5,3,3,2,3,1,1,1,1,4,2,2,1,1,2,1,1,1,1,0,10,3,4,5,5,5,5,3,3,3,5,3,3,2,44
330,1,3,2,3,2,2,2,4,3,2,2,1,5,2,2,2,1,2,2,1,1,2,0,30,4,3,5,3,4,5,4,4,5,4,4,4,1,50
318,0,3,1,3,2,2,3,3,2,1,1,1,5,1,2,2,1,2,1,1,2,1,0,15,3,3,5,3,4,2,4,3,3,4,4,4,1,39
125,0,1,2,3,1,3,1,5,2,3,2,5,6,2,2,4,3,3,2,1,1,2,0,0,3,3,4,3,3,4,6,3,4,5,4,5,2,38
539,0,2,3,5,1,2,3,4,2,3,2,3,5,2,2,3,3,2,2,2,2,2,1,0,4,3,4,6,5,3,5,4,5,4,4,4,2,43
130,1,2,2,4,3,3,3,3,1,2,1,1,3,1,2,1,2,1,1,1,2,2,0,3,5,5,4,4,6,4,5,5,5,4,4,5,1,38
321,0,1,1,4,1,1,1,4,1,1,1,1,2,1,2,1,2,1,1,1,1,2,0,20,3,2,3,4,4,4,4,4,4,4,3,3,1,62
