model,term,op,label,estimate,std.error,statistic,p.value,std.lv,std.all,std.nox,parameter,conf.low,conf.high,method,alternative
sem1,low_rep_est ~ rm,~,a,-0.05557530554557452,0.06585582337612726,-0.8438935647066949,0.3987288845731569,-0.05557530554557452,-0.05557530554557453,-0.055693929598462644,NA,NA,NA,NA,NA
sem1,addiction ~ low_rep_est,~,b,0.16882423564148522,0.0705000401414872,2.3946686456159494,0.016635391263764898,0.16882423564148522,0.1688242356414852,0.1688242356414852,NA,NA,NA,NA,NA
sem1,addiction ~ rm,~,c,-0.029989349484947053,0.06528648750814692,-0.45935002218039017,0.6459828316780478,-0.029989349484947053,-0.029989349484947053,-0.030053360976102336,NA,NA,NA,NA,NA
sem1,low_rep_est ~~ low_rep_est,~~,,0.9926692093053732,0.09836422189288034,10.091771074917872,0,0.9926692093053732,0.996911385413516,0.996911385413516,NA,NA,NA,NA,NA
sem1,addiction ~~ addiction,~~,,0.9659084548153448,0.07545999432090951,12.800272031662443,0,0.9659084548153448,0.9700362687248121,0.9700362687248121,NA,NA,NA,NA,NA
sem1,rm ~~ rm,~~,,0.9957446808510638,0,NA,NA,0.9957446808510638,1,0.9957446808510638,NA,NA,NA,NA,NA
sem1,low_rep_est ~1 ,~1,,6.156318791338693e-17,0.06482075118887329,9.497450551599666e-16,0.9999999999999993,6.156318791338693e-17,6.169459294638329e-17,6.169459294638329e-17,NA,NA,NA,NA,NA
sem1,addiction ~1 ,~1,,-1.2822999613823797e-16,0.06432675924959333,-1.9934160780693867e-15,0.9999999999999984,-1.2822999613823797e-16,-1.2850369974984064e-16,-1.2850369974984064e-16,NA,NA,NA,NA,NA
sem1,rm ~1 ,~1,,-1.3576610285176782e-16,0,NA,NA,-1.3576610285176782e-16,-1.360558920883181e-16,-1.3576610285176782e-16,NA,NA,NA,NA,NA
sem1,ab := a*b,:=,ab,-0.009382458479273614,0.012951303879740939,-0.7244412274157286,0.4687948969469993,-0.009382458479273614,-0.009382458479273612,-0.009402485094331144,NA,NA,NA,NA,NA
sem1,total := c+(a*b),:=,total,-0.03937180796422067,0.06581660209377445,-0.5982048102107177,0.5497032822287506,-0.03937180796422067,-0.03937180796422066,-0.03945584607043348,NA,NA,NA,NA,NA
sem2,low_rep_est ~ rm,~,a,-0.05738988695713971,0.0664838815737786,-0.8632150469953068,0.3880192421436972,-0.05738988695713971,-0.05738988695713971,-0.057515604275278534,NA,NA,NA,NA,NA
sem2,addiction ~ low_rep_est,~,b,0.18380098658381758,0.07101943598244276,2.5880378243113107,0.00965243809857319,0.18380098658381758,0.18353652738382417,0.18353652738382417,NA,NA,NA,NA,NA
sem2,addiction ~ rm,~,c,-0.02044818789922211,0.06680410135621705,-0.30609180400746644,0.7595347480909558,-0.02044818789922211,-0.02041876634108114,-0.020463495346141232,NA,NA,NA,NA,NA
sem2,addiction ~ age,~,,-0.016426643302124403,0.07374774849766048,-0.2227409464933768,0.8237371311230388,-0.016426643302124403,-0.01640300808107908,-0.016438940233844998,NA,NA,NA,NA,NA
sem2,addiction ~ female,~,,0.20917465606350524,0.060433882733154205,3.4612149112959676,5.377433399604836e-4,0.20917465606350524,0.20887368835256084,0.20933124353034085,NA,NA,NA,NA,NA
sem2,low_rep_est ~~ low_rep_est,~~,,0.9923539711769023,0.0963358438684644,10.300983842855503,0,0.9923539711769023,0.9967064008750467,0.9967064008750467,NA,NA,NA,NA,NA
sem2,addiction ~~ addiction,~~,,0.9192813998389794,0.07341514754662842,12.52168565424612,0,0.9192813998389794,0.9206582571304097,0.9206582571304097,NA,NA,NA,NA,NA
sem2,rm ~~ rm,~~,,0.9956331877729256,0,NA,NA,0.9956331877729256,1,0.9956331877729256,NA,NA,NA,NA,NA
sem2,rm ~~ age,~~,,0.03195665440795289,0,NA,NA,0.03195665440795289,0.03209681517290005,0.03195665440795289,NA,NA,NA,NA,NA
sem2,rm ~~ female,~~,,-0.02141444976080361,0,NA,NA,-0.02141444976080361,-0.02150837278607029,-0.02141444976080361,NA,NA,NA,NA,NA
sem2,age ~~ age,~~,,0.9956331877729258,0,NA,NA,0.9956331877729258,1,0.9956331877729258,NA,NA,NA,NA,NA
