model,term,op,label,estimate,std.error,statistic,p.value,std.lv,std.all,std.nox,parameter,conf.low,conf.high,method,alternative
sem1,low_rep_est ~ rm,~,a,-0.1594276899219685,0.06227676916507433,-2.559986525623711,0.010467622171985491,-0.1594276899219685,-0.1594276899219685,-0.15976653767920054,NA,NA,NA,NA,NA
sem1,addiction ~ low_rep_est,~,b,0.12687098821631712,0.06288796553185846,2.0174128252256063,0.04365244997040629,0.12687098821631712,0.1268709882163171,0.1268709882163171,NA,NA,NA,NA,NA
sem1,addiction ~ rm,~,c,0.052105456289052915,0.06086874880460291,0.8560296919576682,0.3919813560943921,0.052105456289052915,0.0521054562890529,0.05221620127326323,NA,NA,NA,NA,NA
sem1,low_rep_est ~~ low_rep_est,~~,,0.9704532235010339,0.08049283347446594,12.056392868923947,0,0.9704532235010339,0.9745828116861447,0.9745828116861447,NA,NA,NA,NA,NA
sem1,addiction ~~ addiction,~~,,0.9791301105919329,0.08998866722387666,10.880593532472504,0,0.9791301105919329,0.9832966217008344,0.9832966217008344,NA,NA,NA,NA,NA
sem1,rm ~~ rm,~~,,0.9957627118644068,0,NA,NA,0.9957627118644068,1,0.9957627118644068,NA,NA,NA,NA,NA
sem1,low_rep_est ~1 ,~1,,1.9181125777003885e-16,0.06495940686122072,2.9527864714008926e-15,0.9999999999999976,1.9181125777003885e-16,1.9221893359184272e-16,1.9221893359184272e-16,NA,NA,NA,NA,NA
sem1,addiction ~1 ,~1,,-2.8450329105488944e-16,0.06434312153181757,-4.421658201867049e-15,0.9999999999999964,-2.8450329105488944e-16,-2.851079746085824e-16,-2.851079746085824e-16,NA,NA,NA,NA,NA
sem1,rm ~1 ,~1,,5.318250548045506e-16,0,NA,NA,5.318250548045506e-16,5.329553962599686e-16,5.318250548045506e-16,NA,NA,NA,NA,NA
sem1,ab := a*b,:=,ab,-0.020226748569444727,0.013396901642035396,-1.5098079473823522,0.13109243656322,-0.020226748569444727,-0.020226748569444723,-0.020269738519259634,NA,NA,NA,NA,NA
sem1,total := c+(a*b),:=,total,0.031878707719608185,0.06020835378196589,0.5294731663823827,0.5964772541930983,0.031878707719608185,0.03187870771960818,0.03194646275400359,NA,NA,NA,NA,NA
sem2,low_rep_est ~ rm,~,a,-0.15211508633850657,0.06463835792072314,-2.3533253509482837,0.01860634613605039,-0.15211508633850657,-0.15211508633850657,-0.15244685355124335,NA,NA,NA,NA,NA
sem2,addiction ~ low_rep_est,~,b,0.12349466082498897,0.06418806663349338,1.9239504677735435,0.05436079241801628,0.12349466082498897,0.12349872392786455,0.12349872392786455,NA,NA,NA,NA,NA
sem2,addiction ~ rm,~,c,0.051805611549724996,0.06287779979216136,0.8239094198741879,0.40999102763583783,0.051805611549724996,0.05180731600826477,0.05192030919812621,NA,NA,NA,NA,NA
sem2,addiction ~ age,~,,0.01989223602949883,0.0710373767743486,0.28002492395921164,0.7794583829799728,0.01989223602949883,0.019892890504768234,0.01993627744944878,NA,NA,NA,NA,NA
sem2,addiction ~ female,~,,-0.007330415628574419,0.06381419041633853,-0.11487124698674532,0.908547175779665,-0.007330415628574419,-0.007330656806878167,-0.007346645172232907,NA,NA,NA,NA,NA
sem2,low_rep_est ~~ low_rep_est,~~,,0.9726137787668885,0.08041946915179123,12.094257634691498,0,0.9726137787668885,0.9768610005082287,0.9768610005082287,NA,NA,NA,NA,NA
sem2,addiction ~~ addiction,~~,,0.9793173757533373,0.08950344997749717,10.941671812645836,0,0.9793173757533373,0.9836585944328521,0.9836585944328521,NA,NA,NA,NA,NA
sem2,rm ~~ rm,~~,,0.9956521739130437,0,NA,NA,0.9956521739130437,1,0.9956521739130437,NA,NA,NA,NA,NA
sem2,rm ~~ age,~~,,-0.05885529125815284,0,NA,NA,-0.05885529125815284,-0.05911230126364696,-0.05885529125815284,NA,NA,NA,NA,NA
sem2,rm ~~ female,~~,,0.07845739200983079,0,NA,NA,0.07845739200983079,0.07880000070856366,0.07845739200983079,NA,NA,NA,NA,NA
sem2,age ~~ age,~~,,0.9956521739130435,0,NA,NA,0.9956521739130435,1,0.9956521739130435,NA,NA,NA,NA,NA
sem2,age ~~ female,~~,,-0.0625540377902612,0,NA,NA,-0.0625540377902612,-0.06282719952733658,-0.0625540377902612,NA,NA,NA,NA,NA
sem2,female ~~ female,~~,,0.9956521739130437,0,NA,NA,0.9956521739130437,1,0.9956521739130437,NA,NA,NA,NA,NA
sem2,low_rep_est ~1 ,~1,,2.2455389797851164e-16,0.06470819804982103,3.4702542296977578e-15,0.9999999999999973,2.2455389797851164e-16,2.2504365624401155e-16,2.2504365624401155e-16,NA,NA,NA,NA,NA
sem2,addiction ~1 ,~1,,7.856359641970797e-17,0.0659352067021882,1.19152726364473e-15,0.9999999999999991,7.856359641970797e-17,7.873753625922966e-17,7.873753625922966e-17,NA,NA,NA,NA,NA
sem2,rm ~1 ,~1,,7.356434302298863e-16,0,NA,NA,7.356434302298863e-16,7.372478889084448e-16,7.356434302298863e-16,NA,NA,NA,NA,NA
sem2,age ~1 ,~1,,-3.092333152828221e-17,0,NA,NA,-3.092333152828221e-17,-3.0990776170076935e-17,-3.092333152828221e-17,NA,NA,NA,NA,NA
sem2,female ~1 ,~1,,2.1432131431894326e-16,0,NA,NA,2.1432131431894326e-16,2.1478875503631858e-16,2.1432131431894326e-16,NA,NA,NA,NA,NA
sem2,ab := a*b,:=,ab,-0.018785400993737784,0.013606266811436342,-1.3806432913654372,0.16738866552677156,-0.018785400993737784,-0.018786019052982505,-0.0188269918803966,NA,NA,NA,NA,NA
sem2,total := c+(a*b),:=,total,0.03302021055598721,0.06198605941902686,0.5327038186565467,0.5942386223364031,0.03302021055598721,0.03302129695528226,0.033093317317729604,NA,NA,NA,NA,NA
cor.test1,NA,NA,NA,-0.1594276899219685,NA,-2.470371726575892,0.014211473046298615,NA,NA,NA,234,-0.28139916913959506,-0.03238656483753341,Pearson's product-moment correlation,two.sided
cor.test2,NA,NA,NA,0.11856393568782332,NA,1.826563275077245,0.06903950484549619,NA,NA,NA,234,-0.009277007367552438,0.2425914215132608,Pearson's product-moment correlation,two.sided
cor.test3,NA,NA,NA,0.03187870771960819,NA,0.4878984350906407,0.6260786125278994,NA,NA,NA,234,-0.0962134530949573,0.1589321894096524,Pearson's product-moment correlation,two.sided
lm1,(Intercept),NA,NA,8.090664541575429e-5,0.04679552807491634,0.0017289396817197673,0.9986212742879683,NA,NA,NA,NA,NA,NA,NA,NA
lm1,rm,NA,NA,-0.06552078488127566,0.04687076226996038,-1.397903121436285,0.16283235731170412,NA,NA,NA,NA,NA,NA,NA,NA
lm1,estimation_condition,NA,NA,-0.024221688045880565,0.04684726460043778,-0.5170352688138427,0.6053861286197612,NA,NA,NA,NA,NA,NA,NA,NA
lm1,rm:estimation_condition,NA,NA,-0.096740115906756,0.04698498864535272,-2.058957950101038,0.04007450319618861,NA,NA,NA,NA,NA,NA,NA,NA
lm2,(Intercept),NA,NA,-4.94774900405631e-5,0.047339122846940855,-0.0010451712466353913,0.9991665489163062,NA,NA,NA,NA,NA,NA,NA,NA
lm2,rm,NA,NA,-0.06272002874669004,0.047730625522834594,-1.3140416254692584,0.18951840425618474,NA,NA,NA,NA,NA,NA,NA,NA
lm2,estimation_condition,NA,NA,-0.030370725107006103,0.04742451754275893,-0.6404013510442828,0.5222458156080261,NA,NA,NA,NA,NA,NA,NA,NA
lm2,age,NA,NA,-0.01915425154726948,0.047680145220458436,-0.4017238508546077,0.6880827633327915,NA,NA,NA,NA,NA,NA,NA,NA
lm2,female,NA,NA,0.00858887649167101,0.0475206644707329,0.18073982313443324,0.8566552074653343,NA,NA,NA,NA,NA,NA,NA,NA
lm2,rm:estimation_condition,NA,NA,-0.09216723844988818,0.047564004079955514,-1.9377518825991653,0.05329444518180553,NA,NA,NA,NA,NA,NA,NA,NA
lm3,(Intercept),NA,NA,-0.0013066484570839795,0.06617894982216825,-0.019744170322967044,0.9842650304784776,NA,NA,NA,NA,NA,NA,NA,NA
lm3,rm,NA,NA,0.0481117408278118,0.06799291387394826,0.7075993377340163,0.4799296607694755,NA,NA,NA,NA,NA,NA,NA,NA
lm3,low_rep_est,NA,NA,0.12674418537858012,0.06770631352067726,1.8719699653987647,0.06251395115051975,NA,NA,NA,NA,NA,NA,NA,NA
lm3,age,NA,NA,0.018860352363892018,0.06657694257439849,0.2832865498864855,0.7772188228113235,NA,NA,NA,NA,NA,NA,NA,NA
lm3,female,NA,NA,-0.009293102973148042,0.06688781431559827,-0.13893566516167186,0.889625815115721,NA,NA,NA,NA,NA,NA,NA,NA
lm3,low_rep_est:age,NA,NA,0.028932433424468842,0.07272598627953061,0.39782799662920676,0.691135849970339,NA,NA,NA,NA,NA,NA,NA,NA
