model,term,op,label,estimate,std.error,statistic,p.value,std.lv,std.all,std.nox,parameter,conf.low,conf.high,method,alternative
sem1,low_rep_est ~ rm,~,a,-0.1580343882452982,0.059342667406774505,-2.6630819804917825,0.007742854775002472,-0.1580343882452982,-0.1580343882452982,-0.15838518643109464,NA,NA,NA,NA,NA
sem1,addiction ~ low_rep_est,~,b,0.18017874541654874,0.07284778110209784,2.473359417276198,0.013384945392307168,0.18017874541654874,0.18017874541654874,0.18017874541654874,NA,NA,NA,NA,NA
sem1,addiction ~ rm,~,c,0.027262556811736824,0.07121939143375862,0.3827968234900436,0.7018704169231831,0.027262556811736824,0.027262556811736824,0.027323073105537925,NA,NA,NA,NA,NA
sem1,low_rep_est ~~ low_rep_est,~~,,0.9707108616357754,0.08343709865315418,11.634043816300405,0,0.9707108616357754,0.9750251321319343,0.9750251321319343,NA,NA,NA,NA,NA
sem1,addiction ~~ addiction,~~,,0.9640602325084985,0.06993671636801392,13.784751166118783,0,0.9640602325084985,0.9683449446529807,0.9683449446529807,NA,NA,NA,NA,NA
sem1,rm ~~ rm,~~,,0.995575221238938,0,NA,NA,0.995575221238938,1,0.995575221238938,NA,NA,NA,NA,NA
sem1,low_rep_est ~1 ,~1,,1.828254050293588e-16,0.06727942364405419,2.717404447407391e-15,0.9999999999999978,1.828254050293588e-16,1.83231233286828e-16,1.83231233286828e-16,NA,NA,NA,NA,NA
sem1,addiction ~1 ,~1,,-2.3987034522578572e-16,0.06522777880245939,-3.677426238171114e-15,0.9999999999999971,-2.3987034522578572e-16,-2.404027994774576e-16,-2.404027994774576e-16,NA,NA,NA,NA,NA
sem1,rm ~1 ,~1,,3.1194319497211255e-16,0,NA,NA,3.1194319497211255e-16,3.1263563354882226e-16,3.1194319497211255e-16,NA,NA,NA,NA,NA
sem1,ab := a*b,:=,ab,-0.028474437806709607,0.01690018765035938,-1.684859268772918,0.09201572664766267,-0.028474437806709607,-0.028474437806709607,-0.02853764418372081,NA,NA,NA,NA,NA
sem1,total := c+(a*b),:=,total,-0.0012118809949727832,0.0713675001734783,-0.016980852517279908,0.9864518910483939,-0.0012118809949727832,-0.0012118809949727832,-0.0012145710781828849,NA,NA,NA,NA,NA
sem2,low_rep_est ~ rm,~,a,-0.1525275179256622,0.061360908881230906,-2.485744111465033,0.012928088716693376,-0.1525275179256622,-0.1525275179256622,-0.15287221332102777,NA,NA,NA,NA,NA
sem2,addiction ~ low_rep_est,~,b,0.16139710775717106,0.0731535153702368,2.206279588073453,0.027364429672154467,0.16139710775717106,0.16180383961114192,0.16180383961114192,NA,NA,NA,NA,NA
sem2,addiction ~ rm,~,c,0.02057349357738871,0.07339753316316935,0.2803022484645632,0.7792456258783846,0.02057349357738871,0.020625340201542466,0.020671951199295574,NA,NA,NA,NA,NA
sem2,addiction ~ age,~,,-0.056285314515398296,0.06737615570931545,-0.8353892252065114,0.40349859447085157,-0.056285314515398296,-0.05642715739376401,-0.05655467655615332,NA,NA,NA,NA,NA
sem2,addiction ~ female,~,,0.06337803239967996,0.06358507384056004,0.9967438672572867,0.3188888509266632,0.06337803239967996,0.06353774941677626,0.06368133773417436,NA,NA,NA,NA,NA
sem2,low_rep_est ~~ low_rep_est,~~,,0.9723356474633852,0.08420760253040692,11.546886720973678,0,0.9723356474633852,0.9767353562754367,0.9767353562754367,NA,NA,NA,NA,NA
sem2,addiction ~~ addiction,~~,,0.9575815815395144,0.07085331792664551,13.514985741823683,0,0.9575815815395144,0.9667688207955507,0.9667688207955507,NA,NA,NA,NA,NA
sem2,rm ~~ rm,~~,,0.9954954954954958,0,NA,NA,0.9954954954954958,1,0.9954954954954958,NA,NA,NA,NA,NA
sem2,rm ~~ age,~~,,-0.018726022901898662,0,NA,NA,-0.018726022901898662,-0.018810756037201372,-0.018726022901898662,NA,NA,NA,NA,NA
sem2,rm ~~ female,~~,,-0.06052088053766823,0,NA,NA,-0.06052088053766823,-0.060794730675847716,-0.06052088053766823,NA,NA,NA,NA,NA
sem2,age ~~ age,~~,,0.9954954954954953,0,NA,NA,0.9954954954954953,1,0.9954954954954953,NA,NA,NA,NA,NA
sem2,age ~~ female,~~,,-0.055471101432216514,0,NA,NA,-0.055471101432216514,-0.05572210189118583,-0.055471101432216514,NA,NA,NA,NA,NA
sem2,female ~~ female,~~,,0.9954954954954955,0,NA,NA,0.9954954954954955,1,0.9954954954954955,NA,NA,NA,NA,NA
sem2,low_rep_est ~1 ,~1,,2.4270432767031107e-16,0.06631675660434233,3.659773790179888e-15,0.9999999999999971,2.4270432767031107e-16,2.432528127261292e-16,2.432528127261292e-16,NA,NA,NA,NA,NA
sem2,addiction ~1 ,~1,,-1.5333132328256037e-16,0.06586130908786882,-2.3280940723178386e-15,0.9999999999999982,-1.5333132328256037e-16,-1.5406511394370627e-16,-1.5406511394370627e-16,NA,NA,NA,NA,NA
sem2,rm ~1 ,~1,,5.092272949660206e-16,0,NA,NA,5.092272949660206e-16,5.103780925804865e-16,5.092272949660206e-16,NA,NA,NA,NA,NA
sem2,age ~1 ,~1,,-2.5430108469454597e-16,0,NA,NA,-2.5430108469454597e-16,-2.54875777144294e-16,-2.5430108469454597e-16,NA,NA,NA,NA,NA
sem2,female ~1 ,~1,,-1.3102632092423018e-16,0,NA,NA,-1.3102632092423018e-16,-1.3132242598191747e-16,-1.3102632092423018e-16,NA,NA,NA,NA,NA
sem2,ab := a*b,:=,ab,-0.02461750024658194,0.016565724227447978,-1.486050347608278,0.1372658042256707,-0.02461750024658194,-0.02467953804672942,-0.02473531108519585,NA,NA,NA,NA,NA
sem2,total := c+(a*b),:=,total,-0.004044006669193228,0.07383200953553185,-0.05477308141324583,0.956319246119409,-0.004044006669193228,-0.004054197845186954,-0.004063359885900276,NA,NA,NA,NA,NA
cor.test1,NA,NA,NA,-0.1580343882452982,NA,-2.3953429608561527,0.01742742513426118,NA,NA,NA,224,-0.2827044287015096,-0.02811378427485787,Pearson's product-moment correlation,two.sided
cor.test2,NA,NA,NA,0.17587032392880322,NA,2.6738625662264326,0.008050690324994994,NA,NA,NA,224,0.04643566575508309,0.2994969351041508,Pearson's product-moment correlation,two.sided
cor.test3,NA,NA,NA,-0.0012118809949727852,NA,-0.01813778722600929,0.9855450782757101,NA,NA,NA,224,-0.13169146393825182,0.12930897942076047,Pearson's product-moment correlation,two.sided
lm1,(Intercept),NA,NA,3.8841541021503345e-6,0.04436025548722005,8.755932668758724e-5,0.9999301765667127,NA,NA,NA,NA,NA,NA,NA,NA
lm1,rm,NA,NA,-0.17107904897280451,0.04473503238891531,-3.8242746196199335,1.4965808061530406e-4,NA,NA,NA,NA,NA,NA,NA,NA
lm1,estimation_condition,NA,NA,0.28797726725070355,0.04440919143896185,6.484632075468285,2.344889008097228e-10,NA,NA,NA,NA,NA,NA,NA,NA
lm1,rm:estimation_condition,NA,NA,0.0014351213255350262,0.04480815675802282,0.03202812678247628,0.9744638208694981,NA,NA,NA,NA,NA,NA,NA,NA
lm2,(Intercept),NA,NA,-9.696431492364737e-6,0.044444407194156675,-2.1816989143325945e-4,0.9998260247162704,NA,NA,NA,NA,NA,NA,NA,NA
lm2,rm,NA,NA,-0.16166604581501773,0.04489233336506825,-3.6011949857971466,3.5293367044738895e-4,NA,NA,NA,NA,NA,NA,NA,NA
lm2,estimation_condition,NA,NA,0.28599742996572736,0.04483909272271574,6.378305460690989,4.546913758193882e-10,NA,NA,NA,NA,NA,NA,NA,NA
lm2,age,NA,NA,-0.1364316744906249,0.04463523862355101,-3.0565911306372873,0.0023753392787096987,NA,NA,NA,NA,NA,NA,NA,NA
lm2,female,NA,NA,0.007232283999138006,0.044871264419699325,0.1611785202104289,0.8720269452943559,NA,NA,NA,NA,NA,NA,NA,NA
lm2,rm:estimation_condition,NA,NA,-0.004406676804356398,0.04495978387218903,-0.09801374528141928,0.9219661133964149,NA,NA,NA,NA,NA,NA,NA,NA
lm3,(Intercept),NA,NA,-0.0031275486514051134,0.06791596462152612,-0.04605027210956862,0.9633127276290936,NA,NA,NA,NA,NA,NA,NA,NA
lm3,rm,NA,NA,0.018498002898200205,0.0682731520002116,0.270941099923772,0.7866950708436022,NA,NA,NA,NA,NA,NA,NA,NA
lm3,low_rep_est,NA,NA,0.16034408952352966,0.06917331668595059,2.3180049360868114,0.021384786979237784,NA,NA,NA,NA,NA,NA,NA,NA
lm3,age,NA,NA,-0.054581281107315416,0.06855666365236461,-0.7961484442137499,0.4268198805043609,NA,NA,NA,NA,NA,NA,NA,NA
lm3,female,NA,NA,0.06531133462660547,0.0675968821736954,0.9661885656025223,0.3350303566288051,NA,NA,NA,NA,NA,NA,NA,NA
lm3,low_rep_est:age,NA,NA,-0.01620654473534811,0.06960745924282961,-0.23282770139347636,0.8161156732937048,NA,NA,NA,NA,NA,NA,NA,NA
