model,term,op,label,estimate,std.error,statistic,p.value,std.lv,std.all,std.nox,parameter,conf.low,conf.high,method,alternative
sem1,low_rep_est ~ rm,~,a,-0.20430901019303777,0.06857700437969616,-2.9792641431495404,0.002889415782103999,-0.20430901019303777,-0.20430901019303777,-0.20476658973639797,NA,NA,NA,NA,NA
sem1,addiction ~ low_rep_est,~,b,0.12833149892670195,0.06375122763172265,2.0130043560579862,0.044114171091526266,0.12833149892670195,0.12833149892670195,0.12833149892670195,NA,NA,NA,NA,NA
sem1,addiction ~ rm,~,c,-0.05228896640277539,0.07890053897972303,-0.6627200153374534,0.5075098883976552,-0.05228896640277539,-0.05228896640277539,-0.052406075096840095,NA,NA,NA,NA,NA
sem1,low_rep_est ~~ low_rep_est,~~,,0.9539798916202182,0.08538107695136798,11.17320049925809,0,0.9539798916202182,0.9582578283539411,0.9582578283539411,NA,NA,NA,NA,NA
sem1,addiction ~~ addiction,~~,,0.9736886154532804,0.09703819222017747,10.034076204181575,0,0.9736886154532804,0.978054932114506,0.978054932114506,NA,NA,NA,NA,NA
sem1,rm ~~ rm,~~,,0.9955357142857143,0,NA,NA,0.9955357142857143,1,0.9955357142857143,NA,NA,NA,NA,NA
sem1,low_rep_est ~1 ,~1,,-1.2240714399579646e-16,0.06515033363973778,-1.8788413989201044e-15,0.9999999999999984,-1.2240714399579646e-16,-1.2268129247804257e-16,-1.2268129247804257e-16,NA,NA,NA,NA,NA
sem1,addiction ~1 ,~1,,3.420781993560064e-17,0.0663694117299263,5.154154458201437e-16,0.9999999999999996,3.420781993560064e-17,3.4284433290100726e-17,3.4284433290100726e-17,NA,NA,NA,NA,NA
sem1,rm ~1 ,~1,,9.832164844197118e-17,0,NA,NA,9.832164844197118e-17,9.854185397746857e-17,9.832164844197118e-17,NA,NA,NA,NA,NA
sem1,ab := a*b,:=,ab,-0.026219281522303364,0.016639669657963187,-1.5757092575305842,0.11509282298147383,-0.026219281522303364,-0.026219281522303364,-0.026278003390980974,NA,NA,NA,NA,NA
sem1,total := c+(a*b),:=,total,-0.07850824792507875,0.07648254275738452,-1.02648585016479,0.30466262994183024,-0.07850824792507875,-0.07850824792507875,-0.07868407848782107,NA,NA,NA,NA,NA
sem2,low_rep_est ~ rm,~,a,-0.20276661784949124,0.06831176565994963,-2.9682532121749983,0.002994974959121155,-0.20276661784949124,-0.20276661784949124,-0.20322278629521504,NA,NA,NA,NA,NA
sem2,addiction ~ low_rep_est,~,b,0.12655562145186028,0.0637219757243524,1.9860592835243018,0.04702674161876308,0.12655562145186028,0.12657603425085592,0.12657603425085592,NA,NA,NA,NA,NA
sem2,addiction ~ rm,~,c,-0.051511351302633526,0.0796168208121224,-0.6469908089421029,0.5176378919702525,-0.051511351302633526,-0.0515196598301258,-0.05163556472314113,NA,NA,NA,NA,NA
sem2,addiction ~ age,~,,-0.010079020600740576,0.06643886943934509,-0.15170367415631825,0.8794206591592173,-0.010079020600740576,-0.010080646297167454,-0.010103324945171948,NA,NA,NA,NA,NA
sem2,addiction ~ female,~,,0.07931844888115674,0.06339000672038683,1.2512768649959327,0.21083348305023186,0.07931844888115674,0.07933124255665755,0.07950971576885695,NA,NA,NA,NA,NA
sem2,low_rep_est ~~ low_rep_est,~~,,0.9545857628173318,0.08485828586835203,11.24917564677494,0,0.9545857628173318,0.9588856986858785,0.9588856986858785,NA,NA,NA,NA,NA
sem2,addiction ~~ addiction,~~,,0.967247974409247,0.0988569774502671,9.784316690198722,0,0.967247974409247,0.9719184027383205,0.9719184027383205,NA,NA,NA,NA,NA
sem2,rm ~~ rm,~~,,0.99551569506726445,0,NA,NA,0.99551569506726445,1,0.99551569506726445,NA,NA,NA,NA,NA
sem2,rm ~~ age,~~,,0.09705996930611789,0,NA,NA,0.09705996930611789,0.09749717637506437,0.09705996930611789,NA,NA,NA,NA,NA
sem2,rm ~~ female,~~,,0.0019801570658077397,0,NA,NA,0.0019801570658077397,0.001989076692230297,0.0019801570658077397,NA,NA,NA,NA,NA
sem2,age ~~ age,~~,,0.9955156950672646,0,NA,NA,0.9955156950672646,1,0.9955156950672646,NA,NA,NA,NA,NA
sem2,age ~~ female,~~,,-0.14867060829875087,0,NA,NA,-0.14867060829875087,-0.14934029572352003,-0.14867060829875087,NA,NA,NA,NA,NA
sem2,female ~~ female,~~,,0.9955156950672648,0,NA,NA,0.9955156950672648,1,0.9955156950672648,NA,NA,NA,NA,NA
sem2,low_rep_est ~1 ,~1,,-1.762193312479043e-16,0.06635535020364722,-2.6556913754065065e-15,0.9999999999999978,-1.762193312479043e-16,-1.766157756887812e-16,-1.766157756887812e-16,NA,NA,NA,NA,NA
sem2,addiction ~1 ,~1,,-2.1152640893964005e-16,0.06651529868433673,-3.1801166517117527e-15,0.9999999999999976,-2.1152640893964005e-16,-2.1203647940212354e-16,-2.1203647940212354e-16,NA,NA,NA,NA,NA
sem2,rm ~1 ,~1,,-3.608224830031759e-16,0,NA,NA,-3.608224830031759e-16,-3.61634233147255e-16,-3.608224830031759e-16,NA,NA,NA,NA,NA
sem2,age ~1 ,~1,,1.6055526987633772e-16,0,NA,NA,1.6055526987633772e-16,1.609164745395561e-16,1.6055526987633772e-16,NA,NA,NA,NA,NA
sem2,female ~1 ,~1,,-1.2247303320977064e-16,0,NA,NA,-1.2247303320977064e-16,-1.227485634414967e-16,-1.2247303320977064e-16,NA,NA,NA,NA,NA
sem2,ab := a*b,:=,ab,-0.025661255331634228,0.016512948086629693,-1.5540081151476395,0.12018248091379102,-0.025661255331634228,-0.025665394365847416,-0.02572313435865751,NA,NA,NA,NA,NA
sem2,total := c+(a*b),:=,total,-0.07717260663426775,0.07747976730939601,-0.9960356014764256,0.3192328475411701,-0.07717260663426775,-0.07718505419597321,-0.07735869908179864,NA,NA,NA,NA,NA
cor.test1,NA,NA,NA,-0.20430901019303777,NA,-3.1097309718609694,0.002117824661951601,NA,NA,NA,222,-0.32664385243592003,-0.07524125396903658,Pearson's product-moment correlation,two.sided
cor.test2,NA,NA,NA,0.13901460589647002,NA,2.091579523337092,0.037613195149851134,NA,NA,NA,222,0.008079002456299658,0.2652636803425843,Pearson's product-moment correlation,two.sided
cor.test3,NA,NA,NA,-0.07850824792507875,NA,-1.1733681917239074,0.2419055478630838,NA,NA,NA,222,-0.20745612228071056,0.053121249722187396,Pearson's product-moment correlation,two.sided
lm1,(Intercept),NA,NA,-0.00702779713717238,0.04471213642034031,-0.15717873713534555,0.8751744826154351,NA,NA,NA,NA,NA,NA,NA,NA
lm1,rm,NA,NA,-0.11969635584231142,0.044788940950021214,-2.6724533624467117,0.007803322034754928,NA,NA,NA,NA,NA,NA,NA,NA
lm1,estimation_condition,NA,NA,0.27528659676891504,0.04476165939237618,6.15005342755014,1.7114048292434676e-9,NA,NA,NA,NA,NA,NA,NA,NA
lm1,rm:estimation_condition,NA,NA,-0.09541767111801015,0.04485921095455654,-2.127047468906008,0.03395947130224123,NA,NA,NA,NA,NA,NA,NA,NA
lm2,(Intercept),NA,NA,-0.006820408691834122,0.044807183141729025,-0.15221685929821954,0.8790845767533138,NA,NA,NA,NA,NA,NA,NA,NA
lm2,rm,NA,NA,-0.11559957537174895,0.044953301458153176,-2.571548064814774,0.01044669447888117,NA,NA,NA,NA,NA,NA,NA,NA
lm2,estimation_condition,NA,NA,0.2757918157995737,0.04488612987968853,6.144254729440877,1.7789987320601232e-9,NA,NA,NA,NA,NA,NA,NA,NA
lm2,age,NA,NA,-0.03685678777107191,0.04540148212566927,-0.8117970173100071,0.4173401896383597,NA,NA,NA,NA,NA,NA,NA,NA
lm2,female,NA,NA,0.03926853805318731,0.045363886585708627,0.8656343406333797,0.3871550674019495,NA,NA,NA,NA,NA,NA,NA,NA
lm2,rm:estimation_condition,NA,NA,-0.09426986912651926,0.04503298503659055,-2.093351552199402,0.03688076991757227,NA,NA,NA,NA,NA,NA,NA,NA
lm3,(Intercept),NA,NA,0.0037256712226942626,0.06738029639551364,0.05529318542656823,0.9559557657762667,NA,NA,NA,NA,NA,NA,NA,NA
lm3,rm,NA,NA,-0.04960950149879172,0.06863849931137028,-0.7227649496493825,0.4706025527989238,NA,NA,NA,NA,NA,NA,NA,NA
lm3,low_rep_est,NA,NA,0.12746637180816606,0.06900655093540795,1.8471633501503086,0.06608484136844983,NA,NA,NA,NA,NA,NA,NA,NA
lm3,age,NA,NA,-0.012384347270439293,0.06887863705382113,-0.17979954017908742,0.8574777281005652,NA,NA,NA,NA,NA,NA,NA,NA
lm3,female,NA,NA,0.07840304029437577,0.06771147593797393,1.1578988525696248,0.24817814322533202,NA,NA,NA,NA,NA,NA,NA,NA
lm3,low_rep_est:age,NA,NA,0.024497932600917323,0.060996323690770404,0.40162965763499286,0.6883518562706694,NA,NA,NA,NA,NA,NA,NA,NA
