model,term,op,label,estimate,std.error,statistic,p.value,std.lv,std.all,std.nox,parameter,conf.low,conf.high,method,alternative
sem1,low_rep_est ~ rm,~,a,-0.14545149158697718,0.07131061154458417,-2.0396893034080814,0.04138128097572147,-0.14545149158697718,-0.14545149158697718,-0.14578019594197444,NA,NA,NA,NA,NA
sem1,addiction ~ low_rep_est,~,b,0.141972085288177,0.0749108661443928,1.895213506335941,0.058064121514590505,0.141972085288177,0.14197208528817698,0.14197208528817698,NA,NA,NA,NA,NA
sem1,addiction ~ rm,~,c,-0.10227578944046928,0.0764927180611415,-1.337065697661823,0.18120119286475278,-0.10227578944046928,-0.10227578944046928,-0.10250692146278863,NA,NA,NA,NA,NA
sem1,low_rep_est ~~ low_rep_est,~~,,0.9744346570023528,0.0954875647855054,10.2048330501593,0,0.9744346570023528,0.9788438635951235,0.9788438635951235,NA,NA,NA,NA,NA
sem1,addiction ~~ addiction,~~,,0.9608120235235674,0.07693924666607702,12.487931259498481,0,0.9608120235235674,0.9651595892408685,0.9651595892408685,NA,NA,NA,NA,NA
sem1,rm ~~ rm,~~,,0.9954954954954954,0,NA,NA,0.9954954954954954,1,0.9954954954954954,NA,NA,NA,NA,NA
sem1,low_rep_est ~1 ,~1,,1.3133700956810627e-16,0.06650029871738994,1.9749837534754026e-15,0.9999999999999984,1.3133700956810627e-16,1.316338167479181e-16,1.316338167479181e-16,NA,NA,NA,NA,NA
sem1,addiction ~1 ,~1,,1.5698623369746598e-16,0.06707507089644278,2.3404557251953868e-15,0.9999999999999982,1.5698623369746598e-16,1.5734100529951666e-16,1.5734100529951666e-16,NA,NA,NA,NA,NA
sem1,rm ~1 ,~1,,-1.3066687371749625e-16,0,NA,NA,-1.3066687371749625e-16,-1.3096216646407584e-16,-1.3066687371749625e-16,NA,NA,NA,NA,NA
sem1,ab := a*b,:=,ab,-0.020650051568878884,0.01627041723804536,-1.2691777516677667,0.20437767426572795,-0.020650051568878884,-0.02065005156887888,-0.02069671841160115,NA,NA,NA,NA,NA
sem1,total := c+(a*b),:=,total,-0.12292584100934817,0.07380771067285109,-1.665487791027833,0.09581547740684315,-0.12292584100934817,-0.12292584100934816,-0.12320363987438977,NA,NA,NA,NA,NA
sem2,low_rep_est ~ rm,~,a,-0.1387786432154462,0.07266288695001241,-1.9098971846648118,0.056146452641703704,-0.1387786432154462,-0.1387786432154462,-0.13909657866814026,NA,NA,NA,NA,NA
sem2,addiction ~ low_rep_est,~,b,0.15331959060020312,0.07574725463336358,2.0240943561890106,0.042960444215348614,0.15331959060020312,0.15348411945649626,0.15348411945649626,NA,NA,NA,NA,NA
sem2,addiction ~ rm,~,c,-0.08485766612660765,0.07764641716278058,-1.0928729132306152,0.27444960252742323,-0.08485766612660765,-0.0849487277756824,-0.0851433413818928,NA,NA,NA,NA,NA
sem2,addiction ~ age,~,,-0.08478224281081456,0.07220299989559018,-1.1742205023809913,0.24030671594842157,-0.08478224281081456,-0.08487322352234024,-0.08506766415179853,NA,NA,NA,NA,NA
sem2,addiction ~ female,~,,0.13831353164126295,0.06451238473173238,2.1439841701159317,0.032034155185943325,0.13831353164126295,0.13846195733873393,0.1387791672787321,NA,NA,NA,NA,NA
sem2,low_rep_est ~~ low_rep_est,~~,,0.9762622211179315,0.09601039720455286,10.168296867244257,0,0.9762622211179315,0.9807404881872799,0.9807404881872799,NA,NA,NA,NA,NA
sem2,addiction ~~ addiction,~~,,0.9242908199094613,0.07828167942568744,11.80724310835574,0,0.9242908199094613,0.9305245873022864,0.9305245873022864,NA,NA,NA,NA,NA
sem2,rm ~~ rm,~~,,0.9954337899543378,0,NA,NA,0.9954337899543378,1,0.9954337899543378,NA,NA,NA,NA,NA
sem2,rm ~~ age,~~,,0.043997918599871136,0,NA,NA,0.043997918599871136,0.04419974391454945,0.043997918599871136,NA,NA,NA,NA,NA
sem2,rm ~~ female,~~,,-0.16428887740977832,0,NA,NA,-0.16428887740977832,-0.16504249611349292,-0.16428887740977832,NA,NA,NA,NA,NA
sem2,age ~~ age,~~,,0.9954337899543378,0,NA,NA,0.9954337899543378,1,0.9954337899543378,NA,NA,NA,NA,NA
sem2,age ~~ female,~~,,-0.12936698439135597,0,NA,NA,-0.12936698439135597,-0.1299604109252613,-0.12936698439135597,NA,NA,NA,NA,NA
sem2,female ~~ female,~~,,0.9954337899543376,0,NA,NA,0.9954337899543376,1,0.9954337899543376,NA,NA,NA,NA,NA
sem2,low_rep_est ~1 ,~1,,-1.1371616671682208e-16,0.06641899273412662,-1.7121031505555154e-15,0.9999999999999987,-1.1371616671682208e-16,-1.139766851950696e-16,-1.139766851950696e-16,NA,NA,NA,NA,NA
sem2,addiction ~1 ,~1,,2.643564221375484e-16,0.06529418037159458,4.048698071299374e-15,0.9999999999999967,2.643564221375484e-16,2.6524638402110687e-16,2.6524638402110687e-16,NA,NA,NA,NA,NA
sem2,rm ~1 ,~1,,3.1757321278019246e-16,0,NA,NA,3.1757321278019246e-16,3.183007583219948e-16,3.1757321278019246e-16,NA,NA,NA,NA,NA
sem2,age ~1 ,~1,,2.73848675851462e-16,0,NA,NA,2.73848675851462e-16,2.7447605050154657e-16,2.73848675851462e-16,NA,NA,NA,NA,NA
sem2,female ~1 ,~1,,3.193792262620313e-17,0,NA,NA,3.193792262620313e-17,3.201109092971873e-17,3.193792262620313e-17,NA,NA,NA,NA,NA
sem2,ab := a*b,:=,ab,-0.021277484761843865,0.017314310611274232,-1.2288958676754365,0.2191108510095261,-0.021277484761843865,-0.021300317853290018,-0.02134911589629077,NA,NA,NA,NA,NA
sem2,total := c+(a*b),:=,total,-0.10613515088845152,0.07405128084256793,-1.4332655651708912,0.1517819587650806,-0.10613515088845152,-0.10624904562897242,-0.10649245727818357,NA,NA,NA,NA,NA
cor.test1,NA,NA,NA,-0.14545149158697715,NA,-2.1805839359281567,0.03027463717442235,NA,NA,NA,220,-0.27191682976999915,-0.014047425897183025,Pearson's product-moment correlation,two.sided
cor.test2,NA,NA,NA,0.1568482514155289,NA,2.3555913566463302,0.019372484955317838,NA,NA,NA,220,0.025706047924948475,0.28268318425266836,Pearson's product-moment correlation,two.sided
