id,low_rep_est1,low_rep_est2,low_rep_est3,low_rep_est4,low_rep_est5,low_rep_est_all,low_rep1,low_rep2,low_rep3,low_rep4,low_rep5,low_rep_all,addiction1,addiction2,addiction3,addiction4,addiction5,addiction6,addiction7,addiction8,dependency1,dependency2,dependency3,dependency4,dependency5,line_time_hour,line_time_minute,extroversion1,extroversion2,network1,network2,network3,network4,lonely1,lonely2,lonely3,lonely4,lonely5,lonely6,rm1,rm2,rm3,rm4,rm5,rm6,rm7,rm8,rm9,rm10,rm11,rm12,sex,age
154,1,3,4,3,5,3,2,2,2,2,3,3,3,5,6,3,4,6,3,5,2,4,3,4,2,0,20,3,4,3,5,4,3,3,3,1,3,2,3,3,3,4,5,4,4,3,4,4,4,4,4,1,44
173,6,6,6,6,5,6,2,5,5,5,5,5,1,2,1,2,1,1,1,1,1,1,1,1,1,1,0,2,3,1,1,1,1,1,1,5,5,5,5,5,5,5,2,2,5,2,4,2,5,5,5,1,43
180,3,3,3,4,5,2,5,5,4,4,4,4,3,3,3,3,3,3,3,3,2,2,3,3,2,0,15,4,4,4,3,4,4,3,4,3,4,3,4,3,3,2,3,4,4,3,4,3,4,3,3,1,50
193,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,0,10,3,3,3,3,3,4,2,2,2,3,3,3,4,4,4,4,4,4,3,4,3,4,3,3,1,46
194,1,1,1,1,1,4,1,1,1,1,1,4,2,1,1,1,4,2,1,1,1,1,1,1,2,0,20,4,4,6,6,6,5,3,3,3,2,2,2,4,4,4,4,3,4,4,3,4,4,4,4,1,40
203,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,2,1,1,1,1,1,1,1,2,0,5,4,4,3,3,3,3,1,1,1,2,2,2,4,3,4,4,4,3,4,4,4,4,3,4,1,49
206,2,2,2,2,2,2,3,3,3,3,3,2,5,5,5,4,5,5,5,5,2,3,4,2,3,1,0,4,4,5,5,5,5,3,3,3,3,3,3,4,4,4,3,3,4,3,4,3,4,3,3,1,42
207,1,1,1,1,1,1,1,1,1,1,1,1,3,4,3,3,3,3,4,4,3,4,3,3,3,0,20,4,4,4,4,3,4,3,3,3,2,2,3,3,3,4,3,3,4,2,4,3,4,3,4,1,45
208,4,4,5,4,5,5,4,5,5,5,5,5,5,5,3,6,2,2,2,2,3,2,2,3,4,0,30,2,6,2,3,2,2,4,2,4,4,4,4,2,2,3,3,3,3,4,3,4,3,4,4,1,42
209,3,3,3,3,3,2,2,4,4,3,3,3,3,3,3,5,4,3,2,2,2,2,2,2,4,0,10,3,3,5,5,4,5,3,2,2,4,4,4,3,3,3,4,4,2,4,3,4,3,4,4,1,39
220,4,4,4,3,2,4,3,4,4,2,1,4,2,1,1,5,4,1,2,2,1,1,1,1,2,0,0,3,4,3,3,2,2,3,2,3,4,4,3,4,4,4,4,4,4,3,3,3,3,4,4,1,42
223,3,4,4,4,3,4,3,3,3,3,3,4,3,3,2,3,3,3,3,3,2,2,2,2,2,0,10,2,4,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,3,3,4,3,4,3,3,1,38
225,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,4,3,3,2,2,2,2,3,0,40,5,4,5,4,5,3,3,2,3,4,2,4,4,3,4,4,4,3,3,4,2,3,4,3,1,40
226,3,3,3,3,4,4,3,3,4,3,3,4,3,4,2,3,4,4,4,3,3,3,3,3,2,1,0,3,5,3,4,4,4,3,3,4,3,3,3,3,3,4,3,4,3,4,3,3,3,4,4,1,46
231,2,2,2,2,2,3,3,3,3,2,2,2,3,3,3,1,2,1,1,1,1,1,1,1,1,0,0,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,4,3,4,3,4,3,4,4,1,46
233,3,3,3,3,3,4,3,3,3,2,3,4,3,2,2,2,2,2,2,2,2,1,2,2,2,0,30,3,4,3,4,4,3,3,3,2,3,3,3,3,3,3,5,4,3,4,3,4,2,4,4,1,59
236,3,3,5,4,4,4,3,3,4,3,3,3,2,2,2,2,3,3,2,2,2,2,2,2,2,0,15,1,1,2,2,2,2,4,2,3,5,5,5,2,2,2,5,5,2,5,2,4,3,5,5,1,45
244,4,4,5,4,4,5,2,2,2,2,2,4,1,1,1,5,6,1,3,3,1,1,1,1,1,0,5,2,2,1,1,1,1,5,3,3,5,5,5,3,3,3,3,3,4,3,3,3,3,3,3,1,43
245,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,2,2,2,2,2,2,2,2,2,2,0,30,4,4,4,4,4,4,3,3,3,3,3,4,3,3,3,4,4,3,4,3,4,4,4,4,1,56
251,3,2,3,3,3,3,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,0,20,3,5,3,3,7,4,4,3,3,5,3,4,3,4,6,4,5,3,4,4,5,3,4,4,1,50
253,5,5,5,5,6,6,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,10,2,2,1,1,1,1,5,1,3,5,5,5,4,3,4,3,4,3,4,3,3,4,3,4,1,46
254,1,1,1,1,1,3,1,1,1,1,1,3,3,5,1,5,7,1,1,1,1,1,1,1,3,0,30,7,7,7,7,7,7,1,1,1,1,1,1,6,6,6,6,6,6,6,6,1,6,6,6,1,48
255,2,2,4,3,3,3,2,3,2,2,2,4,1,2,1,1,2,2,1,1,2,1,1,2,2,0,20,1,2,1,1,1,1,4,1,3,4,4,3,2,2,4,2,2,4,5,1,4,4,3,4,1,40
263,1,2,2,3,1,2,1,2,2,3,2,2,4,5,2,5,6,5,5,5,2,3,4,3,2,0,20,5,3,2,2,3,3,2,2,2,2,2,2,4,4,5,2,2,5,2,5,2,5,3,3,1,29
266,4,4,4,4,4,4,3,2,2,2,2,2,2,2,2,3,2,1,1,1,2,2,2,1,2,0,15,1,4,2,4,3,3,2,2,2,3,3,3,2,2,3,2,3,4,5,3,3,2,3,4,1,50
270,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,0,15,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,4,3,4,4,1,61
273,2,2,2,2,2,3,3,3,3,2,2,3,2,2,1,4,5,1,2,1,1,1,1,1,3,0,10,1,2,1,2,2,2,2,2,2,4,4,5,1,1,3,1,1,5,4,3,4,4,4,4,1,44
275,6,6,6,6,6,6,5,5,5,5,5,5,1,1,4,1,1,1,1,1,1,1,3,1,1,0,0,4,7,2,4,5,4,3,3,4,5,5,3,1,1,1,3,1,4,1,3,5,5,6,4,1,38
278,4,2,1,4,4,5,4,4,4,2,4,4,5,4,2,3,5,4,4,4,3,3,2,2,3,0,45,4,5,3,5,2,3,2,4,2,2,4,5,4,3,3,4,6,4,4,3,4,5,4,5,1,46
281,2,5,5,5,5,5,2,5,5,5,5,5,3,3,5,3,3,2,5,3,4,4,4,4,4,1,0,2,3,2,5,5,5,4,3,3,4,4,4,4,4,5,5,5,5,5,4,3,5,5,5,1,43
292,3,3,4,2,2,4,5,4,5,4,3,4,1,4,1,1,5,1,1,1,2,1,1,1,2,0,30,2,2,5,5,6,4,5,4,4,5,5,5,4,4,4,4,3,5,4,3,3,4,2,2,1,24
294,3,4,4,4,4,4,3,4,4,3,3,4,3,4,2,3,5,5,3,2,2,1,2,1,3,0,20,2,3,3,3,4,3,2,2,2,4,3,3,4,4,3,3,3,3,4,3,4,4,4,4,1,51
297,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,4,4,2,5,3,2,1,1,1,1,0,30,1,1,7,7,7,4,5,5,5,5,5,5,3,3,4,4,4,3,3,3,3,3,3,3,1,38
298,3,3,4,3,3,4,2,2,3,3,3,2,1,1,1,3,4,2,2,1,2,2,3,1,3,0,5,4,4,4,4,4,4,3,3,2,3,3,3,3,3,4,3,3,5,4,3,4,4,3,3,1,39
299,3,3,3,3,3,4,2,2,2,2,2,4,1,1,1,1,4,1,1,1,1,1,1,1,5,0,15,4,3,4,4,4,4,3,3,3,3,3,3,3,4,3,4,4,3,4,3,4,3,4,4,1,22
300,4,4,4,4,4,4,3,3,2,3,3,4,1,2,1,1,2,2,1,1,1,1,1,1,2,0,15,1,2,2,2,2,2,4,3,4,5,4,5,4,4,4,4,4,4,3,3,3,3,3,3,1,38
304,4,4,5,3,3,4,4,4,4,3,3,4,4,5,2,3,5,3,5,4,2,1,3,2,2,0,20,4,2,5,5,5,5,2,3,2,3,3,3,3,4,4,4,4,4,3,4,3,4,3,2,1,61
307,3,3,4,4,3,4,2,2,2,2,3,3,1,1,1,1,1,1,1,1,2,1,1,2,3,0,10,3,3,4,4,3,3,3,2,2,3,3,3,3,3,4,3,4,4,3,3,4,4,3,3,1,40
310,3,2,4,4,3,4,3,3,4,2,3,4,2,5,3,2,5,6,2,3,2,2,4,2,2,2,0,5,3,5,5,5,5,2,2,2,3,4,3,4,4,4,3,4,4,5,5,5,4,5,4,1,38
315,1,1,1,1,1,2,1,1,1,1,1,1,6,7,3,3,6,3,5,4,2,4,3,4,3,5,0,5,5,5,5,6,5,2,2,3,2,3,2,3,4,4,3,3,4,3,4,4,3,4,4,1,58
319,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,0,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,5,4,4,2,3,1,38
322,3,4,4,3,3,4,3,3,3,3,3,3,3,3,2,3,4,4,1,1,4,1,2,3,1,1,0,5,4,5,5,5,4,3,3,3,3,3,3,4,3,3,4,3,4,4,3,4,3,4,4,1,48
323,5,5,5,5,5,5,4,4,4,4,4,4,5,4,5,4,5,4,4,5,2,2,3,2,3,1,30,5,4,5,5,5,5,3,3,2,3,3,3,4,4,4,3,3,4,3,4,3,4,3,4,1,42
324,4,4,5,4,4,5,4,4,5,3,3,4,1,1,1,1,3,1,1,1,1,1,1,1,1,0,5,1,6,1,1,1,1,4,1,4,4,4,4,3,3,4,3,3,5,5,3,4,5,5,5,1,47
327,4,4,4,3,4,4,3,3,3,3,3,2,2,2,1,3,5,3,5,4,2,4,2,2,2,0,30,3,3,3,3,3,3,3,2,3,2,2,2,4,5,3,4,4,3,3,4,3,3,4,3,1,49
328,4,4,3,3,3,4,3,2,2,2,2,4,2,4,1,1,2,1,1,1,1,1,1,1,1,0,30,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,1,52
