"","id","low_rep_est1","low_rep_est2","low_rep_est3","low_rep_est4","low_rep_est5","low_rep_est_all","low_rep1","low_rep2","low_rep3","low_rep4","low_rep5","low_rep_all","addiction1","addiction2","addiction3","addiction4","addiction5","addiction6","addiction7","addiction8","dependency1","dependency2","dependency3","dependency4","dependency5","line_time_hour","line_time_minute","extroversion1","extroversion2","network1","network2","network3","network4","lonely1","lonely2","lonely3","lonely4","lonely5","lonely6","rm1","rm2","rm3","rm4","rm5","rm6","rm7","rm8","rm9","rm10","rm11","rm12","sex","age"
"1",1698,3,3,4,3,4,4,2,2,1,1,1,3,2,2,2,2,5,3,1,2,4,4,4,4,2,3,0,3,3,3,5,5,5,4,2,4,2,2,2,3,4,4,3,5,2,5,3,5,3,3,3,1,30
"2",1815,1,1,1,1,1,4,1,1,1,1,1,4,6,6,6,6,6,6,7,3,3,3,3,4,4,1,0,6,5,4,5,5,5,3,3,3,3,3,3,4,4,4,3,3,4,3,4,3,4,3,3,2,44
"3",694,3,3,3,3,3,4,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,0,0,4,4,4,4,4,4,4,3,3,4,4,4,4,3,5,4,4,4,3,3,3,4,3,3,1,51
"4",916,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,3,1,1,2,0,10,5,3,4,4,4,4,2,2,2,2,2,2,1,1,1,6,6,1,6,1,6,1,6,6,2,31
"5",385,2,2,2,2,2,4,2,2,2,2,2,4,1,1,1,5,6,1,2,2,1,1,1,1,3,0,10,6,6,2,2,2,2,2,2,1,3,2,2,3,3,3,3,3,4,3,3,3,3,3,3,2,62
"6",392,3,3,4,3,3,4,3,3,4,3,3,4,3,2,4,2,5,4,4,3,2,2,4,2,2,1,30,5,5,5,5,5,4,1,2,1,2,2,2,4,5,5,5,4,3,5,4,4,4,4,4,1,41
"7",1158,2,3,4,4,4,4,3,4,4,3,4,4,4,5,3,3,4,3,5,3,2,1,3,1,3,0,30,4,4,3,4,4,4,4,4,3,4,4,4,3,3,5,3,4,3,3,4,3,3,3,4,1,55
"8",1685,3,3,3,2,2,3,3,3,2,2,4,4,3,3,5,3,4,4,3,3,3,3,2,3,3,0,40,4,4,4,5,5,4,3,3,3,4,3,4,3,2,2,4,4,2,5,3,5,2,3,3,1,53
"9",1228,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,2,0,10,7,6,4,4,3,5,1,1,1,2,2,2,6,6,6,5,6,3,3,5,4,2,5,5,2,55
"10",1050,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,3,3,2,2,2,2,2,2,2,2,0,5,2,3,2,2,2,3,3,3,3,4,4,4,3,3,4,4,4,3,4,3,4,3,4,4,1,64
"11",737,5,3,4,3,2,4,2,3,2,2,2,2,5,3,1,2,5,3,3,1,2,1,2,1,1,0,0,5,6,2,2,1,3,2,2,2,4,2,2,4,3,3,3,3,2,3,3,2,4,3,3,2,50
"12",704,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,5,5,5,1,1,1,4,4,1,4,0,50,1,1,5,6,6,1,5,4,5,5,5,5,6,5,6,6,6,6,6,5,4,5,4,4,1,38
"13",563,1,1,2,4,4,2,4,2,3,4,4,3,3,3,3,3,3,1,2,1,2,2,1,1,3,0,14,1,1,2,5,5,6,4,4,5,4,2,4,2,1,2,1,2,5,5,2,3,4,3,3,1,45
"14",1455,3,3,4,3,3,4,3,3,3,3,3,4,2,2,1,2,4,2,2,3,2,2,2,1,3,0,30,2,3,2,3,2,2,3,2,3,4,4,4,4,3,4,4,3,3,3,3,3,3,3,3,1,55
"15",584,4,4,4,3,3,4,3,3,3,2,3,4,2,2,2,2,3,3,2,2,2,2,2,2,2,0,30,2,3,2,2,2,2,3,2,4,4,4,4,3,3,3,4,5,4,3,4,3,3,3,3,1,40
"16",1292,2,2,2,5,2,3,2,2,2,4,2,2,3,2,1,2,5,1,1,4,2,1,2,1,2,0,0,4,4,4,4,5,4,3,3,2,3,3,4,3,3,3,4,5,3,4,2,4,4,5,4,1,65
"17",315,1,1,1,1,1,2,1,1,1,1,1,1,6,7,3,3,6,3,5,4,2,4,3,4,3,5,0,5,5,5,5,6,5,2,2,3,2,3,2,3,4,4,3,3,4,3,4,4,3,4,4,1,58
"18",713,3,3,3,4,3,4,3,1,1,5,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2,1,1,1,1,3,1,4,5,5,5,3,3,5,3,3,5,2,3,2,3,2,2,1,54
"19",395,3,5,3,2,1,2,3,4,1,3,2,3,4,4,1,3,1,2,2,5,3,3,3,4,3,4,0,3,5,4,5,2,1,5,4,2,4,2,3,4,1,3,6,1,4,4,3,3,3,6,3,2,21
