"","id","low_rep_est1","low_rep_est2","low_rep_est3","low_rep_est4","low_rep_est5","low_rep_est_all","low_rep1","low_rep2","low_rep3","low_rep4","low_rep5","low_rep_all","addiction1","addiction2","addiction3","addiction4","addiction5","addiction6","addiction7","addiction8","dependency1","dependency2","dependency3","dependency4","dependency5","line_time_hour","line_time_minute","extroversion1","extroversion2","network1","network2","network3","network4","lonely1","lonely2","lonely3","lonely4","lonely5","lonely6","rm1","rm2","rm3","rm4","rm5","rm6","rm7","rm8","rm9","rm10","rm11","rm12","sex","age"
"1",1698,2,4,5,4,3,5,4,2,2,4,1,2,1,2,1,2,2,2,4,2,1,1,2,2,2,1,0,2,4,1,3,3,5,2,3,2,2,1,4,5,3,6,3,4,4,3,3,3,1,3,5,2,45
"2",1815,4,3,5,4,3,4,1,3,3,3,2,4,2,2,1,5,3,4,2,1,3,3,4,1,1,0,0,6,4,1,4,4,6,4,2,2,4,3,4,4,3,5,3,1,4,2,3,4,4,4,4,1,49
"3",694,1,3,4,5,3,3,3,5,3,3,2,4,4,3,1,1,5,1,2,3,1,3,4,1,3,0,15,3,6,4,2,3,4,2,4,1,3,3,4,2,4,5,4,5,4,5,3,3,5,3,5,1,58
"4",916,3,2,5,5,4,2,3,3,2,4,3,4,2,2,3,3,2,2,4,2,1,2,1,1,3,1,10,4,4,3,6,2,3,1,2,3,5,4,2,2,2,4,3,4,3,1,3,4,4,4,3,2,52
"5",385,4,4,2,2,3,5,4,1,1,4,4,4,5,6,4,3,6,2,2,3,3,1,1,2,3,0,10,3,5,2,3,4,4,2,1,2,3,4,3,5,4,5,3,5,3,3,4,4,3,3,1,1,63
"6",392,3,1,4,5,2,4,2,1,1,2,4,2,3,3,1,5,6,2,3,1,3,2,3,2,4,1,0,1,1,2,5,1,5,1,4,2,3,3,1,4,2,3,3,3,5,5,4,3,4,2,2,1,49
"7",1158,3,2,1,4,1,4,6,1,1,2,1,6,5,3,5,2,3,1,5,1,2,1,3,2,4,0,0,2,6,3,2,4,4,3,2,2,2,4,4,4,5,4,3,4,3,3,4,3,4,4,3,2,36
"8",1685,3,1,2,3,2,4,1,2,3,2,2,4,4,6,1,3,3,3,1,2,1,1,2,3,2,0,0,1,2,4,4,4,3,1,1,4,3,4,2,5,4,5,3,4,4,2,4,3,4,4,5,1,42
"9",1228,3,4,1,3,3,4,1,2,4,2,3,4,3,3,5,6,5,2,3,3,1,2,1,2,3,1,10,3,2,2,4,3,2,2,4,2,4,2,5,3,4,2,3,2,3,5,2,4,4,3,4,2,63
"10",1050,4,2,4,4,3,5,4,3,1,1,6,2,3,1,5,5,4,3,2,1,3,3,2,1,3,0,10,3,6,2,5,5,5,5,2,2,3,2,2,3,3,3,3,6,4,4,3,3,4,4,4,2,47
"11",737,1,5,2,3,3,4,4,4,3,2,2,4,1,1,3,2,6,2,2,3,2,2,1,1,1,0,0,3,4,6,5,6,3,2,2,2,4,2,3,2,4,5,3,3,3,5,2,3,5,4,5,2,43
"12",704,3,5,4,5,1,3,1,3,2,2,1,4,3,1,5,4,1,1,3,2,4,3,2,4,3,1,30,4,3,2,5,5,3,1,1,3,2,3,4,3,4,1,3,4,5,5,4,4,5,5,3,1,74
"13",563,4,2,4,4,1,3,2,2,2,2,1,3,1,1,5,3,4,2,4,4,3,1,2,3,2,0,10,2,2,3,2,4,4,4,3,2,5,4,1,4,5,5,4,4,2,4,2,3,4,2,3,2,42
"14",1455,2,2,4,4,5,3,4,3,4,3,4,4,3,3,1,1,3,3,3,2,2,4,3,1,1,0,15,5,4,1,3,1,3,2,2,1,4,3,2,3,3,4,5,4,4,4,3,3,5,3,3,1,22
"15",584,3,5,3,2,2,3,4,3,4,3,4,4,4,4,4,3,1,3,1,2,2,2,4,2,3,0,50,4,5,3,4,4,1,1,2,3,2,2,1,1,4,4,4,3,2,4,5,4,4,3,3,1,50
"16",1292,1,3,6,5,3,4,1,2,2,3,2,4,1,5,1,2,3,3,3,3,2,1,4,2,3,0,10,4,1,3,7,1,3,4,2,2,4,4,5,3,4,3,4,4,2,4,4,3,4,5,3,1,51
"17",315,1,2,5,3,2,4,2,2,1,4,1,4,2,5,2,2,3,3,5,2,1,2,4,2,4,0,30,6,3,4,3,2,4,3,1,2,4,2,4,4,4,4,4,4,3,3,4,3,4,5,4,1,31
"18",713,4,3,2,3,4,5,2,4,5,3,3,2,4,2,1,4,4,1,3,2,1,1,3,3,3,0,0,1,5,3,2,5,5,5,3,3,3,2,3,2,2,4,5,4,3,4,4,4,2,3,5,1,54
"19",395,2,5,3,3,3,4,4,1,3,3,3,1,1,2,1,1,4,2,7,1,3,1,1,1,2,3,0,2,5,4,3,1,2,2,4,2,4,5,2,4,4,5,4,3,5,2,3,3,1,4,3,2,40
