"id","low_rep_est1","low_rep_est2","low_rep_est3","low_rep_est4","low_rep_est5","low_rep_est_all","low_rep1","low_rep2","low_rep3","low_rep4","low_rep5","low_rep_all","addiction1","addiction2","addiction3","addiction4","addiction5","addiction6","addiction7","addiction8","dependency1","dependency2","dependency3","dependency4","dependency5","line_time_hour","line_time_minute","extroversion1","extroversion2","network1","network2","network3","network4","lonely1","lonely2","lonely3","lonely4","lonely5","lonely6","rm1","rm2","rm3","rm4","rm5","rm6","rm7","rm8","rm9","rm10","rm11","rm12","sex","age"
584,4,5,5,4,4,5,2,2,2,2,2,3,1,3,1,1,3,1,2,1,2,1,1,2,3,0,30,3,3,4,2,1,2,2,2,1,3,3,4,3,2,5,5,5,5,4,4,4,5,4,4,1,62
1031,2,2,2,2,2,5,1,1,1,1,1,2,1,3,1,2,1,1,1,1,1,3,4,1,3,1,0,5,4,4,5,4,2,3,3,2,2,2,2,6,6,6,6,6,1,5,4,1,5,2,2,2,40
1604,1,1,1,2,2,3,1,1,2,1,1,6,7,7,1,7,7,5,4,2,2,3,3,1,2,2,30,4,3,4,5,1,4,3,3,3,3,3,2,3,3,4,3,3,3,3,3,3,3,3,3,1,33
1406,4,3,3,3,3,3,4,4,3,4,4,4,5,2,4,5,5,5,5,4,4,3,4,4,4,1,0,4,3,3,5,2,6,4,2,4,4,3,3,4,4,4,3,4,4,3,4,3,4,4,3,1,44
684,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,3,2,3,3,3,1,4,1,1,2,0,15,2,2,2,6,2,1,2,2,2,4,4,3,3,4,4,3,5,4,4,3,4,1,4,4,1,46
1043,4,4,4,4,4,5,3,3,4,3,2,4,3,3,3,4,6,2,3,4,2,2,2,2,1,0,5,2,1,4,5,5,6,4,4,5,4,4,4,4,1,2,3,3,4,3,2,4,4,3,4,1,45
1757,3,3,4,3,3,4,2,2,3,2,3,2,1,1,2,1,1,1,1,1,1,1,2,2,2,0,30,2,4,2,2,2,3,2,2,3,3,3,3,3,2,2,6,4,3,3,4,5,4,4,4,2,47
1131,1,1,4,4,3,4,1,1,1,1,1,1,3,2,3,4,5,2,2,2,2,3,2,2,3,1,0,3,5,4,4,5,3,3,1,2,3,3,3,4,4,4,5,4,4,5,3,5,4,5,5,1,38
1578,2,2,2,2,2,5,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,6,7,2,3,2,4,1,1,1,3,2,2,4,2,2,5,6,3,3,3,3,4,1,2,1,43
1089,3,1,5,2,1,2,2,2,4,2,1,3,1,1,1,5,4,1,1,1,2,1,1,1,2,0,0,1,1,4,5,5,4,4,3,3,4,3,3,4,4,4,3,4,4,4,4,3,5,4,4,2,38
225,4,4,4,4,4,4,2,5,3,3,3,5,3,3,2,3,3,3,3,3,3,3,3,2,3,0,20,3,5,4,4,4,2,2,2,1,4,4,2,2,4,4,3,5,3,5,3,4,4,4,4,1,53
1125,4,5,5,5,5,5,2,2,2,3,3,4,1,1,1,1,3,1,3,1,1,1,1,1,4,0,30,1,5,3,4,4,5,2,2,3,3,3,3,4,5,5,4,4,3,3,4,4,4,4,4,1,42
1348,4,4,5,5,5,5,4,4,4,5,5,4,5,4,5,6,4,5,4,3,2,2,2,2,3,4,30,3,4,3,5,5,5,4,5,3,4,4,4,3,4,3,3,2,4,2,3,2,3,3,3,1,29
1154,5,5,5,5,5,5,2,3,4,4,4,4,2,2,2,1,4,2,1,1,2,2,4,1,3,0,50,2,4,2,1,1,2,1,2,2,5,5,3,4,3,4,3,3,3,3,3,3,4,3,4,1,63
530,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,3,2,1,1,1,3,2,1,1,0,40,4,6,3,2,2,4,3,3,2,2,3,3,4,3,4,4,4,2,4,4,2,4,2,3,2,53
1346,3,3,3,1,2,3,3,3,3,2,3,3,4,6,4,2,6,4,5,5,3,3,3,3,3,1,0,3,4,4,5,4,5,1,2,1,2,3,2,4,4,5,3,3,4,4,2,4,4,4,4,1,39
1366,6,6,6,5,5,6,6,5,6,5,6,6,1,1,1,4,4,4,3,2,2,2,3,3,3,0,20,2,1,4,4,2,4,3,3,3,4,4,4,2,2,5,3,3,5,5,3,4,5,5,5,2,41
507,4,4,4,4,4,4,4,4,5,5,4,4,2,2,2,3,3,1,1,1,2,2,1,1,1,0,30,2,6,2,3,3,4,2,2,3,4,4,4,3,2,4,4,4,5,5,4,4,4,4,3,1,29
893,1,2,2,1,1,4,1,1,2,1,1,3,1,2,2,1,4,1,4,1,2,2,2,3,1,1,0,2,5,4,4,4,4,3,3,5,3,1,1,5,4,5,5,4,5,4,4,4,5,4,5,2,40
1045,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,0,20,4,3,1,1,1,1,1,1,1,3,2,2,5,4,5,5,5,1,5,3,5,5,5,5,2,60
1067,2,2,2,2,2,3,1,1,1,2,1,1,1,5,1,1,1,1,1,1,3,1,2,1,1,0,0,4,5,2,3,3,4,3,3,2,4,3,2,2,1,1,4,5,1,6,2,5,3,4,5,1,56
1472,2,2,3,3,2,2,2,5,5,4,4,6,2,2,2,3,2,2,2,2,2,2,2,3,1,0,30,1,4,3,3,4,3,4,2,3,2,2,2,4,3,5,2,3,5,2,4,1,5,3,3,2,48
860,4,4,4,4,4,4,5,5,5,3,3,5,5,4,3,4,5,3,5,3,4,2,2,3,2,2,0,4,5,3,4,3,4,4,4,4,4,4,4,3,4,4,3,3,5,3,3,5,3,2,3,1,33
1801,4,4,4,4,4,4,2,3,4,3,2,4,3,6,5,6,5,3,2,2,1,1,1,1,2,1,0,2,6,1,1,1,1,3,3,4,2,3,2,3,3,5,5,4,2,5,4,4,5,4,4,1,31
433,3,3,3,3,3,4,3,3,3,4,4,4,4,4,2,3,4,6,4,4,3,3,3,3,4,0,30,3,5,2,6,4,5,4,4,4,4,4,4,3,3,3,4,3,3,3,5,3,4,3,3,2,22
194,4,4,5,3,3,5,3,4,5,2,4,4,1,2,1,1,1,1,2,2,2,2,3,2,2,1,0,1,4,2,3,2,1,4,3,5,5,5,5,3,3,4,3,2,4,3,3,4,3,2,3,1,46
1188,2,3,4,4,3,4,2,3,3,3,3,4,3,3,3,2,4,2,2,2,1,1,2,1,3,0,0,2,3,3,5,5,6,4,3,3,4,4,4,4,4,4,4,5,4,3,4,2,4,2,3,1,38
1554,3,3,3,3,3,4,3,3,3,3,3,4,3,6,1,1,5,1,2,1,1,1,2,1,3,30,0,4,4,4,5,5,5,2,2,3,4,4,4,3,3,5,3,4,4,4,3,3,4,3,3,1,56
