"id","low_rep_est1","low_rep_est2","low_rep_est3","low_rep_est4","low_rep_est5","low_rep_est_all","low_rep1","low_rep2","low_rep3","low_rep4","low_rep5","low_rep_all","addiction1","addiction2","addiction3","addiction4","addiction5","addiction6","addiction7","addiction8","dependency1","dependency2","dependency3","dependency4","dependency5","line_time_hour","line_time_minute","extroversion1","extroversion2","network1","network2","network3","network4","lonely1","lonely2","lonely3","lonely4","lonely5","lonely6","rm1","rm2","rm3","rm4","rm5","rm6","rm7","rm8","rm9","rm10","rm11","rm12","sex","age"
935,4,3,2,3,2,2,3,3,2,3,3,3,1,1,1,3,2,2,1,1,2,1,1,1,2,0,30,4,4,4,4,4,4,4,4,2,4,2,3,4,4,3,3,3,3,3,4,3,4,3,3,1,51
1188,4,5,5,4,3,4,4,3,3,3,3,4,3,5,2,4,6,4,5,4,1,3,2,2,2,0,0,5,6,4,5,5,5,2,2,2,3,2,2,3,3,5,4,4,4,4,3,4,4,3,3,1,56
1129,1,1,1,1,1,3,1,1,1,1,1,3,3,3,6,4,4,2,3,2,2,3,4,2,3,1,30,5,5,4,5,5,5,4,2,3,3,3,2,4,4,3,5,5,3,4,4,5,3,4,4,2,23
1777,3,3,3,3,3,4,2,2,2,1,1,4,1,2,1,3,3,1,2,2,1,1,1,1,3,0,20,4,4,2,4,3,5,2,2,2,3,3,3,3,4,3,4,4,1,5,3,4,3,4,5,1,58
529,4,4,4,4,4,4,4,4,4,4,5,4,3,5,2,4,5,3,4,4,3,4,3,1,2,0,10,1,6,6,7,7,7,5,5,5,3,2,3,4,4,3,4,4,4,6,4,5,5,4,4,2,40
1808,4,4,4,3,3,4,4,3,3,3,2,4,5,5,2,3,5,3,3,3,2,2,3,3,2,1,0,5,5,3,5,3,5,2,3,2,3,3,3,3,4,4,4,3,4,5,3,3,4,4,3,2,47
651,4,4,5,4,3,4,3,4,5,4,4,4,2,4,3,6,3,3,2,2,3,1,2,2,2,0,10,2,4,4,5,5,5,3,3,4,5,4,5,4,4,4,4,4,3,3,4,2,5,3,4,1,44
930,3,4,4,3,2,4,3,4,5,3,4,4,2,3,1,5,3,1,2,1,1,1,2,1,3,0,0,4,3,6,7,5,5,3,4,2,3,3,3,3,2,4,4,3,4,3,3,4,4,3,4,1,35
616,3,4,4,4,4,4,3,3,4,4,3,4,4,4,2,1,5,2,6,4,1,1,2,2,2,0,10,1,1,4,2,2,2,4,4,3,3,3,3,3,3,3,4,2,4,2,3,3,3,3,3,1,46
431,5,4,4,3,4,4,3,4,4,3,2,4,3,3,5,6,6,4,3,3,4,2,2,3,2,0,0,2,5,2,2,2,3,3,2,3,4,3,3,3,3,3,4,4,4,3,4,4,4,3,3,1,46
1324,4,5,5,4,4,4,3,2,3,1,3,3,2,1,1,5,4,4,1,3,2,1,2,2,3,0,15,2,2,4,2,4,2,3,3,3,4,4,4,4,4,5,4,4,4,4,3,3,4,3,3,1,61
879,6,6,5,5,5,5,6,6,6,5,5,6,3,3,5,2,5,2,2,2,1,1,2,1,3,0,10,4,5,3,4,2,4,2,2,2,4,3,3,1,2,3,4,3,3,3,2,2,3,3,3,1,41
1548,3,3,2,3,2,3,2,1,1,1,1,2,2,1,2,1,2,2,2,1,2,1,2,2,3,0,0,3,6,2,2,3,2,2,2,2,4,3,3,2,2,1,4,5,1,5,3,4,1,4,4,1,56
871,1,1,1,1,1,3,1,1,1,1,1,2,2,2,1,3,3,2,4,4,2,1,2,1,2,0,0,4,4,2,4,5,3,2,3,2,3,4,4,3,3,4,3,4,4,1,4,3,4,2,3,1,21
682,4,4,4,5,4,3,4,3,3,4,3,3,1,2,1,1,3,1,1,1,1,1,1,1,2,0,5,2,4,1,1,2,1,2,2,3,5,5,4,3,4,5,4,3,3,4,3,2,3,3,3,1,56
778,6,6,5,5,4,5,4,5,5,4,4,5,4,5,5,5,5,5,5,5,3,3,2,2,2,1,30,6,5,5,5,7,5,3,3,2,2,2,3,3,3,3,4,3,2,3,3,3,3,5,4,1,47
233,4,3,4,4,3,4,4,4,3,3,3,4,5,4,1,5,5,4,6,6,2,3,4,2,2,0,5,2,2,4,5,5,4,5,4,5,4,4,4,3,4,4,4,5,3,4,4,4,4,3,3,2,37
1193,4,4,4,2,3,4,2,2,3,1,2,2,1,1,1,1,5,1,3,1,1,1,1,1,1,0,20,3,3,1,1,2,2,3,2,3,3,3,3,4,4,5,4,3,4,5,3,4,4,6,4,1,54
1216,4,3,2,2,2,2,3,2,2,2,2,2,3,1,1,2,2,2,2,4,1,2,2,2,1,0,0,2,5,3,3,4,1,4,3,3,5,4,4,3,3,5,5,4,4,5,5,3,4,4,3,1,61
389,4,4,4,4,3,4,2,3,3,3,2,4,2,2,1,5,6,3,3,2,1,1,2,1,1,0,5,3,3,4,5,6,5,2,3,2,3,2,2,3,4,6,5,3,3,4,4,4,4,4,4,2,43
1250,5,4,4,3,4,4,3,3,4,3,3,4,3,3,1,3,2,3,2,3,2,1,2,2,2,0,0,6,4,2,2,2,2,2,1,2,2,2,2,1,1,3,4,4,3,5,4,4,4,4,4,1,58
860,4,4,4,4,4,5,3,3,3,3,3,4,1,1,1,2,2,1,1,1,1,1,2,1,2,0,5,1,3,2,4,4,3,3,2,2,4,4,3,4,3,4,3,4,4,2,4,2,4,2,2,1,23
796,3,3,5,3,3,4,2,2,2,2,2,4,3,3,1,3,5,1,1,1,1,2,1,1,2,0,10,1,4,2,4,5,3,2,1,3,4,3,4,3,3,4,3,4,5,6,4,3,5,3,3,1,69
1414,2,2,2,2,2,3,3,3,3,3,3,4,4,3,2,3,6,1,5,4,2,2,2,2,1,0,0,4,7,6,5,5,5,3,2,2,3,4,5,4,3,6,5,5,3,4,5,4,5,3,4,1,53
1503,4,4,4,3,3,4,2,2,2,1,1,4,1,1,2,1,1,1,2,1,1,1,2,1,2,1,30,1,2,1,2,2,2,3,2,2,3,2,2,5,5,6,5,5,4,4,4,5,4,5,5,1,50
466,4,4,4,4,3,4,2,2,2,2,2,2,3,4,1,2,4,3,3,2,1,1,2,1,2,0,10,5,3,4,5,4,5,3,2,3,5,4,5,3,3,3,4,4,3,4,4,3,4,3,3,1,57
790,1,1,2,1,2,2,1,3,2,2,2,3,1,3,1,1,5,3,4,3,4,2,3,3,3,0,0,4,6,5,4,4,4,5,3,3,3,3,2,3,4,3,3,3,4,4,3,4,4,4,4,1,45
874,3,3,2,2,2,3,2,2,3,2,3,4,3,5,1,3,5,4,3,3,2,2,3,2,3,0,30,4,3,5,5,5,5,2,3,2,2,2,2,3,3,5,4,4,4,4,4,4,6,5,4,1,44
277,4,4,4,4,3,4,3,3,3,2,3,4,2,2,1,4,5,1,3,3,2,1,1,1,2,0,30,3,3,1,1,1,2,2,2,2,3,3,3,3,3,5,3,4,4,4,5,3,5,3,3,1,46
1200,4,4,5,3,4,5,2,2,3,1,1,3,3,2,1,4,5,2,2,1,1,1,1,1,1,0,10,3,5,2,3,4,3,2,1,1,3,3,3,4,3,6,4,4,3,4,4,4,5,4,5,2,70
526,4,4,4,3,3,4,3,3,2,2,3,4,1,1,3,3,6,2,3,1,1,1,1,1,1,0,0,1,3,4,5,5,5,4,4,3,5,5,4,4,5,4,3,4,4,3,4,3,4,3,3,1,33
1150,3,4,4,4,4,3,4,3,4,4,3,4,2,3,2,1,6,2,2,1,3,1,2,1,3,0,20,4,2,3,3,3,3,2,2,2,3,2,2,4,3,4,5,3,5,4,3,4,4,3,4,1,50
1809,3,2,2,1,1,4,2,2,1,1,1,3,3,2,3,3,3,2,4,3,2,2,2,1,2,0,15,2,5,3,4,5,5,4,3,4,3,2,2,3,3,5,3,3,2,3,3,3,5,2,3,2,71
540,4,4,4,3,2,3,3,4,3,3,3,4,3,3,5,1,4,1,2,2,1,3,2,3,3,0,0,4,7,4,4,4,5,3,2,3,3,2,3,4,3,4,3,4,5,3,3,4,3,4,5,1,53
1024,1,1,1,1,1,2,3,3,3,2,3,2,2,1,3,3,5,2,2,2,2,2,2,2,2,0,20,6,6,4,2,4,5,2,2,1,2,2,2,5,5,5,5,5,3,3,4,4,3,4,3,2,50
542,4,4,4,4,5,4,3,2,3,3,3,4,2,1,2,1,2,1,1,2,1,2,2,1,2,0.5,5,2,2,2,3,5,4,3,3,4,3,4,4,3,3,4,2,3,4,3,4,3,5,3,4,1,48
473,3,3,3,2,3,4,2,4,4,3,3,3,3,3,1,2,5,2,2,1,1,2,2,1,1,0,30,3,3,7,7,5,5,4,4,3,4,3,4,3,2,4,4,4,3,4,2,4,4,5,5,1,51
745,4,4,4,5,5,6,3,3,3,4,4,5,5,5,1,6,6,3,5,5,2,3,3,3,3,0,30,1,2,1,2,2,3,3,3,4,4,3,4,3,4,4,3,4,5,5,4,3,4,4,4,2,48
1649,3,3,4,3,3,4,2,2,3,3,2,4,1,1,2,4,2,2,2,1,1,1,2,1,4,0,10,3,3,3,4,4,5,2,2,2,3,2,3,4,4,4,4,5,3,4,4,4,4,4,4,1,52
1520,5,5,4,4,4,4,4,4,4,4,4,4,4,3,5,6,4,2,3,4,1,3,3,2,2,0,1,6,4,4,5,4,4,3,2,2,3,3,3,3,4,2,5,4,1,3,3,2,1,4,3,1,56
1128,3,3,3,3,3,4,2,1,2,2,1,3,3,3,1,3,5,3,1,2,2,3,2,2,2,0,5,5,5,4,3,4,2,3,2,3,3,3,2,4,4,4,5,5,4,3,3,4,5,4,4,1,58
244,2,3,4,2,3,4,2,3,4,3,2,4,1,2,3,2,2,3,2,1,2,2,2,1,3,0,20,4,7,3,4,4,4,3,2,3,4,4,4,3,4,4,5,4,4,6,4,4,5,4,5,2,28
1276,3,3,4,4,4,4,2,2,3,1,2,2,3,3,1,5,6,3,2,4,2,1,2,2,2,0,15,1,2,1,1,3,1,3,2,2,4,4,3,5,6,5,5,5,4,3,5,3,5,3,3,1,55
1367,2,2,2,3,3,2,3,3,3,3,3,3,2,3,1,3,6,3,3,1,3,1,2,2,2,1,20,2,3,4,5,2,4,2,2,2,3,2,4,3,2,3,4,4,5,4,3,3,4,4,5,2,64
1670,4,3,4,4,4,4,3,4,4,3,4,3,3,3,2,3,5,3,2,2,2,3,2,2,1,0,0,1,5,2,4,4,5,4,3,5,3,3,3,4,4,3,4,4,4,2,3,3,4,3,3,1,44
351,4,4,4,4,4,4,2,3,3,2,2,4,1,1,2,4,3,1,2,1,2,2,2,2,3,0,20,1,1,3,5,4,4,2,1,2,3,2,3,4,3,4,4,2,4,4,3,3,3,4,3,2,58
1036,4,3,4,3,2,4,3,2,2,2,2,4,3,3,1,4,4,1,3,2,1,1,2,1,2,0,0,6,6,1,2,1,4,1,1,2,2,2,2,5,6,6,4,4,3,3,5,3,5,4,4,1,54
879,3,4,3,3,2,4,1,1,2,1,1,4,1,1,5,1,1,1,1,1,1,1,1,2,2,0,0,5,5,3,3,4,4,2,3,3,2,2,2,4,3,3,2,3,4,2,4,2,5,3,2,2,23
585,3,3,2,3,2,4,4,4,3,3,3,4,3,1,2,3,6,3,2,4,4,3,4,3,1,0,20,4,4,5,6,5,4,3,3,3,3,4,4,4,4,4,2,4,4,4,3,3,3,4,3,1,47
1177,2,3,4,3,2,4,2,3,4,3,3,4,2,5,3,3,6,2,2,1,3,1,2,2,4,0,10,4,2,6,5,5,5,3,2,2,4,4,4,4,3,4,3,3,5,4,3,3,5,4,3,1,45
1660,3,3,2,3,3,4,3,1,2,2,1,3,5,3,3,3,1,3,3,3,1,2,3,2,3,0,15,3,2,3,4,2,4,5,1,3,4,3,2,2,2,3,4,4,2,4,3,3,2,3,3,1,27
974,2,1,2,2,1,2,2,2,3,2,2,3,3,3,1,3,4,1,3,3,2,2,1,2,1,0,30,5,5,5,5,4,5,2,2,2,3,3,4,3,4,3,3,3,4,4,4,4,5,5,4,1,63
762,4,4,5,4,5,5,3,4,4,3,3,4,3,3,1,2,5,3,2,2,1,2,2,1,2,0,5,2,3,2,4,2,2,3,3,2,3,4,4,3,1,3,4,4,2,4,3,3,4,4,4,1,32
