model,term,op,estimate,std.error,statistic,p.value,std.lv,std.all,std.nox,parameter,conf.low,conf.high,method,alternative
sem1,lonely ~ rm,~,-0.26238272788399347,0.04394558256736731,-5.970628048490843,2.363420126272331e-9,-0.26238272788399347,-0.18171000663113093,-0.34518643640378144,NA,NA,NA,NA,NA
sem1,network ~ rm,~,0.05831069108200787,0.08127679112787806,0.7174334797527115,0.47310666774082843,0.05831069108200787,0.022198537308706915,0.04216957628824471,NA,NA,NA,NA,NA
sem1,extroversion ~ rm,~,0.19191861315838918,0.0789575010874546,2.430657132193394,0.01507146930579939,0.19191861315838918,0.07501499070302108,0.142502649125997,NA,NA,NA,NA,NA
sem1,low_rep_est ~ rm,~,-0.2047644330614178,0.07026873883116763,-2.914018900401764,0.0035680830348863157,-0.2047644330614178,-0.08982207104517058,-0.17063100260312142,NA,NA,NA,NA,NA
sem1,addiction ~ lonely,~,0.07970224179843706,0.04000741319107651,1.9921868334195205,0.046350562330535805,0.07970224179843706,0.058493711593776254,0.058493711593776254,NA,NA,NA,NA,NA
sem1,addiction ~ network,~,0.20821241633748452,0.021987554451458717,9.46955773536111,0,0.20821241633748452,0.2779794539045166,0.2779794539045166,NA,NA,NA,NA,NA
sem1,addiction ~ extroversion,~,0.00760203406184736,0.022577557294625312,0.336707552665897,0.7363373693040549,0.00760203406184736,0.00988510056232798,0.00988510056232798,NA,NA,NA,NA,NA
sem1,addiction ~ low_rep_est,~,0.12094501672895235,0.025339163823978238,4.773046875939256,1.8145953439852036e-6,0.12094501672895235,0.14013340716916892,0.14013340716916892,NA,NA,NA,NA,NA
sem1,lonely ~~ lonely,~~,0.5587032459167864,0.024453776749493842,22.84731931759174,0,0.5587032459167864,0.9669814734901144,0.9669814734901144,NA,NA,NA,NA,NA
sem1,network ~~ network,~~,1.9111018824729324,0.08364665700634055,22.847319317591708,0,1.9111018824729324,0.999507224941354,0.999507224941354,NA,NA,NA,NA,NA
sem1,extroversion ~~ extroversion,~~,1.8035888103662994,0.07894093767830314,22.84731931759172,0,1.8035888103662994,0.9943727511698256,0.9943727511698256,NA,NA,NA,NA,NA
sem1,low_rep_est ~~ low_rep_est,~~,1.4284829471729634,0.06252300006474179,22.84731931759172,0,1.4284829471729634,0.9919319955531564,0.9919319955531564,NA,NA,NA,NA,NA
sem1,addiction ~~ addiction,~~,0.9650336719820731,0.04223837635249525,22.847319317591698,0,0.9650336719820731,0.8996150469683957,0.8996150469683957,NA,NA,NA,NA,NA
sem1,rm ~~ rm,~~,0.2771087527667272,0,NA,NA,0.2771087527667272,1,0.2771087527667272,NA,NA,NA,NA,NA
sem2,network ~ rm,~,0.05831069108200787,0.08127679112787799,0.7174334797527122,0.4731066677408282,0.05831069108200787,0.022198537308706915,0.04216957628824471,NA,NA,NA,NA,NA
sem2,addiction ~ network,~,0.20586864568755495,0.02202094262890932,9.348766270218082,0,0.20586864568755495,0.27446861601747063,0.27446861601747063,NA,NA,NA,NA,NA
sem2,low_rep_est ~ rm,~,-0.2047644330614178,0.07026873883116765,-2.914018900401763,0.0035680830348863157,-0.2047644330614178,-0.08982207104517058,-0.17063100260312142,NA,NA,NA,NA,NA
sem2,addiction ~ low_rep_est,~,0.13659503222103792,0.025373961471019998,5.383275779662756,7.314234373723139e-8,0.13659503222103792,0.15804654969194576,0.15804654969194576,NA,NA,NA,NA,NA
sem2,network ~~ network,~~,1.9111018824729324,0.08364665700634048,22.84731931759173,0,1.9111018824729324,0.999507224941354,0.999507224941354,NA,NA,NA,NA,NA
sem2,addiction ~~ addiction,~~,0.967984683429188,0.042367538614644845,22.84731931759171,0,0.967984683429188,0.8998612546146691,0.8998612546146691,NA,NA,NA,NA,NA
sem2,low_rep_est ~~ low_rep_est,~~,1.4284829471729634,0.06252300006474187,22.84731931759169,0,1.4284829471729634,0.9919319955531564,0.9919319955531564,NA,NA,NA,NA,NA
sem2,rm ~~ rm,~~,0.2771087527667272,0,NA,NA,0.2771087527667272,1,0.2771087527667272,NA,NA,NA,NA,NA
sem3,network ~ rm,~,0.18018885761807416,0.10171864382221779,1.7714437673098093,0.07648693589954059,0.18018885761807416,0.06889398506048383,0.130847267910025,NA,NA,NA,NA,NA
sem3,addiction ~ network,~,0.18953528911513495,0.027906958393613256,6.791685659248043,1.1083134410228013e-11,0.18953528911513495,0.25044931556228756,0.25044931556228756,NA,NA,NA,NA,NA
sem3,low_rep_est ~ rm,~,-0.2693836404396819,0.08868870663626793,-3.037406346948817,0.0023862354168699973,-0.2693836404396819,-0.11758893809809402,-0.22333141671321108,NA,NA,NA,NA,NA
sem3,addiction ~ low_rep_est,~,0.1694884890928182,0.03186115261800781,5.319596912417535,1.0399740535405044e-7,0.1694884890928182,0.19616797056038926,0.19616797056038926,NA,NA,NA,NA,NA
sem3,addiction ~ age,~,-0.006138408446682967,0.0032515315538893903,-1.887851415539971,0.05904590047388236,-0.006138408446682967,-0.06961561178794172,-0.00589009469519409,NA,NA,NA,NA,NA
sem3,addiction ~1 ,~1,1.769252248431387,0.2144563764094384,8.249940048663065,2.220446049250313e-16,1.769252248431387,1.697681634166458,1.697681634166458,NA,NA,NA,NA,NA
sem3,network ~~ network,~~,1.8873841830242528,0.10405485831520474,18.138357147217064,0,1.8873841830242528,0.9952536188224859,0.9952536188224859,NA,NA,NA,NA,NA
sem3,addiction ~~ addiction,~~,0.9717213058197298,0.0535727297644938,18.138357147216976,0,0.9717213058197298,0.8946943886199008,0.8946943886199008,NA,NA,NA,NA,NA
sem3,low_rep_est ~~ low_rep_est,~~,1.4348147472450505,0.079103897646278,18.13835714721652,0,1.4348147472450505,0.9861728416369627,0.9861728416369627,NA,NA,NA,NA,NA
sem3,rm ~~ rm,~~,0.2772255763630335,0,NA,NA,0.2772255763630335,1,0.2772255763630335,NA,NA,NA,NA,NA
sem3,rm ~~ age,~~,0.37345791643955,0,NA,NA,0.37345791643955,0.06001235301322246,0.37345791643955,NA,NA,NA,NA,NA
sem3,age ~~ age,~~,139.69109902901857,0,NA,NA,139.69109902901857,1,139.69109902901857,NA,NA,NA,NA,NA
sem3,network ~1 ,~1,2.980475964890803,0.3777376947550983,7.890332382165775,3.1086244689504383e-15,2.980475964890803,2.1643243773933487,2.1643243773933487,NA,NA,NA,NA,NA
sem3,low_rep_est ~1 ,~1,4.148015393541312,0.32935031707803397,12.59453894060928,0,4.148015393541312,3.4388953719526887,3.4388953719526887,NA,NA,NA,NA,NA
sem3,rm ~1 ,~1,3.6760385005065856,0,NA,NA,3.6760385005065856,6.981735692906567,3.6760385005065856,NA,NA,NA,NA,NA
sem3,age ~1 ,~1,47.4483282674772,0,NA,NA,47.4483282674772,4.014547016772807,47.4483282674772,NA,NA,NA,NA,NA
sem4,extroversion ~ rm,~,0.19191861315838918,0.07895750108745454,2.430657132193396,0.01507146930579939,0.19191861315838918,0.07501499070302108,0.142502649125997,NA,NA,NA,NA,NA
