model,term,op,estimate,std.error,statistic,p.value,std.lv,std.all,std.nox,parameter,conf.low,conf.high,method,alternative
sem1,lonely ~ rm,~,-0.26750782058082634,0.041969084867716513,-6.3739255078825625,1.842501706761368e-10,-0.26750782058082634,-0.19353824237238626,-0.41991974230852014,NA,NA,NA,NA,NA
sem1,network ~ rm,~,0.22870100298696028,0.08427947919673522,2.713602470811419,0.0066555980580247365,0.22870100298696028,0.08368926421697309,0.1815805177994895,NA,NA,NA,NA,NA
sem1,extroversion ~ rm,~,0.24838875564019888,0.08190425964088263,3.0326720091150823,0.0024239890631356786,0.24838875564019888,0.09344813011881249,0.20275431996122956,NA,NA,NA,NA,NA
sem1,low_rep_est ~ rm,~,-0.10126154190855018,0.07213641444437349,-1.4037506949646898,0.16039310068518997,-0.10126154190855018,-0.04340405078018191,-0.09417372812392762,NA,NA,NA,NA,NA
sem1,addiction ~ lonely,~,0.1505285059374177,0.042263574312089255,3.561660564387236,3.685166283471375e-4,0.1505285059374177,0.10394494879847412,0.10394494879847412,NA,NA,NA,NA,NA
sem1,addiction ~ network,~,0.1854075760552604,0.02137310352852522,8.674808307918855,0,0.1854075760552604,0.2531283241535859,0.2531283241535859,NA,NA,NA,NA,NA
sem1,addiction ~ extroversion,~,0.05786624921403139,0.02197451573586837,2.6333344456632544,0.00845510444507891,0.05786624921403139,0.07684251973711209,0.07684251973711209,NA,NA,NA,NA,NA
sem1,addiction ~ low_rep_est,~,0.15240976740559123,0.025032313156238276,6.08852112285154,1.1395842047789984e-9,0.15240976740559123,0.17764051419200672,0.17764051419200672,NA,NA,NA,NA,NA
sem1,lonely ~~ lonely,~~,0.3906254154848926,0.01709720996388941,22.847319317591744,0,0.3906254154848926,0.9625429487394075,0.9625429487394075,NA,NA,NA,NA,NA
sem1,network ~~ network,~~,1.5752343876533474,0.06894613612024336,22.847319317591765,0,1.5752343876533474,0.9929961070548217,0.9929961070548217,NA,NA,NA,NA,NA
sem1,extroversion ~~ extroversion,~~,1.4876969594077787,0.06511472697203023,22.847319317591747,0,1.4876969594077787,0.9912674469772975,0.9912674469772975,NA,NA,NA,NA,NA
sem1,low_rep_est ~~ low_rep_est,~~,1.1540127341442639,0.05050976519839288,22.847319317591726,0,1.1540127341442639,0.9981160883758714,0.9981160883758714,NA,NA,NA,NA,NA
sem1,addiction ~~ addiction,~~,0.7562920206590811,0.03310200247767184,22.84731931759173,0,0.7562920206590811,0.8886247718390768,0.8886247718390768,NA,NA,NA,NA,NA
sem1,rm ~~ rm,~~,0.2124227362891032,0,NA,NA,0.2124227362891032,1,0.2124227362891032,NA,NA,NA,NA,NA
sem2,network ~ rm,~,0.22870100298696028,0.08427947919673537,2.713602470811414,0.0066555980580247365,0.22870100298696028,0.08368926421697309,0.1815805177994895,NA,NA,NA,NA,NA
sem2,addiction ~ network,~,0.1951634283552295,0.02150280575129353,9.076184318108774,0,0.1951634283552295,0.26534683063616693,0.26534683063616693,NA,NA,NA,NA,NA
sem2,low_rep_est ~ rm,~,-0.10126154190855018,0.0721364144443736,-1.4037506949646876,0.16039310068519064,-0.10126154190855018,-0.04340405078018191,-0.09417372812392762,NA,NA,NA,NA,NA
sem2,addiction ~ low_rep_est,~,0.1671776602986959,0.02518715867152567,6.637416410438225,3.19229087608619e-11,0.1671776602986959,0.19404821964757726,0.19404821964757726,NA,NA,NA,NA,NA
