ID,BSMBS_1u,BSMBS_2u,BSMBS_3u,BSMBS_4u,BSMBS_5u,BSMBS_6u,BSMBS_7u,BSMBS_8u,BSMBS_9u,BSMBS_10u,BSMBS_11d,BSMBS_12d,BSMBS_13d,BSMBS_14d,BSMBS_15d,BSMBS_16d,BSMBS_17d,BSMBS_18d,BSMBS_19d,BSMBS_20d,SMBS_1,SMBS_2,SMBS_3,SMBS_4,SMBS_5,SMBS_6,SMBS_7,SMBS_8,SEIS_1,SEIS_2,SEIS_3,SEIS_4,SEIS_5,AC_1,Gender,Age,Nacionality,Marital_Status,Education,Occupation,Household_Income,Household_members_1,SSS,PoliticalOrientation
1,3,4,3,3,4,5,5,4,3,3,5,5,5,5,4,5,3,4,4,5,3,3,4,5,5,4,3,3,2,6,2,1,6,5,2,24,1,2,7,3,1300,2,7,3
2,6,7,7,5,2,6,7,5,4,4,6,6,2,3,6,1,1,2,2,2,2,4,6,5,6,4,4,2,2,7,6,1,6,5,2,53,1,3,6,5,NA,NA,7,2
3,7,7,7,4,4,1,7,4,7,7,1,1,1,1,7,4,1,1,1,4,1,7,1,4,7,7,1,1,1,5,5,1,5,5,2,58,1,3,4,1,NA,3,7,5
4,4,4,3,4,4,4,3,4,4,3,3,4,5,5,3,3,5,3,5,4,6,3,5,5,3,4,2,5,2,7,2,1,7,5,2,59,1,3,6,5,38000,3,7,4
5,6,6,6,6,6,5,7,6,6,7,7,6,2,6,5,2,2,2,2,1,1,3,1,6,6,4,1,7,4,5,6,6,6,5,2,59,1,3,6,5,2000,3,7,4
6,5,3,5,5,5,5,5,6,5,4,3,5,2,2,3,3,4,3,4,4,3,6,2,6,5,5,3,4,2,6,3,1,7,5,2,59,1,3,7,5,40000,2,7,4
7,4,6,4,4,6,6,7,4,6,4,4,2,4,4,2,3,1,4,2,4,2,6,2,6,6,6,2,2,6,2,3,4,5,5,1,59,1,3,6,1,6000,3,7,5
8,2,2,1,3,2,1,4,1,5,2,1,3,2,2,4,7,1,6,5,2,4,2,4,7,1,3,1,3,1,7,1,1,7,5,2,43,1,3,6,5,1500,4,6,6
9,4,5,5,4,3,3,4,4,4,5,3,2,3,3,3,2,3,3,3,4,1,5,2,6,7,7,1,2,2,6,5,2,6,5,2,52,1,1,6,5,1900,1,6,3
10,5,6,5,6,5,5,6,2,5,5,2,3,2,4,4,3,2,2,4,3,6,2,2,2,2,3,2,3,1,6,6,2,6,5,2,61,1,3,5,1,NA,3,4,NA
11,6,4,6,5,6,6,7,6,5,6,2,4,2,4,7,2,6,2,4,3,5,1,2,4,2,2,2,2,2,6,6,1,7,5,2,56,1,3,5,1,20000,2,4,3
12,3,4,4,4,5,4,5,4,4,5,5,4,5,4,3,3,2,3,4,5,3,4,3,5,6,6,3,2,2,2,6,1,7,5,2,74,1,4,6,6,1800,1,6,2
13,4,5,4,4,4,4,6,4,4,4,5,4,4,4,4,4,3,4,4,6,3,4,4,5,5,4,3,4,4,6,6,1,7,5,2,60,1,3,5,6,2800,2,5,4
14,1,4,7,4,4,4,7,4,7,7,4,4,1,1,4,1,7,4,1,7,1,7,1,7,7,7,1,1,7,7,7,1,7,5,2,60,1,5,4,5,30000,2,6,3
15,4,1,7,3,1,2,4,7,4,3,3,5,4,4,4,4,3,7,2,5,4,1,2,2,1,4,2,4,1,7,7,1,7,5,2,60,1,3,5,5,1000,2,5,2
16,7,7,6,6,6,6,7,6,6,7,1,1,1,1,2,1,1,1,1,1,1,6,2,7,6,7,1,1,3,4,4,1,6,5,2,57,1,3,6,5,3000,3,5,5
17,4,5,2,5,6,6,7,6,6,4,1,2,2,2,1,1,3,2,2,1,6,6,5,5,6,6,3,3,2,6,7,1,7,5,2,61,1,3,6,5,2000,2,6,3
18,6,5,4,5,5,3,7,4,4,6,2,5,4,2,3,3,1,2,2,2,3,3,3,4,5,5,2,2,2,6,6,1,7,5,1,54,1,3,6,5,3000,4,7,3
19,7,7,7,4,4,1,7,7,7,4,1,7,1,4,7,1,1,7,7,7,1,7,7,7,4,4,1,7,1,7,7,1,7,5,2,61,1,3,5,5,3000,4,7,4
20,6,6,6,6,6,6,6,2,6,6,2,2,2,1,2,1,6,1,2,4,4,6,4,5,2,4,2,2,2,7,6,1,6,5,2,59,1,3,5,5,4000,4,7,6
21,4,6,6,5,5,6,6,4,5,6,2,2,1,1,4,1,1,1,4,1,2,6,2,6,6,4,2,2,1,7,7,1,7,5,2,49,1,3,6,5,3000,4,8,5
22,7,7,4,4,4,7,7,7,7,7,1,4,1,1,4,1,7,1,1,1,1,7,4,6,6,7,1,1,2,6,5,1,6,4,2,40,NA,2,6,5,1800,3,7,NA
23,5,5,5,4,5,5,7,4,4,5,2,7,1,1,1,3,2,1,7,2,3,6,5,4,3,4,3,3,4,7,5,2,6,5,2,44,1,3,7,5,3000,4,6,4
24,5,3,2,5,2,2,6,4,3,2,6,5,6,5,6,5,2,5,6,6,6,3,6,3,2,3,5,6,1,7,7,1,7,5,1,36,1,2,5,5,500,1,3,2
25,2,6,2,2,2,1,6,2,2,2,6,4,6,6,6,5,3,6,3,6,3,1,1,4,1,5,2,5,1,7,6,1,5,5,1,30,1,1,4,5,1200,1,6,2
26,1,1,1,1,1,4,3,1,1,1,7,7,7,7,7,7,6,7,7,7,1,4,1,2,4,3,1,5,1,7,7,1,7,5,3,46,1,3,7,5,4500,4,7,1
27,5,3,4,4,5,3,5,4,4,4,3,3,4,4,3,4,2,3,3,3,2,6,1,3,5,5,2,3,2,6,6,1,7,5,1,45,1,3,6,5,3300,4,7,2
28,4,5,5,5,3,5,5,5,5,5,4,4,3,3,4,4,2,3,3,4,3,5,2,5,5,5,3,3,2,7,6,2,7,5,2,46,1,1,6,5,2000,3,6,2
29,1,1,3,6,1,1,7,2,2,4,2,4,2,2,3,1,6,1,3,2,4,7,2,2,7,7,1,1,4,6,6,1,7,5,2,30,1,2,5,5,1000,2,6,3
30,3,3,3,3,4,4,5,3,2,5,5,3,5,5,4,4,2,4,4,3,6,2,4,4,1,4,5,5,6,6,5,1,6,5,1,27,1,1,7,5,2500,3,7,2
31,5,5,4,5,5,5,5,4,5,5,3,3,3,3,3,3,3,3,3,3,5,4,3,3,2,2,5,4,1,7,6,1,7,5,1,48,1,2,7,5,5000,4,8,3
32,5,6,3,3,6,5,5,4,6,4,3,3,3,5,3,3,3,3,3,4,2,5,2,5,3,5,2,3,2,5,2,3,5,5,2,28,1,2,7,5,3500,2,7,2
33,2,4,4,3,4,3,3,4,4,2,6,4,4,6,4,3,4,3,3,6,3,5,3,5,4,5,4,3,2,6,6,1,7,5,3,22,1,1,6,2,1200,3,4,1
34,1,1,1,1,1,1,7,1,2,5,1,4,1,4,4,4,1,1,1,4,4,1,4,4,1,4,5,4,1,7,7,1,7,5,2,50,1,3,5,5,34120,4,6,2
