"","ID","BSMBS_1u","BSMBS_2u","BSMBS_3u","BSMBS_4u","BSMBS_5u","BSMBS_6u","BSMBS_7u","BSMBS_8u","BSMBS_9u","BSMBS_10u","BSMBS_11d","BSMBS_12d","BSMBS_13d","BSMBS_14d","BSMBS_15d","BSMBS_16d","BSMBS_17d","BSMBS_18d","BSMBS_19d","BSMBS_20d","SMBS_1","SMBS_2","SMBS_3","SMBS_4","SMBS_5","SMBS_6","SMBS_7","SMBS_8","SEIS_1","SEIS_2","SEIS_3","SEIS_4","SEIS_5","AC_1","Gender","Age","Nacionality","Marital_Status","Education","Occupation","Household_Income","Household_members_1","SSS","PoliticalOrientation"
"1",25,2,6,2,2,2,1,6,2,2,2,6,4,6,6,6,5,3,6,3,6,3,1,1,4,1,5,2,5,1,7,6,1,5,5,1,30,1,1,4,5,1200,1,6,2
"2",69,3,6,3,3,5,5,7,3,5,3,7,2,5,5,4,4,1,5,3,6,5,2,5,2,3,3,5,5,1,7,7,1,7,5,1,38,1,1,6,5,35000,1,5,2
"3",163,2,2,2,2,2,2,6,2,6,2,2,2,2,2,2,2,1,2,2,2,5,1,5,3,1,3,5,7,5,6,6,1,5,5,1,42,1,3,7,5,6000,3,9,3
"4",72,2,2,3,3,3,2,6,2,2,4,5,5,4,3,5,1,1,1,3,4,1,4,1,6,4,6,1,1,1,5,4,1,7,5,2,28,1,2,7,4,1500,2,7,1
"5",26,1,1,1,1,1,4,3,1,1,1,7,7,7,7,7,7,6,7,7,7,1,4,1,2,4,3,1,5,1,7,7,1,7,5,3,46,1,3,7,5,4500,4,7,1
"6",49,3,2,4,4,1,4,7,4,3,3,4,4,4,4,4,4,4,4,4,4,2,5,2,6,3,3,3,2,1,7,7,1,7,5,2,44,1,3,7,3,2500,4,5,4
"7",45,2,2,3,3,5,6,4,3,4,3,3,6,3,4,4,3,3,4,4,4,5,1,1,1,1,2,6,6,5,5,4,4,4,5,1,45,1,3,3,5,1000,5,4,NA
"8",74,4,5,4,4,4,4,7,1,4,4,1,4,4,4,4,3,1,2,4,4,4,2,2,3,2,2,5,4,1,7,7,1,7,5,2,35,1,1,7,5,1900,1,4,1
"9",111,1,4,4,3,3,2,6,3,5,4,5,6,3,4,5,2,1,4,3,6,2,1,6,3,2,4,5,6,3,6,6,1,7,1,1,31,1,1,5,5,1100,1,4,1
"10",136,5,5,3,5,3,3,6,3,5,5,3,3,3,3,3,3,3,5,3,3,6,3,2,3,6,3,5,6,1,6,7,1,7,5,1,37,1,2,7,5,20000,5,7,2
"11",78,5,7,6,5,6,6,7,5,7,5,2,1,2,2,2,2,1,2,2,2,2,6,2,6,7,6,2,1,6,1,1,3,2,5,1,29,1,2,6,5,4000,2,6,4
"12",90,2,6,2,3,4,6,5,3,5,3,6,3,3,4,3,2,3,3,5,6,2,4,2,3,2,4,2,2,3,6,6,2,6,5,1,58,1,3,4,5,3000,2,6,2
"13",25,2,6,2,2,2,1,6,2,2,2,6,4,6,6,6,5,3,6,3,6,3,1,1,4,1,5,2,5,1,7,6,1,5,5,1,30,1,1,4,5,1200,1,6,2
"14",152,7,5,6,7,6,5,7,6,6,7,6,7,5,4,5,4,5,4,5,5,1,4,6,4,5,1,3,5,4,4,4,7,6,5,2,47,1,3,2,1,12000,3,5,4
"15",113,2,3,2,1,2,3,6,2,3,2,5,3,4,5,5,4,1,3,4,6,3,1,2,4,2,5,5,6,1,7,7,1,7,5,2,43,1,3,6,5,3000,2,7,2
"16",59,1,4,1,2,3,3,4,4,4,3,3,4,2,5,3,4,4,4,2,5,1,7,1,4,4,6,1,1,1,7,7,1,7,5,1,39,1,2,7,5,5000,2,7,2
"17",135,2,2,2,3,1,2,4,2,2,4,5,7,5,6,7,6,4,5,6,6,6,1,4,1,1,1,7,6,1,7,7,1,7,5,1,40,1,2,6,5,2000,2,5,3
"18",149,6,1,4,5,1,5,6,4,6,6,3,5,4,4,6,4,1,4,4,4,1,4,4,7,4,4,1,3,1,7,7,1,7,5,2,57,1,3,6,5,1500,4,4,3
"19",143,4,4,3,2,3,1,5,1,4,4,4,3,4,3,3,3,6,3,4,5,6,1,6,1,1,1,6,7,1,7,7,1,7,5,2,43,1,3,7,1,3000,5,6,3
"20",1,3,4,3,3,4,5,5,4,3,3,5,5,5,5,4,5,3,4,4,5,3,3,4,5,5,4,3,3,2,6,2,1,6,5,2,24,1,2,7,3,1300,2,7,3
"21",137,2,2,3,2,3,2,5,2,2,3,6,3,5,5,4,6,3,5,6,6,2,3,3,3,1,2,3,3,1,7,7,1,7,5,1,26,1,2,6,3,650,1,4,2
"22",63,2,7,1,3,2,1,1,2,5,2,3,3,1,2,4,2,5,3,4,6,1,1,1,5,7,1,1,1,7,1,1,1,1,5,1,47,1,2,7,5,2600,3,9,4
"23",40,4,4,4,4,4,4,6,4,4,4,6,4,4,4,4,4,4,4,4,4,3,1,3,5,3,5,2,3,2,7,7,1,7,5,1,23,1,1,4,3,NA,NA,3,4
"24",25,2,6,2,2,2,1,6,2,2,2,6,4,6,6,6,5,3,6,3,6,3,1,1,4,1,5,2,5,1,7,6,1,5,5,1,30,1,1,4,5,1200,1,6,2
"25",163,2,2,2,2,2,2,6,2,6,2,2,2,2,2,2,2,1,2,2,2,5,1,5,3,1,3,5,7,5,6,6,1,5,5,1,42,1,3,7,5,6000,3,9,3
"26",100,5,4,3,4,2,4,7,3,4,4,2,3,2,3,4,2,1,2,3,3,2,3,3,3,3,4,3,5,1,7,6,1,7,5,1,38,1,2,6,5,3200,2,6,2
"27",28,4,5,5,5,3,5,5,5,5,5,4,4,3,3,4,4,2,3,3,4,3,5,2,5,5,5,3,3,2,7,6,2,7,5,2,46,1,1,6,5,2000,3,6,2
"28",38,5,6,5,5,4,5,1,5,5,6,3,3,3,3,5,4,3,3,3,3,2,4,2,3,5,6,2,3,6,6,5,1,6,5,2,19,1,1,4,2,NA,2,5,5
