"ID","BSMBS_1u","BSMBS_2u","BSMBS_3u","BSMBS_4u","BSMBS_5u","BSMBS_6u","BSMBS_7u","BSMBS_8u","BSMBS_9u","BSMBS_10u","BSMBS_11d","BSMBS_12d","BSMBS_13d","BSMBS_14d","BSMBS_15d","BSMBS_16d","BSMBS_17d","BSMBS_18d","BSMBS_19d","BSMBS_20d","SMBS_1","SMBS_2","SMBS_3","SMBS_4","SMBS_5","SMBS_6","SMBS_7","SMBS_8","SEIS_1","SEIS_2","SEIS_3","SEIS_4","SEIS_5","AC_1","Gender","Age","Nacionality","Marital_Status","Education","Occupation","Household_Income","Household_members_1","SSS","PoliticalOrientation"
131,1,3,3,2,3,3,4,4,4,3,7,4,3,4,5,4,3,4,4,6,3,2,3,3,2,5,5,5,1,7,7,1,7,5,1,53,1,2,7,5,NA,1,6,1
65,2,2,1,3,3,1,5,1,3,2,5,4,4,6,4,2,1,5,4,6,7,1,6,2,4,3,6,7,2,7,7,1,7,5,2,39,1,3,7,5,680,4,1,2
149,5,5,4,5,3,5,6,4,7,6,2,4,5,4,5,6,4,4,6,4,1,5,1,7,6,5,1,2,2,7,7,1,7,4,2,47,1,3,5,NA,2500,4,5,3
79,5,7,7,1,4,3,7,4,6,4,2,3,2,3,3,2,1,1,1,1,2,5,1,5,4,4,1,2,2,7,7,2,6,5,1,55,1,3,6,5,3000,4,6,6
136,2,2,3,2,2,3,6,1,3,4,4,4,3,4,5,1,1,1,3,4,5,1,1,3,2,2,3,7,1,5,5,1,7,5,1,43,1,3,7,5,2500,2,5,3
47,3,4,3,3,5,4,4,4,3,2,5,4,3,5,3,5,2,4,5,6,4,5,5,5,5,5,3,3,2,6,7,1,7,5,2,22,1,2,7,2,1900,3,6,2
164,3,3,3,3,5,5,5,4,6,4,5,4,6,3,4,4,6,1,2,3,3,4,2,4,5,5,1,5,5,7,6,1,7,5,2,53,1,1,5,5,2200,1,6,4
66,5,6,2,4,4,3,4,3,4,6,3,3,3,2,2,4,4,3,4,3,4,2,2,2,2,3,2,2,1,6,7,1,7,5,2,39,1,2,7,5,2500,2,6,2
146,5,6,5,6,7,4,5,5,5,7,3,3,2,4,3,3,2,2,4,1,2,5,2,5,4,4,2,1,1,6,6,3,6,5,2,60,1,3,4,6,1500,3,5,3
14,5,6,5,6,5,4,7,5,5,7,3,4,4,4,4,4,2,4,4,4,2,5,2,2,6,5,3,3,4,5,5,6,6,5,1,56,1,3,6,5,4000,4,6,4
17,7,7,5,4,4,5,7,7,5,4,1,2,1,1,7,3,3,1,7,4,4,4,5,7,6,5,3,3,2,7,6,2,5,5,2,56,1,3,6,5,3000,2,5,4
134,2,1,1,2,2,3,5,2,3,3,7,3,4,5,5,6,2,5,7,6,6,1,1,1,2,3,6,6,1,7,7,1,7,5,1,43,1,2,7,5,3500,2,5,1
