"ID","BSMBS_1u","BSMBS_2u","BSMBS_3u","BSMBS_4u","BSMBS_5u","BSMBS_6u","BSMBS_7u","BSMBS_8u","BSMBS_9u","BSMBS_10u","BSMBS_11d","BSMBS_12d","BSMBS_13d","BSMBS_14d","BSMBS_15d","BSMBS_16d","BSMBS_17d","BSMBS_18d","BSMBS_19d","BSMBS_20d","SMBS_1","SMBS_2","SMBS_3","SMBS_4","SMBS_5","SMBS_6","SMBS_7","SMBS_8","SEIS_1","SEIS_2","SEIS_3","SEIS_4","SEIS_5","AC_1","Gender","Age","Nacionality","Marital_Status","Education","Occupation","Household_Income","Household_members_1","SSS","PoliticalOrientation"
131,6,6,5,7,5,5,7,5,5,7,2,4,2,1,5,4,1,2,6,1,3,4,2,5,2,2,3,1,2,7,7,1,7,5,2,59,1,3,6,NA,42000,NA,7,3
65,3,5,7,7,3,3,6,5,6,5,3,2,2,2,3,3,1,3,4,4,2,2,2,4,5,5,2,1,2,7,7,1,7,NA,1,67,1,1,3,1,500,4,9,5
149,2,3,1,3,5,3,3,2,5,4,7,4,4,4,3,4,1,3,3,6,4,1,2,4,4,3,3,4,2,1,5,1,7,5,2,60,1,2,6,NA,4e+05,4,9,4
79,3,5,2,4,4,2,6,3,4,4,1,1,2,3,2,4,3,2,3,4,1,7,2,7,7,6,1,1,2,5,7,1,7,5,2,52,1,3,7,5,1900,2,8,3
136,4,4,3,4,4,2,5,2,4,4,3,2,1,1,2,1,1,2,2,2,3,2,1,2,4,4,3,5,1,5,7,1,7,5,2,47,1,2,6,NA,120000,1,8,2
47,6,5,5,5,6,6,4,6,4,4,2,3,4,4,4,4,3,5,3,3,5,5,2,6,6,5,3,3,1,6,7,1,7,5,2,57,1,2,6,5,20000,2,5,NA
164,4,5,3,4,4,5,5,3,5,4,6,2,4,3,3,3,2,3,2,3,2,4,1,5,4,2,2,3,1,3,6,1,7,5,2,27,1,1,6,5,20000,NA,6,1
66,6,7,4,7,4,2,6,4,5,5,2,4,3,2,5,2,1,2,2,4,3,4,5,3,6,5,3,1,1,4,3,1,7,5,2,40,1,3,7,5,4e+05,5,8,4
146,7,7,7,4,2,5,6,6,6,6,3,3,2,1,3,2,1,3,1,4,1,5,3,4,5,5,5,5,NA,6,6,4,6,NA,1,72,1,2,6,5,0,4,6,NA
14,3,7,3,4,5,4,6,4,5,4,5,4,2,4,3,4,1,4,5,5,3,5,3,3,4,5,2,3,4,6,7,1,7,5,1,38,1,3,5,5,22000,2,7,2
17,3,2,2,3,3,3,5,2,3,5,4,5,3,4,4,4,4,3,3,4,2,4,2,3,5,2,2,3,1,6,6,1,7,5,2,30,1,3,4,1,3000,4,6,2
134,4,7,5,4,4,6,6,4,7,6,4,1,2,4,4,2,2,2,1,2,3,4,2,3,6,3,5,3,2,7,6,3,7,5,1,22,1,2,7,5,3000,2,6,2
117,3,1,2,2,1,1,6,1,2,2,3,4,2,2,4,1,1,4,4,4,7,2,6,2,1,3,5,6,1,7,6,1,7,5,2,43,NA,3,6,1,3500,5,7,3
106,2,2,4,5,5,5,5,4,6,5,4,4,2,4,3,2,6,3,4,5,3,6,3,5,7,5,3,5,6,6,5,1,6,5,2,45,1,3,6,5,2000,2,9,NA
107,4,7,6,4,5,5,6,4,5,4,3,2,1,3,3,1,1,3,1,3,1,3,2,4,3,5,2,1,4,2,3,1,1,5,1,45,1,2,6,5,2800,2,7,NA
93,2,1,2,5,1,2,5,3,2,2,5,4,4,5,4,5,2,4,1,3,4,2,2,5,5,2,2,5,1,7,5,1,7,5,2,67,1,3,6,5,1300,2,6,2
17,7,5,5,6,6,5,7,6,6,7,4,3,5,6,6,5,1,4,4,4,4,4,4,6,4,5,5,4,2,6,6,4,6,5,2,60,NA,3,6,NA,56000,5,9,NA
2,4,5,7,5,4,6,7,5,6,5,1,2,2,3,4,4,1,2,1,1,2,5,1,6,4,4,2,1,2,6,5,2,6,5,2,43,1,2,6,5,3000,2,7,3
45,2,5,5,4,3,3,6,2,4,4,7,2,3,5,5,2,2,2,4,6,5,2,3,2,2,3,6,6,1,7,7,1,7,5,2,42,1,3,6,2,4500,4,5,2
171,3,4,1,2,1,2,5,2,4,3,6,3,5,4,5,4,3,3,4,6,2,3,4,3,2,1,6,5,2,6,7,1,7,5,2,22,1,2,7,5,2500,2,6,2
123,4,5,4,3,4,3,5,1,4,4,2,4,3,5,3,4,3,3,4,5,3,5,4,5,2,5,3,1,1,7,5,1,7,5,1,34,1,1,7,5,3000,3,5,2
108,2,5,3,3,4,2,6,4,3,2,4,3,4,3,4,4,3,4,4,3,2,4,2,5,4,2,2,1,2,1,6,1,7,5,1,46,1,2,6,5,3000,2,5,2
142,4,6,5,4,5,6,7,2,5,4,4,3,2,4,3,4,1,3,3,4,4,4,2,4,3,3,6,5,1,4,6,5,6,5,1,28,1,1,7,5,4000,3,6,1
162,4,3,3,2,2,2,4,1,2,2,5,3,4,3,3,3,2,2,3,4,5,1,2,1,3,2,6,7,1,4,7,1,7,5,2,40,1,2,7,4,2000,3,4,2
51,3,5,2,3,3,2,7,1,3,2,5,3,3,4,4,4,1,3,3,5,2,2,2,2,2,4,3,3,2,1,5,2,6,5,2,25,1,1,4,1,NA,NA,4,NA
41,7,5,4,5,6,3,5,5,4,5,2,3,4,2,4,1,7,3,4,5,2,4,5,5,6,6,3,2,4,6,7,1,6,5,1,59,1,3,6,5,2000,2,7,2
95,5,5,6,4,5,4,6,4,5,5,5,2,3,4,4,2,3,3,1,1,2,2,2,3,4,4,3,5,2,5,5,4,7,5,1,43,1,2,5,5,2500,1,5,2
172,5,5,3,5,4,5,1,4,4,4,3,2,3,3,3,4,7,2,3,3,4,5,4,4,3,3,3,3,NA,5,1,NA,2,NA,2,18,1,1,7,5,2000,1,8,6
142,4,1,3,3,4,5,5,4,2,4,5,5,5,5,5,4,4,4,4,6,5,3,3,1,3,2,5,5,2,7,7,1,7,5,2,48,1,2,6,5,30000,NA,6,2
36,3,1,3,2,3,1,4,2,3,2,5,5,4,5,5,4,2,7,5,5,3,3,5,5,4,4,2,6,2,7,5,1,7,5,2,27,NA,2,6,5,500,3,7,3
80,4,7,4,5,4,5,7,4,4,3,4,3,4,4,4,4,3,3,4,3,2,3,3,6,4,4,6,4,6,2,1,3,1,5,1,33,1,2,7,5,1200,2,6,2
108,2,4,3,3,2,4,4,1,4,3,5,4,4,7,3,3,2,5,2,4,3,1,6,4,2,2,5,6,1,7,6,1,7,5,1,27,1,1,6,5,0,2,5,2
149,4,7,6,5,6,7,6,6,5,5,1,2,2,1,2,2,7,2,3,1,3,5,1,7,5,4,3,4,1,7,7,2,7,5,2,47,1,2,7,5,3300,2,5,5
32,5,4,4,5,5,5,5,5,6,5,3,2,1,1,2,1,6,1,1,1,6,1,2,3,4,4,2,5,4,6,6,3,7,5,2,53,NA,2,5,5,3000,2,5,NA
96,4,6,3,5,3,4,7,3,6,7,2,4,1,3,3,2,2,3,2,4,1,5,3,4,4,6,1,1,4,6,6,1,7,5,1,33,NA,3,6,5,5000,5,6,NA
133,6,4,5,4,4,4,3,4,4,5,3,3,5,2,4,2,3,3,2,1,4,2,4,4,4,3,2,5,2,7,6,1,7,5,1,60,1,2,7,5,2000,2,7,3
27,2,4,1,3,3,4,6,3,2,3,5,4,6,5,4,5,3,4,6,4,3,6,3,3,5,4,3,3,2,7,7,1,7,5,2,30,1,2,7,1,1200,3,6,2
79,6,4,4,5,6,3,6,4,4,5,5,5,6,6,7,7,3,4,7,6,5,5,1,4,7,4,2,5,2,2,3,1,6,5,2,46,1,2,7,5,2600,2,7,2
97,3,3,2,4,4,5,6,2,4,2,4,2,5,6,4,4,3,4,3,4,5,4,1,4,3,3,1,2,NA,7,7,NA,5,NA,2,51,1,1,6,NA,60000,2,9,2
44,5,4,5,3,4,5,5,4,5,4,4,3,3,4,6,2,4,2,3,6,1,7,1,5,5,7,1,1,2,6,6,1,6,5,1,36,1,3,6,2,NA,NA,6,4
121,3,5,3,3,2,3,2,4,4,4,4,2,3,3,3,3,6,3,4,3,6,1,6,2,1,3,6,7,1,5,7,NA,3,5,2,25,NA,1,2,3,NA,NA,3,NA
93,5,4,2,2,4,1,3,3,2,3,7,6,5,3,4,5,2,4,4,6,2,2,5,2,5,1,5,6,NA,5,5,NA,5,5,2,27,NA,2,7,5,NA,NA,3,NA
28,5,5,5,4,5,4,7,2,6,4,4,2,2,1,3,3,1,3,3,2,3,2,4,3,3,2,5,6,1,7,7,1,7,5,2,42,1,3,7,5,1800,5,6,3
42,4,5,4,4,4,6,4,3,6,4,2,1,2,3,3,2,5,3,3,3,2,4,1,4,6,3,1,1,2,7,6,1,7,5,2,59,1,3,7,5,2000,5,8,2
141,5,6,4,3,4,4,7,3,5,5,4,3,3,4,4,2,3,3,1,6,3,3,3,3,1,5,6,6,1,7,7,1,7,5,1,60,1,3,7,5,40000,3,6,4
85,1,4,3,3,3,3,6,2,2,3,5,3,5,5,4,5,1,3,3,3,3,2,1,3,2,4,2,3,1,6,6,1,7,5,1,39,1,2,6,5,120000,4,6,4
19,5,7,4,2,4,5,5,4,6,4,3,2,2,4,3,5,6,3,4,3,2,7,2,3,7,4,2,3,1,5,5,NA,4,5,2,36,1,2,5,5,NA,1,7,5
10,1,6,4,4,1,1,6,3,4,4,2,4,1,2,2,1,3,3,3,3,2,5,5,5,6,5,5,3,1,7,7,1,7,5,2,27,1,1,7,5,1990,1,6,2
164,4,5,7,5,5,6,5,4,4,4,4,4,4,6,4,3,7,4,3,4,6,3,2,1,4,3,5,5,1,7,6,2,7,5,2,39,1,3,7,5,3500,4,6,NA
153,6,4,5,5,1,4,7,3,5,5,3,5,1,2,3,3,1,4,4,3,2,3,2,5,5,2,1,5,1,7,7,1,7,5,2,67,1,3,5,5,3000,4,7,6
150,6,6,7,6,6,6,7,4,7,5,1,3,2,2,3,3,3,3,5,4,4,4,5,5,2,4,4,4,6,3,5,NA,1,5,2,36,1,3,4,5,NA,1,4,NA
162,5,6,4,4,3,5,7,4,5,4,1,4,2,5,3,4,1,3,3,4,2,5,3,5,4,4,2,3,NA,6,7,NA,5,NA,2,36,1,1,5,5,2000,1,7,4
16,5,5,4,4,6,4,5,4,5,4,4,7,5,4,5,4,7,4,5,6,1,4,3,7,4,3,2,1,3,7,7,1,7,5,1,18,NA,1,4,NA,4500,NA,7,2
35,5,5,5,4,2,1,6,4,5,5,3,3,3,1,4,4,1,4,3,4,1,2,2,6,1,4,3,2,2,7,7,1,7,5,1,28,1,1,6,5,0,NA,7,2
96,6,5,6,6,4,4,5,5,5,6,2,2,4,4,3,4,2,4,4,3,3,2,6,3,2,3,3,3,2,7,7,NA,6,5,2,55,1,2,3,5,4e+05,2,7,4
82,1,2,2,2,2,1,6,2,4,4,4,3,3,5,3,2,1,4,2,6,2,1,5,4,2,3,3,5,3,7,5,1,7,5,1,55,1,3,7,5,850,2,7,1
91,2,1,2,4,1,1,6,2,3,3,6,5,6,7,5,5,3,6,4,7,5,1,3,1,1,2,5,6,1,7,7,1,7,5,1,18,1,1,5,1,2000,2,5,2
56,2,3,1,2,1,3,5,1,4,1,7,4,4,7,3,3,1,4,4,6,5,2,7,2,1,3,4,7,1,7,6,1,7,5,2,22,1,2,7,NA,35000,4,7,3
