model,estimate,statistic,p.value,parameter,conf.low,conf.high,method,alternative
cor.test1,0.5036256274176883,6.569542806514455,1.174726853709389e-9,127,0.36231190930939544,0.6223058591670393,Pearson's product-moment correlation,two.sided
cor.test1,0.6249666207640008,9.021972504421946,2.4563121697609943e-15,127,0.5068683211012902,0.7200367182060586,Pearson's product-moment correlation,two.sided
cor.test1,0.48055552497284404,6.1753776248541055,8.233164812815558e-9,127,0.33557615536084917,0.6032964096604465,Pearson's product-moment correlation,two.sided
cor.test1,0.4429797763326658,5.5682683396157975,1.464809007027335e-7,127,0.2925242692641288,0.5720330201621318,Pearson's product-moment correlation,two.sided
cor.test1,0.5062013618039781,6.6146780000085545,9.366296210580656e-10,127,0.3653114082592909,0.62441957768163725,Pearson's product-moment correlation,two.sided
cor.test1,0.0745514377937035,0.8424965610154086,0.40109388407853774,127,-0.09958626638002256,0.24425817589028265,Pearson's product-moment correlation,two.sided
cor.test1,0.5783120475243891,7.988625598936742,7.124366157728918e-13,127,0.4504903837071242,0.6829010633194472,Pearson's product-moment correlation,two.sided
cor.test1,0.5180286045155273,6.825036717837974,3.230071284412224e-10,127,0.37912215282502376,0.6341031607448967,Pearson's product-moment correlation,two.sided
cor.test1,0.6213293735713934,8.936291182787432,3.95455589962976e-15,127,0.5024364140160519,0.71716101713141,Pearson's product-moment correlation,two.sided
cor.test1,-0.37988551217749167,-4.628040225986911,8.98332793754121e-6,127,-0.5186807846611988,-0.22158123481662695,Pearson's product-moment correlation,two.sided
cor.test1,-0.2805104224909406,-3.293419483123245,0.0012824604859150402,127,-0.4323988823889008,-0.1131420091307576,Pearson's product-moment correlation,two.sided
cor.test1,-0.13024525420617664,-1.480399802711744,0.14124312706891645,127,-0.29642605864692795,0.04359050040847247,Pearson's product-moment correlation,two.sided
cor.test1,-0.20165607880115002,-2.3202141619696537,0.021924381905870483,127,-0.3618958086041351,-0.029841900506112667,Pearson's product-moment correlation,two.sided
cor.test1,-0.1136487703090196,-1.2891087455537316,0.19970332926886716,127,-0.2809833221430066,0.060391993048778375,Pearson's product-moment correlation,two.sided
cor.test1,-0.24891262295415134,-2.8962598419957364,0.0044481300651125115,127,-0.40436877992013637,-0.07947782556253774,Pearson's product-moment correlation,two.sided
cor.test1,0.10628029045976323,1.2045403085798516,0.23062078022330873,127,-0.06782001345091138,0.2740991919052755,Pearson's product-moment correlation,two.sided
cor.test1,-0.24929213581190626,-2.9009680996387535,0.004385987563576449,127,-0.40470718375943554,-0.0798798771007334,Pearson's product-moment correlation,two.sided
cor.test1,-0.10685301905362167,-1.2111061613623089,0.22810356860800937,127,-0.27463489068682745,0.06724334792717117,Pearson's product-moment correlation,two.sided
cor.test1,-0.3282281284945445,-3.915889360918384,1.4620427990524298e-4,127,-0.4741796119454864,-0.16471920126076808,Pearson's product-moment correlation,two.sided
cor.test1,0.5470751654232361,7.365124394358945,1.9733884236274583e-11,127,0.41330466667709637,0.6577315933299472,Pearson's product-moment correlation,two.sided
cor.test1,0.3118639418225081,3.699009690912106,3.20951624540558e-4,127,0.14693013000476707,0.45992511757825716,Pearson's product-moment correlation,two.sided
cor.test1,0.43178811332330197,5.394833048760043,3.2358317635390357e-7,127,0.2798183877598447,0.5626484055233457,Pearson's product-moment correlation,two.sided
cor.test1,0.43559010055146224,5.453399613199802,2.4799167788738394e-7,127,0.2841288168475128,0.565840296607239,Pearson's product-moment correlation,two.sided
cor.test1,0.2980862357871517,3.5192500985322277,6.013666761733543e-4,127,0.13203502662277505,0.447864185842986,Pearson's product-moment correlation,two.sided
cor.test1,0.4576040942107923,5.799810059014324,4.977296459487419e-8,127,0.30920769261749304,0.584245328835271,Pearson's product-moment correlation,two.sided
cor.test1,0.5767379829373057,7.956022473476914,8.493976422621023e-13,127,0.44860587839817834,0.6816386566130571,Pearson's product-moment correlation,two.sided
cor.test1,0.4791762886888243,6.152361386865675,9.207999955423098e-9,127,0.33398513474933883,0.6021555022456269,Pearson's product-moment correlation,two.sided
cor.test1,-0.295099474546644,-3.4806056107567573,6.862999372940454e-4,127,-0.4452423818046045,-0.12881589350503714,Pearson's product-moment correlation,two.sided
cor.test1,-0.42609311255409155,-5.307765352040634,4.791248056028576e-7,127,-0.5578599581481791,-0.27337323321859186,Pearson's product-moment correlation,two.sided
cor.test1,-0.38377668220914024,-4.6835846769853395,7.136184229884255e-6,127,-0.5220027182855511,-0.22590850165116266,Pearson's product-moment correlation,two.sided
cor.test1,-0.17687971849232478,-2.0252666357249027,0.04493595285421626,127,-0.339358408613015,-0.004152290936239633,Pearson's product-moment correlation,two.sided
