model,estimate,statistic,p.value,parameter,conf.low,conf.high,method,alternative
cor.test1,0.5641674074102349,8.696891093353498,3.642858901228472e-15,162,0.44980721774033694,0.6603264045392159,Pearson's product-moment correlation,two.sided
cor.test1,0.6281976176369306,10.276474542967861,2.1777369114753225e-19,162,0.5255423274479232,0.7128231550324728,Pearson's product-moment correlation,two.sided
cor.test1,0.6148370364449841,9.92272412926969,1.991264798417485e-18,162,0.5096039183658065,0.7019468869523822,Pearson's product-moment correlation,two.sided
cor.test1,0.5436587406803703,8.244481837733689,5.372913085198777e-14,162,0.42589234614952853,0.6433107790238486,Pearson's product-moment correlation,two.sided
cor.test1,0.5329670396076291,8.017107086237468,2.0355489427904294e-13,162,0.41348981647143945,0.6344008790867642,Pearson's product-moment correlation,two.sided
cor.test1,0.3080197344802126,4.120804837634193,6.010381791245712e-5,162,0.16243754626688037,0.440477335281504,Pearson's product-moment correlation,two.sided
cor.test1,0.6438029536295452,10.70879085744057,1.4283692394622723e-20,162,0.5442502844530661,0.7254754527948031,Pearson's product-moment correlation,two.sided
cor.test1,0.6047550005572425,9.664945614050023,9.87959511463875e-18,162,0.49762424887220424,0.6937125553781502,Pearson's product-moment correlation,two.sided
cor.test1,0.6788847970452196,11.768272294523971,1.6900290153422313e-23,162,0.5866716519423956,0.753718546983489,Pearson's product-moment correlation,two.sided
cor.test1,-0.38853669772439986,-5.3669268020159455,2.731644894428751e-7,162,-0.5113397767766097,-0.25018353911647423,Pearson's product-moment correlation,two.sided
cor.test1,-0.27871428203667376,-3.6938249170125377,3.0166851222296034e-4,162,-0.4142695050849534,-0.13106245534677052,Pearson's product-moment correlation,two.sided
cor.test1,-0.2647926268214412,-3.4950130825027887,6.115661381916809e-4,162,-0.401740125792144,-0.1162605253802073,Pearson's product-moment correlation,two.sided
cor.test1,-0.3266704207431209,-4.399182199001365,1.962268153930414e-5,162,-0.4570398846083966,-0.18255988259463252,Pearson's product-moment correlation,two.sided
cor.test1,-0.16228541053031173,-2.0933052034667674,0.03787968724918684,162,-0.307878297720899,-0.009265968702237984,Pearson's product-moment correlation,two.sided
cor.test1,-0.3753249497759519,-5.153890668223028,7.345807703449276e-7,162,-0.49982561528677233,-0.2356280339074721,Pearson's product-moment correlation,two.sided
cor.test1,-0.07745515861270517,-0.9888137801379021,0.32422884272143204,162,-0.2279987037885298,0.07670522044429282,Pearson's product-moment correlation,two.sided
cor.test1,-0.41034257458180995,-5.727193970003335,4.8418973987634216e-8,162,-0.530247851453995,-0.27434484923555674,Pearson's product-moment correlation,two.sided
cor.test1,-0.2285908691537146,-2.9886176500858257,0.00323912655349593,162,-0.36891703138499404,-0.07807610570105404,Pearson's product-moment correlation,two.sided
cor.test1,-0.36002822851183075,-4.911788867758186,2.189359822190759e-6,162,-0.486439182509584,-0.21885342122266005,Pearson's product-moment correlation,two.sided
cor.test1,0.48958866880279933,7.14653510641561,2.874542032995785e-11,162,0.3636210529565935,0.5979729968229204,Pearson's product-moment correlation,two.sided
cor.test1,0.44123736690877263,6.258184421406104,3.34571395586381e-9,162,0.3088733647508537,0.5568343519295522,Pearson's product-moment correlation,two.sided
