ID;BSMBS_4u_I1;BSMBS_8u_I2;BSMBS_9u_I3;BSMBS_10u_I4;BSMBS_11d_I5;BSMBS_13d_I6;BSMBS_14d_I7;BSMBS_18d_I8;MBS_1;MBS_2;MBS_3;MBS_4;MBS_5;MBS_6;AC_1;ESJS_1;ESJS_2;ESJS_3;ESJS_4;ESJS_5;ESJS_6;ESJS_7;SAS_1;SAS_2;SAS_3;SAS_4;SAS_5;AC_2;Gender;Age;Nacionality;Marital_Status;Education;Occupation;PoliticalOrientation;SSS;Household_Income;Household_members_1
1;5;4;3;5;2;3;5;4;2;3;2;2;3;2;3;3;3;3;3;3;3;3;3;5;5;3;3;5;1;35;1;1;7;5;3;7;NA;NA
2;5;4;4;3;3;3;4;3;3;3;3;3;5;3;5;5;5;2;3;4;4;5;3;5;2;5;2;5;2;44;1;1;7;5;2;6;2500;1
3;4;4;4;4;5;4;4;3;1;1;1;1;1;1;5;2;1;7;1;1;1;5;4;7;5;5;7;5;1;23;1;1;6;5;2;4;30000;3
4;4;3;5;4;3;4;3;1;5;2;1;1;4;3;5;2;1;6;3;4;1;7;2;4;4;5;4;5;2;48;1;3;7;5;2;7;4000;4
5;2;2;4;2;6;4;4;3;2;2;2;2;2;2;5;2;2;6;3;2;1;2;1;2;2;2;1;5;1;46;1;3;7;5;1;5;30000;2
6;1;1;4;2;5;4;5;5;1;1;1;1;1;1;5;1;1;1;1;1;1;2;2;7;5;4;7;5;2;26;1;1;6;5;2;5;1030;1
7;5;5;4;3;2;2;4;2;1;1;1;1;1;1;5;1;1;1;1;2;1;7;1;4;1;5;1;5;1;21;1;1;4;2;2;7;40000;4
8;5;3;4;5;2;3;4;4;1;2;1;1;2;2;5;3;1;1;2;3;1;6;6;7;3;3;5;5;2;23;1;1;6;5;3;7;7000;5
9;4;3;3;3;2;3;2;3;2;2;2;2;2;2;5;3;1;1;2;3;1;6;6;5;7;7;5;5;1;48;1;3;7;5;3;5;33000;5
10;5;4;5;4;4;3;5;3;4;2;4;2;3;1;5;3;2;2;1;2;2;5;4;6;4;4;4;5;2;27;1;2;7;5;2;6;2000;2
11;2;2;2;2;3;2;2;1;1;1;1;1;1;1;5;1;1;1;1;1;1;4;1;2;5;5;2;5;1;29;1;2;6;5;2;7;2200;2
12;2;2;2;3;5;4;3;3;4;2;2;2;2;3;5;2;2;1;2;2;2;4;5;5;5;4;4;5;1;37;1;1;6;5;2;4;1100;1
13;1;1;4;5;3;5;2;2;1;1;1;1;1;1;5;1;1;2;1;1;1;3;6;5;6;4;6;5;2;27;1;2;7;5;2;4;1500;2
14;4;4;2;4;4;4;4;3;4;4;2;2;2;2;5;4;1;1;1;4;7;6;4;3;3;3;3;5;2;49;1;3;6;1;3;5;3000;3
15;2;4;4;3;5;4;4;3;1;1;1;1;1;1;5;1;1;2;1;1;1;1;3;7;5;4;5;5;1;34;1;3;6;1;2;5;1900;2
16;2;2;2;3;5;3;4;3;5;4;2;2;4;4;5;4;2;1;2;4;2;3;7;7;7;7;7;5;2;24;1;2;6;2;2;3;850;2
17;4;4;3;3;6;5;4;4;4;3;3;4;4;3;5;5;2;2;5;5;4;7;6;6;4;7;6;5;2;54;1;1;7;5;3;6;2800;1
18;4;4;5;4;4;2;4;4;1;1;1;1;1;2;5;1;1;5;1;1;1;5;1;1;3;5;1;5;2;56;1;2;6;5;3;5;35000;2
19;5;4;3;3;6;4;4;4;1;1;1;1;1;1;5;1;1;4;1;1;1;1;4;6;4;4;6;5;2;39;1;3;5;4;1;6;3500;4
20;3;1;2;2;2;1;3;2;2;1;1;1;1;1;5;1;1;1;2;1;1;4;7;7;7;7;7;5;2;21;1;1;4;3;1;4;2300;4
21;3;1;3;5;2;1;2;3;2;1;1;1;1;1;5;2;1;1;2;1;1;4;3;6;6;6;5;5;1;37;1;3;7;5;2;5;4000;3
22;2;3;4;3;5;4;5;4;2;2;2;2;1;1;5;1;1;1;2;5;2;6;4;5;3;3;3;5;1;37;1;1;4;5;2;4;1100;1
23;3;3;3;3;6;5;5;5;2;2;2;2;2;2;5;2;1;2;2;2;1;1;4;2;3;5;2;5;1;49;1;2;5;5;2;6;22000;1
24;4;4;4;4;3;4;3;3;2;2;1;6;2;2;5;1;1;1;1;1;1;4;1;1;1;1;1;5;1;41;1;3;6;5;2;7;5500;3
25;2;2;2;3;2;2;2;4;1;1;2;2;2;1;5;2;1;1;1;1;1;3;4;4;4;4;4;5;1;60;1;1;7;5;2;4;1800;1
26;3;3;2;3;5;5;5;4;2;1;1;1;1;1;5;1;1;1;1;1;1;3;4;4;5;5;4;5;1;29;1;2;7;5;3;6;2100;1
27;2;1;2;2;4;4;2;2;1;1;1;1;1;1;5;1;3;1;2;1;1;4;1;1;1;3;1;5;2;51;1;4;4;1;1;4;0;1
28;3;3;5;3;5;6;2;3;1;1;1;2;3;2;5;1;1;1;1;3;1;4;2;6;5;4;3;5;1;27;1;1;6;1;2;4;50000;4
29;5;5;5;5;2;2;3;3;4;3;3;3;5;3;5;4;4;1;4;5;4;6;5;5;5;5;5;5;1;37;1;2;7;5;3;7;6000;2
30;5;4;4;5;3;2;3;2;4;5;4;4;5;3;5;4;2;2;3;5;2;5;2;2;2;2;2;5;1;56;1;2;7;5;2;7;50000;3
31;3;2;3;4;4;3;4;4;2;1;2;1;2;1;5;3;1;1;3;5;1;6;3;7;3;6;3;5;3;33;1;3;6;5;2;8;5500;2
32;5;3;5;5;3;3;3;3;1;1;1;1;2;2;5;1;1;1;1;3;1;5;5;6;5;7;1;5;1;50;1;3;7;5;1;7;85000;5
33;2;1;1;1;7;2;4;1;1;1;1;2;1;1;5;2;1;6;4;4;1;7;5;5;6;6;7;5;1;36;1;2;7;5;2;7;1400;4
34;5;5;5;5;4;1;3;1;1;2;2;1;2;1;5;3;1;1;1;1;1;5;3;5;3;5;5;5;1;39;1;3;7;5;2;6;4200;3
35;6;5;5;6;3;1;2;3;2;2;2;1;2;1;5;2;1;2;2;2;1;3;2;3;2;6;3;5;1;32;1;1;6;5;2;7;2300;1
36;2;1;2;2;6;5;6;6;1;1;1;2;1;1;5;1;1;1;1;1;1;6;1;1;1;2;2;5;1;36;1;1;7;5;2;5;1300;1
37;5;5;5;5;3;3;3;3;2;1;2;2;3;2;5;2;2;1;1;2;2;4;2;3;2;4;3;5;1;35;1;4;6;5;2;5;1,00E+05;3
