"","ID","BSMBS_4u_I1","BSMBS_8u_I2","BSMBS_9u_I3","BSMBS_10u_I4","BSMBS_11d_I5","BSMBS_13d_I6","BSMBS_14d_I7","BSMBS_18d_I8","MBS_1","MBS_2","MBS_3","MBS_4","MBS_5","MBS_6","AC_1","ESJS_1","ESJS_2","ESJS_3","ESJS_4","ESJS_5","ESJS_6","ESJS_7","SAS_1","SAS_2","SAS_3","SAS_4","SAS_5","AC_2","Gender","Age","Nacionality","Marital_Status","Education","Occupation","PoliticalOrientation","SSS","Household_Income","Household_members_1"
"1",212,5,5,5,5,3,3,5,3,4,4,4,3,4,4,5,4,2,1,3,4,1,3,1,2,1,1,1,5,2,62,1,3,2,5,2,4,3000,4
"2",175,6,4,4,4,4,4,5,4,2,1,1,1,2,1,5,2,2,1,1,2,1,3,2,4,4,5,1,5,2,37,1,2,5,5,2,5,3300,3
"3",281,5,4,5,3,4,3,5,3,5,5,5,3,3,4,5,5,2,1,3,5,3,6,4,6,5,4,5,5,2,42,1,1,6,5,5,7,1500,1
"4",187,4,4,5,3,4,3,4,4,2,1,1,2,2,2,5,2,1,1,2,3,1,5,3,5,6,6,6,5,2,31,1,2,7,5,2,7,2500,2
"5",69,3,1,4,2,3,2,4,1,1,1,2,1,2,1,5,2,1,1,1,3,1,4,7,7,7,7,4,5,2,52,1,4,7,5,4,3,1100,2
"6",163,3,3,5,4,3,3,2,3,6,6,5,3,5,5,5,7,2,5,5,5,2,5,3,5,3,3,3,5,2,19,1,1,4,2,5,7,3500,5
"7",72,2,2,5,1,6,3,6,3,2,2,3,1,1,2,5,2,1,5,2,2,1,2,5,6,7,5,4,5,1,48,1,3,6,5,2,6,1800,3
"8",282,2,3,4,3,4,4,4,4,3,2,2,2,3,3,5,2,2,2,2,3,2,6,5,6,6,6,6,5,2,20,1,1,4,2,2,6,1700,4
"9",305,1,2,2,2,6,3,6,6,1,1,1,1,1,1,5,1,1,1,1,1,1,7,2,7,3,7,1,5,2,25,1,1,7,5,1,6,1100,1
"10",45,4,4,4,5,2,2,2,2,1,1,5,1,4,5,5,4,1,1,1,1,1,5,6,7,7,7,7,5,1,28,1,1,5,4,3,6,2500,3
"11",74,3,3,7,2,6,6,7,6,2,2,2,4,2,2,5,2,3,2,3,2,1,7,6,6,7,7,6,5,2,53,1,3,6,4,3,6,3000,2
"12",367,4,4,4,5,4,4,4,4,2,2,2,1,1,2,5,2,1,5,1,1,1,1,1,6,1,1,1,5,2,32,1,2,7,2,1,6,900,2
"13",392,6,6,6,6,2,2,2,2,2,2,4,2,4,5,5,4,1,1,6,4,1,5,2,3,3,3,3,5,2,68,1,3,4,6,2,6,1490,2
"14",334,5,3,4,5,3,3,3,3,4,5,3,2,4,4,5,5,2,3,3,5,2,5,3,3,2,2,2,5,2,19,1,1,4,2,3,7,5000,4
"15",90,4,3,5,2,6,4,5,6,1,2,1,2,1,1,5,2,1,2,1,1,1,1,7,7,7,7,7,5,2,24,1,1,7,2,2,5,2000,4
"16",281,5,4,5,3,4,3,5,3,5,5,5,3,3,4,5,5,2,1,3,5,3,6,4,6,5,4,5,5,2,42,1,1,6,5,5,7,1500,1
"17",408,7,5,5,6,1,1,3,2,3,5,6,2,6,6,5,5,6,4,5,5,1,6,7,7,7,7,7,5,1,19,1,2,4,2,4,8,12000,4
"18",251,2,2,2,2,5,3,2,2,2,1,1,1,2,2,5,1,1,4,1,2,1,5,2,4,2,2,2,5,1,24,1,1,7,2,2,6,1500,3
"19",113,5,3,5,5,6,2,3,3,5,6,3,3,5,5,5,6,2,6,5,5,1,6,6,6,6,6,6,5,2,26,1,2,6,5,2,7,4500,3
"20",315,4,4,5,4,3,2,3,2,6,6,4,5,5,6,5,5,4,2,5,6,1,6,4,7,6,7,5,5,2,25,1,1,6,2,3,4,800,4
"21",135,4,1,4,7,7,7,7,4,7,4,1,4,1,7,5,7,1,7,4,4,4,7,7,4,7,7,7,5,1,51,1,3,6,5,6,7,6000,2
"22",405,5,2,5,5,3,4,3,3,2,1,3,2,3,2,5,2,1,7,2,3,1,5,4,7,4,5,6,5,2,22,1,1,6,2,3,7,1000,4
"23",143,5,5,5,5,3,3,4,2,4,5,4,2,5,4,5,4,2,1,3,7,4,7,2,4,3,1,1,5,2,20,1,2,4,2,3,7,5000,5
"24",257,4,4,4,4,4,4,4,4,4,4,5,4,4,3,5,4,1,5,2,4,1,5,5,6,6,5,6,5,2,21,1,2,4,2,3,6,1500,4
"25",137,3,5,3,4,6,3,5,3,3,2,2,2,2,2,5,2,2,1,2,2,1,6,6,6,6,7,6,5,1,50,1,3,6,5,4,6,25000,4
"26",319,4,4,3,5,4,3,4,3,3,1,2,2,2,2,5,3,5,4,2,5,2,7,3,7,4,4,5,5,1,18,1,1,4,2,4,7,0,4
"27",40,6,2,5,2,6,6,6,5,1,2,1,2,2,1,5,1,1,1,1,2,1,2,4,2,6,6,5,5,1,47,1,3,6,5,2,5,4000,5
"28",25,2,2,2,3,2,2,2,4,1,1,2,2,2,1,5,2,1,1,1,1,1,3,4,4,4,4,4,5,1,60,1,1,7,5,2,4,1800,1
"29",163,3,3,5,4,3,3,2,3,6,6,5,3,5,5,5,7,2,5,5,5,2,5,3,5,3,3,3,5,2,19,1,1,4,2,5,7,3500,5
"30",180,4,4,4,3,5,3,4,4,1,1,1,1,1,1,5,1,1,1,1,1,1,5,3,5,1,1,1,5,2,19,1,1,4,2,2,6,2800,3
"31",100,2,4,4,5,2,2,2,2,6,6,6,6,6,6,5,6,5,1,4,6,2,7,3,6,4,4,2,5,2,59,1,3,6,5,3,7,3500,3
"32",28,3,3,5,3,5,6,2,3,1,1,1,2,3,2,5,1,1,1,1,3,1,4,2,6,5,4,3,5,1,27,1,1,6,1,2,4,50000,4
"33",38,2,1,1,2,7,4,2,1,3,1,1,2,1,2,5,1,1,2,1,1,1,1,3,6,1,1,1,5,1,24,1,1,4,3,1,5,4000,4
"34",25,2,2,2,3,2,2,2,4,1,1,2,2,2,1,5,2,1,1,1,1,1,3,4,4,4,4,4,5,1,60,1,1,7,5,2,4,1800,1
"35",189,5,5,4,5,4,3,3,3,3,4,3,5,4,5,5,5,3,6,4,5,4,6,2,6,5,4,4,5,2,21,1,1,4,2,2,5,1100,4
"36",324,4,2,3,4,5,2,2,2,5,2,2,2,3,4,5,3,1,4,2,5,2,7,6,7,7,7,7,5,2,31,1,2,7,1,3,4,1400,3
"37",286,2,1,5,2,5,4,5,2,1,1,1,1,1,1,5,1,1,1,1,1,1,6,2,7,2,1,2,5,2,23,1,2,6,2,2,2,1000,3
"38",197,3,3,3,5,6,3,5,5,1,1,1,1,1,1,5,1,1,4,1,1,1,5,2,5,1,1,1,5,2,20,1,2,4,2,1,6,3500,4
