"","ID","BSMBS_4u_I1","BSMBS_8u_I2","BSMBS_9u_I3","BSMBS_10u_I4","BSMBS_11d_I5","BSMBS_13d_I6","BSMBS_14d_I7","BSMBS_18d_I8","MBS_1","MBS_2","MBS_3","MBS_4","MBS_5","MBS_6","AC_1","ESJS_1","ESJS_2","ESJS_3","ESJS_4","ESJS_5","ESJS_6","ESJS_7","SAS_1","SAS_2","SAS_3","SAS_4","SAS_5","AC_2","Gender","Age","Nacionality","Marital_Status","Education","Occupation","PoliticalOrientation","SSS","Household_Income","Household_members_1"
"1",212,5,2,2,2,3,2,3,1,2,6,5,2,5,3,5,2,1,4,2,1,1,7,3,6,7,5,2,5,1,55,1,1,7,5,1,4,47000,4
"2",175,5,2,5,1,5,2,4,3,6,3,1,4,5,2,5,2,5,2,2,2,2,7,5,7,2,2,4,5,1,37,1,1,4,6,1,7,1400,4
"3",281,4,3,5,4,4,1,2,3,3,1,4,1,2,5,5,3,5,1,2,2,7,5,3,6,1,2,7,5,1,20,1,1,6,5,2,7,2500,2
"4",187,5,2,5,2,4,4,2,4,3,1,3,2,1,1,5,1,1,4,1,6,1,5,3,7,5,2,2,5,2,28,1,3,7,5,5,8,NA,4
"5",69,1,4,5,4,2,2,6,1,2,2,4,1,2,3,5,2,1,1,3,2,1,7,7,7,1,7,2,5,2,25,1,1,6,5,2,5,75000,3
"6",163,5,6,4,5,3,3,4,5,6,5,3,4,1,4,5,2,2,3,1,3,3,6,4,1,5,3,4,5,1,62,1,1,4,2,2,4,1100,4
"7",72,4,5,2,5,2,3,5,3,4,5,1,2,4,2,5,2,3,1,1,3,3,6,6,2,4,3,4,5,2,55,1,1,4,2,3,7,1900,1
"8",282,5,3,5,2,1,4,4,3,5,5,3,1,2,5,5,1,1,1,1,1,1,5,4,4,2,4,6,5,2,20,1,3,6,2,2,6,5000,4
"9",305,4,5,4,4,4,6,3,2,5,1,3,1,5,5,5,5,1,3,1,5,2,5,3,7,4,1,6,5,2,18,1,1,7,5,2,7,60000,4
"10",45,3,4,2,5,6,4,4,3,6,4,1,5,4,1,5,1,1,1,1,5,1,2,6,6,2,1,4,5,2,27,1,1,7,3,2,7,1900,2
"11",74,2,6,6,2,7,2,2,4,5,3,2,3,1,3,5,4,3,1,2,2,2,5,3,5,6,2,1,5,2,25,1,3,4,2,3,7,1e+07,3
"12",367,3,5,5,5,4,2,2,3,5,1,4,7,1,1,5,5,2,1,1,5,1,6,1,6,6,5,2,5,1,49,1,1,4,5,4,7,3000,1
"13",392,3,2,3,2,1,4,5,3,1,4,4,4,3,1,5,2,1,1,1,2,1,4,7,5,1,1,1,5,2,42,1,3,7,2,3,8,6000,3
"14",334,5,2,4,6,4,3,6,6,4,1,5,1,4,1,5,4,1,1,2,3,2,6,3,1,3,4,4,5,2,23,1,3,4,5,3,7,1050,1
"15",90,3,2,3,3,4,4,3,3,5,3,4,1,1,4,5,2,1,1,5,4,1,4,1,6,2,5,3,5,2,21,1,4,7,3,2,4,1200,2
"16",281,3,6,4,2,5,1,6,5,5,5,2,1,2,3,5,1,1,1,5,2,2,5,7,7,6,6,6,5,1,23,1,3,6,5,4,3,60000,3
"17",408,3,5,6,4,6,2,2,3,5,4,2,2,2,3,5,1,5,4,5,1,1,7,6,4,1,4,4,5,2,27,1,2,5,2,2,4,1300,1
"18",251,4,2,3,6,4,2,3,3,2,5,3,1,1,2,5,7,4,1,1,1,1,6,4,7,3,5,2,5,1,18,1,3,7,5,2,6,6500,2
"19",113,4,4,5,3,2,4,5,2,6,3,1,1,2,3,5,4,1,1,4,1,3,6,6,6,3,6,1,5,2,20,1,3,7,2,2,5,1900,3
"20",315,5,6,5,6,3,2,2,2,5,1,2,1,5,4,5,3,1,1,1,2,1,4,3,6,4,6,4,5,1,33,1,1,4,2,6,7,80000,4
"21",135,4,3,2,5,4,1,4,4,3,2,1,7,1,5,5,1,2,4,2,5,2,7,3,3,7,3,2,5,1,23,1,1,4,5,3,5,1200,1
"22",405,2,4,6,5,6,3,5,2,4,1,3,7,1,1,5,1,1,1,3,7,1,6,3,6,5,6,1,5,1,48,1,2,6,5,2,6,5000,1
"23",143,1,5,4,4,4,2,2,2,6,5,3,5,1,3,5,6,2,1,1,5,1,2,3,7,7,7,4,5,2,42,1,3,6,3,5,6,2800,2
"24",257,5,4,4,5,4,1,2,3,3,1,1,2,4,6,5,1,5,1,1,5,2,3,7,6,2,6,6,5,2,50,1,2,6,5,2,5,3500,5
"25",137,6,4,2,6,6,1,2,4,4,3,1,4,3,6,5,1,2,4,1,5,1,2,3,4,3,7,6,5,2,36,1,3,4,3,5,5,5000,5
"26",319,5,5,2,3,2,2,7,2,3,4,2,1,6,1,5,1,1,2,5,6,7,3,1,6,4,4,6,5,2,35,1,2,6,6,3,6,1000,2
"27",40,3,4,3,3,7,3,5,7,6,3,2,2,3,4,5,2,1,1,3,4,1,4,5,7,5,1,3,5,2,20,1,1,6,5,3,6,1400,4
"28",25,1,2,2,6,3,5,5,4,1,5,5,2,2,3,5,3,2,1,3,6,1,4,2,5,1,2,6,5,2,39,1,1,6,2,3,6,5500,4
"29",163,3,4,4,4,2,3,4,2,4,6,2,3,2,1,5,2,1,5,3,6,2,2,2,1,3,3,1,5,2,24,1,3,5,2,2,6,6000,3
"30",180,6,5,6,4,4,3,4,3,1,1,4,1,6,5,5,3,2,2,1,2,3,5,1,4,5,6,6,5,2,19,1,2,5,5,4,5,12000,3
"31",100,5,3,5,5,3,4,4,6,4,1,2,1,3,1,5,5,2,2,2,5,1,6,5,7,4,5,6,5,1,25,1,2,4,5,2,7,40000,2
"32",28,6,4,5,4,7,3,5,2,3,3,3,5,4,6,5,1,4,4,3,4,4,7,5,6,5,6,3,5,1,27,1,1,6,5,3,5,2000,4
"33",38,5,5,5,4,6,4,2,2,4,1,4,2,6,2,5,3,3,7,2,2,1,5,1,4,5,6,1,5,1,20,1,2,7,5,2,3,3500,4
"34",25,5,5,3,4,5,3,1,4,4,4,1,6,5,3,5,2,1,5,3,3,4,5,5,5,6,1,6,5,2,69,1,1,7,5,3,3,1400,4
"35",189,6,4,5,3,4,2,3,2,3,1,1,7,1,1,5,5,1,2,2,6,7,5,2,7,5,7,7,5,1,20,1,1,6,5,1,4,2400,1
"36",324,3,4,4,4,5,1,3,1,5,5,2,1,3,3,5,4,1,1,1,4,1,1,3,7,4,6,1,5,2,20,1,2,4,5,1,6,4000,4
"37",286,3,4,5,5,5,2,5,3,4,1,3,1,1,2,5,3,4,1,1,1,1,7,4,5,4,7,5,5,2,47,1,2,5,5,3,6,5000,3
"38",197,5,2,5,6,2,6,1,5,1,1,2,1,1,1,5,5,1,1,4,3,2,5,2,6,7,2,2,5,2,66,1,2,6,5,3,5,3000,2
"39",309,5,4,5,6,3,4,3,3,3,1,1,2,1,2,5,2,3,5,5,3,1,7,1,7,6,1,7,5,1,31,1,2,7,6,2,6,2000,4
"40",100,3,4,5,5,4,3,4,2,5,3,3,1,2,4,5,4,2,1,5,3,1,6,1,5,6,7,5,5,2,47,1,2,6,2,4,5,4000,3
"41",320,6,3,4,4,7,5,2,2,4,4,3,5,2,4,7,4,2,1,3,7,1,5,1,4,4,5,7,5,2,42,1,1,4,2,3,5,1800,4
"42",297,1,2,4,4,6,5,2,4,6,4,1,3,1,1,5,4,2,1,3,6,1,6,1,5,3,6,4,5,2,25,1,2,7,5,3,3,1000,3
"43",92,5,2,3,4,4,4,3,3,1,3,5,1,2,6,5,2,3,1,5,4,3,7,4,5,3,1,4,5,2,39,1,2,4,5,2,4,1000,3
"44",362,5,3,6,6,4,2,3,2,2,2,1,3,1,4,5,3,2,1,2,5,1,4,3,5,5,5,2,5,1,29,1,1,6,1,3,6,1600,4
"45",210,4,2,5,6,5,3,1,2,2,1,4,2,1,6,5,4,5,4,2,1,1,4,5,5,4,5,2,5,1,24,1,1,5,5,2,7,1500,3
"46",186,2,2,3,2,4,2,3,3,2,1,1,4,5,5,5,2,2,1,2,1,1,6,5,6,1,2,7,5,2,18,1,1,4,2,6,7,NA,1
"47",56,4,2,4,6,2,5,3,3,2,1,5,2,2,2,5,3,1,1,3,5,2,5,2,7,4,5,7,5,2,21,1,1,4,2,3,6,1100,4
"48",61,2,4,5,3,3,1,2,3,3,1,2,2,2,1,5,1,1,4,1,5,6,6,3,4,4,6,2,5,2,19,1,1,6,5,3,7,40000,4
"49",381,4,2,3,5,2,5,3,2,5,3,5,1,1,1,5,5,2,6,4,5,1,7,2,7,6,6,7,5,1,47,1,1,6,5,4,7,4000,2
"50",91,4,4,5,6,4,4,2,2,3,5,2,1,4,5,5,4,4,2,5,2,1,7,3,3,5,6,7,5,2,27,1,2,4,2,2,5,3000,3
"51",93,6,3,5,5,6,2,5,4,4,2,1,4,2,1,5,1,4,1,1,1,6,6,4,6,2,6,2,5,1,42,1,1,4,2,2,6,33000,3
"52",343,3,4,3,5,2,4,3,3,3,2,2,4,4,5,5,5,3,1,2,2,2,6,4,7,7,4,2,5,2,54,1,1,4,5,2,5,2500,4
"53",352,5,1,6,2,4,5,4,5,6,3,2,5,1,1,5,1,1,2,3,2,1,5,4,7,4,7,3,5,2,21,1,3,6,5,2,5,2300,1
"54",373,3,2,5,5,5,4,2,3,3,1,2,5,1,2,5,1,2,1,1,1,2,5,2,6,7,5,4,5,2,63,1,1,6,2,3,4,85000,2
"55",257,2,6,4,2,6,2,3,3,4,6,2,6,5,6,5,1,2,1,5,1,7,4,7,7,1,6,2,5,1,33,1,1,4,2,3,5,4000,3
"56",252,1,5,2,5,4,4,2,3,6,2,4,2,5,1,5,1,1,3,4,2,1,5,2,7,7,7,2,5,1,27,1,4,4,5,2,3,6000,4
"57",170,2,2,4,5,3,4,3,2,3,4,1,3,2,3,5,5,1,4,2,5,1,6,3,7,5,6,1,7,2,20,1,2,7,2,2,6,4000,1
"58",80,2,3,4,1,6,1,2,1,3,1,2,6,4,1,5,6,1,2,1,5,1,1,3,3,5,4,4,5,2,27,1,3,4,2,2,6,400,3
"59",42,5,4,5,4,3,2,4,3,2,2,5,2,1,5,5,6,1,7,3,1,1,7,4,7,1,3,6,5,1,19,1,3,5,2,2,7,5000,1
"60",388,2,2,4,3,5,7,5,2,3,5,6,2,3,4,5,2,1,1,2,4,1,5,4,3,5,3,2,5,1,57,1,1,6,2,5,8,6000,3
"61",308,6,3,5,5,3,4,3,4,3,1,4,3,1,5,5,1,5,1,4,1,2,5,1,6,7,5,5,5,1,18,1,3,7,2,1,4,1200,3
"62",113,2,4,4,5,2,2,5,4,5,2,6,5,2,5,5,2,2,2,1,2,1,2,7,2,4,3,2,5,1,56,1,2,7,2,6,6,2800,3
"63",91,4,3,5,1,7,1,3,3,3,3,2,6,2,2,5,2,1,2,1,2,3,6,3,7,3,1,1,5,1,25,1,3,7,5,2,6,2000,3
"64",310,2,5,3,2,2,3,5,3,2,4,3,5,2,1,5,4,2,3,1,5,2,5,7,7,3,1,2,5,2,18,1,2,7,2,1,6,1200,3
"65",175,5,2,3,3,3,1,4,1,4,4,3,1,3,5,5,1,1,4,6,6,1,6,7,1,7,5,7,5,1,25,1,2,6,2,3,8,1300,4
"66",408,5,4,2,2,2,1,3,7,6,3,3,2,5,1,5,6,2,4,1,5,1,6,3,4,6,7,6,5,2,59,1,1,6,2,2,6,1100,4
"67",400,4,4,6,5,2,5,3,3,4,6,3,1,1,2,5,2,4,1,5,6,1,7,2,6,6,6,1,5,2,37,1,2,6,2,2,3,3000,4
"68",125,7,3,5,3,1,5,2,1,6,7,1,2,3,1,5,1,1,1,4,1,1,7,7,7,7,7,3,5,1,27,1,2,7,5,2,6,4000,4
"69",45,4,2,3,6,6,5,2,2,6,4,1,3,2,2,5,3,1,7,3,7,1,5,4,4,1,6,1,5,2,20,1,3,7,2,4,5,1400,3
"70",335,4,6,2,3,5,3,5,3,3,1,1,2,5,1,5,1,2,1,1,2,1,5,5,3,6,2,2,5,1,36,1,2,4,5,6,4,4000,1
"71",27,4,1,5,5,6,2,3,4,4,2,3,2,1,5,5,5,2,1,2,1,1,4,4,6,3,7,4,5,2,59,1,1,6,2,2,4,1900,3
"72",349,5,3,5,4,1,3,2,4,4,2,1,3,2,1,5,5,4,1,1,1,2,3,2,5,2,7,5,5,2,19,1,1,6,6,4,4,50000,2
"73",122,5,6,4,1,3,3,7,3,3,3,3,2,3,7,5,4,1,1,2,7,3,6,1,5,3,7,1,5,2,18,1,3,7,5,3,6,1300,4
"74",216,1,6,6,3,5,4,4,4,6,3,1,1,1,1,5,2,2,7,1,5,1,6,2,3,3,5,4,5,2,22,1,1,4,2,4,6,1000,4
"75",94,4,5,4,5,4,3,2,4,5,4,6,1,2,6,5,4,1,1,6,5,3,4,1,7,3,5,7,5,1,20,1,2,7,5,2,6,2300,4
"76",316,4,5,4,5,6,3,4,3,2,4,3,2,2,6,5,2,2,1,1,4,3,5,2,7,7,6,6,5,1,20,1,2,7,3,2,5,2000,2
