"ID","BSMBS_4u_I1","BSMBS_8u_I2","BSMBS_9u_I3","BSMBS_10u_I4","BSMBS_11d_I5","BSMBS_13d_I6","BSMBS_14d_I7","BSMBS_18d_I8","MBS_1","MBS_2","MBS_3","MBS_4","MBS_5","MBS_6","AC_1","ESJS_1","ESJS_2","ESJS_3","ESJS_4","ESJS_5","ESJS_6","ESJS_7","SAS_1","SAS_2","SAS_3","SAS_4","SAS_5","AC_2","Gender","Age","Nacionality","Marital_Status","Education","Occupation","PoliticalOrientation","SSS","Household_Income","Household_members_1"
232,5,5,7,7,1,1,2,2,5,4,4,4,5,2,5,4,4,1,4,6,1,4,1,5,4,4,1,5,2,28,1,3,5,2,2,6,1490,4
241,5,4,4,5,2,2,3,2,4,2,1,2,5,5,5,3,2,1,3,5,2,5,1,6,4,5,1,5,2,18,1,2,7,2,1,7,2800,4
131,4,4,5,4,3,2,4,3,2,2,3,2,4,3,5,4,2,1,4,5,2,6,1,5,2,4,2,5,1,33,1,2,6,5,2,6,60000,3
321,5,4,4,3,2,2,2,2,5,5,4,5,5,6,5,5,2,2,3,4,4,4,4,3,2,5,2,5,2,54,1,3,4,2,3,6,2500,4
149,3,4,3,4,4,4,3,4,6,6,3,4,4,3,5,4,1,4,1,5,1,7,2,6,2,5,1,5,2,21,1,1,4,2,2,6,1200,5
335,5,3,6,5,4,3,4,2,5,5,4,4,2,5,5,4,5,6,5,4,4,7,1,7,5,7,4,5,1,19,1,1,6,2,5,6,NA,5
392,6,4,5,5,2,2,5,3,2,1,1,1,2,2,5,4,2,1,3,2,1,4,3,6,5,6,5,5,2,20,1,1,5,2,2,7,40000,5
303,6,4,5,5,2,2,2,1,4,2,2,1,1,4,5,3,1,1,2,2,1,4,3,6,2,4,2,5,1,46,1,2,7,3,2,8,1600,2
164,2,2,2,3,3,4,3,3,4,1,2,1,2,2,5,2,1,1,2,1,1,3,1,6,4,5,2,5,2,21,1,1,4,2,2,6,5500,5
66,5,4,6,7,2,1,3,2,5,5,5,4,4,5,5,5,3,1,2,4,1,6,3,5,6,5,5,5,1,53,1,3,7,5,3,5,2900,1
402,4,2,3,3,3,4,5,4,4,3,4,2,2,4,5,3,2,1,1,2,1,3,6,4,2,3,4,5,2,52,1,3,6,5,NA,6,3000,2
14,4,4,5,6,4,3,5,3,1,1,1,1,2,1,5,2,2,1,1,2,1,6,2,5,2,1,2,5,2,34,1,2,6,5,2,7,2000,1
17,1,1,3,2,5,4,5,4,1,1,2,2,3,3,5,2,1,2,1,2,3,1,3,3,2,5,2,5,1,52,1,2,5,3,NA,6,90000,2
390,5,5,5,4,5,4,5,4,2,1,1,1,2,2,5,1,1,7,1,2,1,2,5,7,6,5,5,5,2,20,1,1,6,2,2,7,3000,4
373,4,4,2,4,3,4,4,2,5,2,1,1,2,2,5,2,1,2,2,2,2,2,1,5,1,4,3,5,2,22,1,1,6,2,1,8,40000,4
106,5,4,5,5,5,3,2,2,4,5,3,3,5,3,5,5,2,1,2,5,1,6,3,5,1,2,3,5,1,29,1,2,7,5,2,8,5000,4
107,5,5,4,4,6,4,4,3,1,1,1,2,2,1,5,1,1,1,1,2,1,4,4,7,5,4,3,5,1,28,1,2,5,2,NA,4,NA,3
349,1,2,3,4,2,4,2,4,2,2,1,1,1,1,5,2,1,1,1,2,1,5,1,6,5,4,3,5,2,18,1,1,4,2,3,5,900,2
189,4,4,5,5,4,4,6,6,3,4,2,4,5,5,5,2,3,4,3,3,2,5,4,3,5,5,3,5,1,66,1,3,7,6,5,6,5000,3
273,5,4,5,4,3,3,4,4,4,5,3,4,3,4,5,3,3,1,1,4,1,5,1,7,4,5,5,5,2,23,1,1,4,2,5,6,1100,4
258,3,4,3,3,4,4,3,2,5,5,6,4,5,6,5,4,1,4,3,5,2,5,2,4,1,3,1,5,2,35,1,1,4,5,3,7,2500,4
301,4,4,5,4,3,2,2,1,3,3,2,1,2,3,5,3,2,1,2,5,1,4,3,7,4,6,7,5,2,18,1,1,6,2,3,7,2000,4
123,4,5,5,4,4,2,5,4,2,1,1,2,1,1,5,3,3,4,2,1,2,5,2,7,4,7,5,5,2,28,1,2,4,5,2,7,50000,2
198,5,4,5,4,4,3,4,1,3,2,3,1,3,2,5,4,1,1,2,1,1,4,4,7,6,7,7,5,1,19,1,1,6,2,2,7,2500,3
364,4,3,4,3,6,4,4,4,4,5,3,1,5,5,5,5,1,1,4,5,1,3,1,7,2,6,2,5,2,25,1,1,6,2,2,7,2494,3
215,3,4,5,3,4,3,4,2,7,4,4,5,5,6,5,6,6,7,5,7,4,6,3,4,5,5,5,5,1,50,1,2,7,5,5,5,1500,4
398,4,4,3,3,5,5,3,4,1,1,2,2,1,1,5,1,2,1,1,1,1,6,6,7,5,6,5,5,2,18,1,1,4,2,NA,6,2500,4
162,3,4,2,4,6,4,1,2,3,2,2,1,2,3,5,5,1,1,2,5,2,6,3,6,2,3,2,5,2,21,1,1,6,2,2,3,0,4
307,4,5,5,3,4,5,3,4,2,5,3,5,4,2,5,2,2,1,3,1,1,1,3,4,5,6,3,5,2,40,1,1,5,2,1,5,1200,4
41,5,5,4,5,4,1,2,3,4,5,3,3,5,5,5,4,2,2,3,4,5,2,2,1,1,4,2,5,1,26,1,2,4,2,2,4,5000,4
95,5,5,5,3,6,3,4,4,3,2,1,1,1,1,5,2,1,2,1,2,1,7,2,6,3,4,5,5,2,37,1,2,7,3,1,7,30000,4
221,2,1,1,4,5,4,4,4,1,1,1,2,1,1,5,2,1,4,2,3,1,5,4,5,5,4,1,5,1,53,1,3,7,5,2,4,5000,1
245,5,3,4,6,3,3,1,2,6,5,4,5,3,4,5,5,1,1,4,4,1,6,1,5,1,2,1,5,2,52,1,2,4,5,3,9,3000,3
