model,term,op,estimate,std.error,statistic,p.value,std.lv,std.all,std.nox,block,group,label,parameter,conf.low,conf.high,method,alternative
cfa11,Mobility =~ BSMBS_4u_I1,=~,1,0,NA,NA,0.08394938912298092,0.05944200844668147,0.05944200844668147,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,Mobility =~ BSMBS_8u_I2,=~,1.6722389613724908,2.79989976401876,0.5972495811679658,0.5503407609319659,0.14038343927486868,0.10306444490978864,0.10306444490978864,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,Mobility =~ BSMBS_9u_I3,=~,-3.6924956901044825,5.58586265407324,-0.6610430507831938,0.5085847053238135,-0.3099827575235112,-0.22959250817005145,-0.22959250817005145,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,Mobility =~ BSMBS_10u_I4,=~,-1.3814504835341381,2.563229092667147,-0.5389492837320604,0.5899218496716463,-0.1159719241963375,-0.08283550736759503,-0.08283550736759503,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,Mobility =~ BSMBS_11d_I5,=~,3.354988848189693,5.118945787558483,0.6554062081188553,0.5122062555125266,0.2816492643199381,0.18799657046422041,0.18799657046422041,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,Mobility =~ BSMBS_13d_I6,=~,-9.306966544364304,16.849248087169354,-0.5523668769202542,0.5806970195061958,-0.781314155987404,-0.5582321181868697,-0.5582321181868697,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,Mobility =~ BSMBS_14d_I7,=~,0.6872247590342951,2.0351727694490225,0.33767391611688374,0.735608933264813,0.057692098711116836,0.04193764339827036,0.04193764339827036,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,Mobility =~ BSMBS_18d_I8,=~,1.9965539734212399,2.7791028244953577,0.718416733567166,0.4725003721206571,0.16760948641977336,0.1351868789717089,0.1351868789717089,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,BSMBS_4u_I1 ~~ BSMBS_4u_I1,~~,1.9875172079614136,0.11820986572735796,16.813463036541048,0,1.9875172079614136,0.9964666476318247,0.9964666476318247,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,BSMBS_8u_I2 ~~ BSMBS_8u_I2,~~,1.8355919534856806,0.11104554317297793,16.530082172017845,0,1.8355919534856806,0.9893777201954371,0.9893777201954371,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,BSMBS_9u_I3 ~~ BSMBS_9u_I3,~~,1.7267972781749326,0.1249236896842753,13.822816813521417,0,1.7267972781749326,0.9472872801921848,0.9472872801921848,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,BSMBS_10u_I4 ~~ BSMBS_10u_I4,~~,1.946625346986317,0.12078192767811188,16.116859404447847,0,1.946625346986317,0.9931382787191532,0.9931382787191532,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,BSMBS_11d_I5 ~~ BSMBS_11d_I5,~~,2.165162214592307,0.16469206215449964,13.146730851916482,0,2.165162214592307,0.96465728949369145,0.96465728949369145,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,BSMBS_13d_I6 ~~ BSMBS_13d_I6,~~,1.348490946799021,0.7193459822214173,1.874606907005634,0.06084682226967342,1.348490946799021,0.6883769022246008,0.6883769022246008,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,BSMBS_14d_I7 ~~ BSMBS_14d_I7,~~,1.88912256688203,0.12945433653987146,14.592964726988402,0,1.88912256688203,0.9982412340661995,0.9982412340661995,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,BSMBS_18d_I8 ~~ BSMBS_18d_I8,~~,1.5090990305753762,0.12753130603122304,11.833165342209456,0,1.5090990305753762,0.9817245077538885,0.9817245077538885,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,Mobility ~~ Mobility,~~,0.007047499934121668,0.021229908761299602,0.3319609148282675,0.7399187724626124,1.0000000000000002,1.0000000000000002,1.0000000000000002,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,Upward =~ BSMBS_4u_I1,=~,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,Upward =~ BSMBS_8u_I2,=~,0.3582740161130884,16.002716686870933,0.02238832462784436,0.9821381936162759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,Upward =~ BSMBS_9u_I3,=~,-3.2721243876839115,15.537677577496725,-0.2105928876026454,0.8332049627255302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,Upward =~ BSMBS_10u_I4,=~,-1.7913832353747488,6.89854544050661,-0.25967549983162747,0.7951140927881406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,Downward =~ BSMBS_11d_I5,=~,1,0,NA,NA,0.30711271092929304,0.20499302167632305,0.20499302167632305,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,Downward =~ BSMBS_13d_I6,=~,-2.263938054677472,4.831826710015318,-0.46854703004659176,0.6393934470573521,-0.6952841533479884,-0.49676548983107444,-0.49676548983107444,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,Downward =~ BSMBS_14d_I7,=~,0.12695046801538068,0.7941758199541054,0.15985184240778952,0.872997784776222,0.03898810238594607,0.02834130193477981,0.02834130193477981,NA,NA,NA,NA,NA,NA,NA,NA
cfa22,Downward =~ BSMBS_18d_I8,=~,0.6664180697173921,0.6411933668174403,1.0393402430613943,0.29864652494378463,0.2046654600031749,0.16507470312677466,0.16507470312677466,NA,NA,NA,NA,NA,NA,NA,NA
