model,term,op,estimate,std.error,statistic,p.value,std.lv,std.all,std.nox,block,group,label,parameter,conf.low,conf.high,method,alternative
cfa11,Mobility =~ BSMBS_4u_I1,=~,1,0,NA,NA,0.9136689403992595,0.6655751719792947,0.6655751719792947,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,Mobility =~ BSMBS_8u_I2,=~,0.8312361957376574,0.06609195594250111,12.576964683278838,0,0.7594746941811369,0.5574136603934723,0.5574136603934723,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,Mobility =~ BSMBS_9u_I3,=~,0.7122960787473923,0.07821121289391536,9.107339630617174,0,0.6508028035196775,0.48760557084563755,0.48760557084563755,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,Mobility =~ BSMBS_10u_I4,=~,0.9180600765742026,0.08005625906660116,11.467686440487325,0,0.8388029773864147,0.6009914583277002,0.6009914583277002,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,Mobility =~ BSMBS_11d_I5,=~,-1.1197429588008105,0.27424439967617714,-4.083011212345568,4.445587719703603e-5,-1.0230743626870682,-0.6784562516746421,-0.6784562516746421,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,Mobility =~ BSMBS_13d_I6,=~,-0.9741558545348555,0.27026038942288094,-3.6045084394908407,3.127442869941266e-4,-0.8900559473965967,-0.6561626467854094,-0.6561626467854094,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,Mobility =~ BSMBS_14d_I7,=~,-1.1015702170776998,0.2802970475397163,-3.9300100616351097,8.494230704392258e-5,-1.0064704930127641,-0.7382978662016004,-0.7382978662016004,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,Mobility =~ BSMBS_18d_I8,=~,-0.8979134846484268,0.26124009104553675,-3.4371197814806744,5.879355356326332e-4,-0.8203956620889349,-0.6374245052351545,-0.6374245052351545,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,BSMBS_4u_I1 ~~ BSMBS_4u_I1,~~,1.0496541999946478,0.2672589770025601,3.92747967446045,8.58406727781702e-5,1.0496541999946478,0.5570096904447323,0.5570096904447323,NA,NA,NA,NA,NA,NA,NA,NA
cfa11,BSMBS_8u_I2 ~~ BSMBS_8u_I2,~~,1.2795975062868237,0.23164179676816887,5.524035489879519,3.313004959260013e-8,1.2795975062868237,0.6892900112067507,0.6892900112067507,NA,NA,NA,NA,NA,NA,NA,NA
