StartDate;EndDate;Status;Progress;Duration;Finished;RecordedDate;ResponseId;ExternalReference;DistributionChannel;UserLanguage;Prolific.ID;English.fluent;Residence;Nationality;Timing1_First Click;Timing1_Last Click;Timing1_Page Submit;Timing1_Click Count;inequality.between_1;inequality.between_2;inequality.between_3;inequality.between_4;inequality.between_5;inequality.between_6;Position.Own.Country;Timing2_First Click;Timing2_Last Click;Timing2_Page Submit;Timing2_Click Count;Between.Inequality.Wide;Between.Redistribution;Between.Migration;Between.Fairness;Moralization;Moral.Outrage;Timing3_First Click;Timing3_Last Click;Timing3_Page Submit;Timing3_Click Count;CCIAS_01;CCIAS_02;CCIAS_03;CCIAS_04;CCIAS_05;CCIAS_06;CCIAS_07;Attention.check1;CCIAS_08;CCIAS_09;CCIAS_10;CCIAS_11;CCIAS_12;CCIAS_13;CCIAS_14;CCIAS_15;CCIAS_16;CCIAS_17;CCIAS_18;CCIAS_19;Timing4_First Click;Timing4_Last Click;Timing4_Page Submit;Timing4_Click Count;Social.mobility_1;Social.mobility_2;Social.mobility_3;Zero.sum_1;Zero.sum_2;Zero.sum_3;General.Trust.Inst;Trust.Inst.UN;Trust.Inst.WHO;Trust.Inst.IMF;Trust.Inst.WB;Horizontal.Trust;IOS.Country_1;IOS.Country_2;IOS.Country_3;IOS.Country_4;IOS.Country_5;IOS.Country_6;IOS.Country_7;IOS.World_1;IOS.World_2;IOS.World_3;IOS.World_4;IOS.World_5;IOS.World_6;IOS.World_7;Timing5_First Click;Timing5_Last Click;Timing5_Page Submit;Timing5_Click Count;Meritocracy_1;Meritocracy_2;Meritocracy_3;Meritocracy_4;Meritocracy_5;Meritocracy_6;Attention.check2;Attention.check3;Social.Dominance_1;Social.Dominance_2;Social.Dominance_3;Social.Dominance_4;Timing6_First Click;Timing6_Last Click;Timing6_Page Submit;Timing6_Click Count;ESJ_1;ESJ_2;ESJ_3;ESJ_4;ESJ_5;ESJ_6;ESJ_7;ESJ_8;ESJ_9;ESJ_10;ESJ_11;ESJ_12;Attantion.check4;Timing7_First Click;Timing7_Last Click;Timing7_Page Submit;Timing7_Click Count;Subjective.SES_1;Subjective.SES_2;Subjective.SES_3;Subjective.SES_4;Subjective.SES_5;Subjective.SES_6;Subjective.SES_7;Subjective.SES_8;Subjective.SES_9;Subjective.SES_10;Timing8_First Click;Timing8_Last Click;Timing8_Page Submit;Timing8_Click Count;Gender;Gender_3_TEXT;Age;Ethnicity;Education;Work.Status_1;Work.Status_2;Work.Status_3;Work.Status_4;Work.Status_5;Work.Status_6;Work.Status_7;Work.Status_8;Work.Status_9;Pol.Orientation;Timing9_First Click;Timing9_Last Click;Timing9_Page Submit;Timing9_Click Count;comments;PROLIFIC_PID;DeviceIdentifier;country;IOS.Country_1_orig;IOS.Country_2_orig;IOS.Country_3_orig;IOS.Country_4_orig;IOS.Country_5_orig;IOS.Country_6_orig;IOS.Country_7_orig;IOS.World_1_orig;IOS.World_2_orig;IOS.World_3_orig;IOS.World_4_orig;IOS.World_5_orig;IOS.World_6_orig;IOS.World_7_orig;identif.country;identif.country_fac;Subjective.SES_1_orig;Subjective.SES_2_orig;Subjective.SES_3_orig;Subjective.SES_4_orig;Subjective.SES_5_orig;Subjective.SES_6_orig;Subjective.SES_7_orig;Subjective.SES_8_orig;Subjective.SES_9_orig;Subjective.SES_10_orig;identif.world;identif.world_fac;subjective.ses;subjective.ses_fac;Gender_fac;Social.mobility_2_r;Social.mobility_3_r;zero.sum;social.mobility;meritocracy;Social.Dominance_1_r;Social.Dominance_3_r;social.dominance;ESJ_2_r;ESJ_5_r;ESJ_8_r;ESJ_9_r;ESJ_10_r;ESJ_11_r;eco.system.just;inequality.between_1_orig;inequality.between_2_orig;inequality.between_3_orig;inequality.between_4_orig;inequality.between_5_orig;inequality.between_6_orig;inequality.between;inequality.between_fac;Position.Own.Country_fac;ccias.rich;ccias.poor;ccias.fatal;Work.Status_1_orig;Work.Status_2_orig;Work.Status_3_orig;Work.Status_4_orig;Work.Status_5_orig;Work.Status_6_orig;Work.Status_7_orig;Work.Status_8_orig;Work.Status_9_orig;working.status;working.status_fac;trust.institution
2022-04-26 02:21:19 UTC;2022-04-26 02:27:49 UTC;0;100;390;1;2022-04-26 02:27:52 UTC;R_qCp4hw6I2cXeeoV;;anonymous;EN;5e84f2663a34f20c3907e237;1;1;1;1,661;4,426;6,245;3;0;0;0;0;0;6;4;24,63;40,861;42,086;4;5;3;4;2;3;3;3,79;18,436;19,35;6;3;3;4;5;4;5;4;2;5;4;2;1;2;1;2;1;4;1;1;4;4,717;62,835;63,802;21;2;4;4;2;2;4;5;4;5;4;3;3;0;0;0;0;5;0;0;0;0;0;4;0;0;0;9,12;70,329;72,427;15;3;3;2;2;2;4;1;1;3;2;3;1;12,802;65,127;67,48;15;4;4;5;2;4;2;2;1;4;4;1;3;1;4,464;56,703;58,163;13;0;0;0;0;0;0;7;0;0;0;7,501;7,501;8,918;1;1;;23;white;17;0;0;0;0;0;0;7;0;0;4;2,029;31,589;34,936;10;;5e84f2663a34f20c3907e237;;ita;Off;Off;Off;Off;On;Off;Off;Off;Off;Off;On;Off;Off;Off;5;5;Off;Off;Off;Off;Off;Off;On;Off;Off;Off;4;4;7;7;male;2;2;2,666666667;2;2,666666667;3;3;2,25;2;2;5;2;2;5;2,9;Off;Off;Off;Off;Off;On;6;6;second.richest20%;4,111111111;1,5;3;;;;;;;1;;;7;Student;4
2022-04-26 02:21:02 UTC;2022-04-26 02:29:12 UTC;0;100;489;1;2022-04-26 02:29:14 UTC;R_5oHJG4WvGgVNRQd;;anonymous;EN;5f7ca39ec6a4880f897e1883;1;1;1;2,069;7,013;8,174;4;0;0;0;0;5;0;5;20,497;58,407;60,011;6;5;3;5;1;5;4;5,034;27,914;29,002;8;4;5;5;5;4;5;4;2;5;4;1;1;1;1;2;1;1;1;1;3;12,618;74,807;76,108;26;2;5;4;5;3;5;5;3;5;2;2;4;0;0;0;4;0;0;0;0;0;0;0;0;6;0;3,626;83,736;84,806;25;4;4;2;1;4;5;1;1;4;1;3;1;15,447;58,813;59,854;19;3;5;3;1;5;1;1;2;4;5;5;1;1;4,104;58,748;59,977;19;0;0;0;4;0;0;0;0;0;0;2,489;11,968;13,762;4;2;;22;mixed;16;1;0;0;0;0;0;0;0;0;3;1,584;53,607;54,753;15;;5f7ca39ec6a4880f897e1883;;ita;Off;Off;Off;On;Off;Off;Off;Off;Off;Off;Off;Off;On;Off;4;4;Off;Off;Off;On;Off;Off;Off;Off;Off;Off;6;6;4;4;female;1;2;4,333333333;1,666666667;3,333333333;2;3;1,75;1;1;4;2;1;1;1,7;Off;Off;Off;Off;On;Off;5;5;richest20%;4,555555556;1,166666667;1,666666667;1;;;;;;;;;1;Employed.fulltime;3
2022-04-26 02:19:39 UTC;2022-04-26 02:29:36 UTC;0;100;596;1;2022-04-26 02:29:37 UTC;R_2Ede08xPMm9Uod4;;anonymous;EN;608e71cbc93fe775efaf5e61;1;1;1;2,858;8,891;10,962;3;0;0;0;0;0;6;4;32,615;47,589;52,673;2;5;5;5;1;5;5;7,88;48,449;50,302;6;5;5;5;5;5;5;5;2;5;5;1;1;1;1;2;1;1;1;1;2;18,057;92,847;95,324;21;1;3;4;5;5;5;5;4;5;3;3;2;0;0;0;0;0;6;0;0;0;0;0;5;0;0;6,788;106,6;110,663;19;1;1;1;1;1;1;1;1;5;1;5;1;8,474;67,76;69,417;12;1;5;1;1;5;1;1;5;5;5;4;1;1;7,053;78,507;80,131;14;0;0;0;0;0;6;0;0;0;0;6,731;6,731;8,107;1;2;;24;white;18;0;0;0;0;0;0;7;0;0;2;1,636;76,477;79,604;6;;608e71cbc93fe775efaf5e61;;ita;Off;Off;Off;Off;Off;On;Off;Off;Off;Off;Off;On;Off;Off;6;6;Off;Off;Off;Off;Off;On;Off;Off;Off;Off;5;5;6;6;female;3;2;5;2;1;1;1;1;1;1;1;1;1;2;1;Off;Off;Off;Off;Off;On;6;6;second.richest20%;5;1,166666667;1,333333333;;;;;;;1;;;7;Student;3,75
2022-04-26 02:21:37 UTC;2022-04-26 02:29:53 UTC;0;100;495;1;2022-04-26 02:29:54 UTC;R_XRNGmB6KDcjwBuV;;anonymous;EN;5d1b72a2616c540017d4be6a;1;1;1;2,984;6,03;6,752;3;0;0;0;0;5;0;5;49,554;55,444;56,974;2;5;4;4;5;4;3;6,552;39,007;39,93;9;5;5;5;5;4;4;4;2;5;4;2;1;1;1;3;1;1;1;1;1;21,158;74,32;75,524;23;2;3;4;3;4;5;5;4;4;3;3;4;0;0;0;0;0;0;7;0;0;0;0;5;0;0;12,485;98,731;100,04;28;4;4;3;4;2;4;1;1;4;2;5;2;5,872;54,8;56,202;13;3;5;3;2;5;3;2;4;5;5;3;3;1;7,186;65,592;67,669;17;0;0;0;0;0;0;7;0;0;0;21,427;21,427;25,34;1;2;;28;white;22;1;0;0;0;0;0;0;0;0;4;1,296;42,426;43,691;6;;5d1b72a2616c540017d4be6a;;ita;Off;Off;Off;Off;Off;Off;On;Off;Off;Off;Off;On;Off;Off;7;7;Off;Off;Off;Off;Off;Off;On;Off;Off;Off;5;5;7;7;female;3;2;4;2,333333333;3,5;2;1;1,75;1;1;2;1;1;3;2,1;Off;Off;Off;Off;On;Off;5;5;richest20%;4,555555556;1,5;1;1;;;;;;;;;1;Employed.fulltime;3,5
2022-04-26 02:21:36 UTC;2022-04-26 02:29:59 UTC;0;100;503;1;2022-04-26 02:30:00 UTC;R_296b2ayGPvJw6xa;;anonymous;EN;61700111739dcafe5af45f13;1;1;1;3,393;6,763;7,639;3;0;0;0;0;5;0;4;4,398;48,185;48,597;15;5;4;5;2;4;4;6,667;45,015;45,363;21;4;4;4;5;3;4;4;2;4;4;1;1;2;2;4;2;1;1;1;1;2,311;89,721;90,192;47;3;4;4;3;3;5;4;4;4;3;2;2;0;0;0;4;0;0;0;0;0;3;0;0;0;0;6,297;96,481;96,832;58;3;4;3;2;3;4;1;1;5;1;4;2;6,326;70,348;70,664;30;5;5;5;3;3;2;2;1;3;4;2;2;1;4,603;59,078;59,71;32;0;0;0;0;0;0;7;0;0;0;2,917;18,36;18,6;14;2;;21;white;16;0;0;0;0;0;0;7;0;0;4;1,815;49,355;49,801;20;;61700111739dcafe5af45f13;;ita;Off;Off;Off;On;Off;Off;Off;Off;Off;On;Off;Off;Off;Off;4;4;Off;Off;Off;Off;Off;Off;On;Off;Off;Off;3;3;7;7;female;2;2;3,666666667;2,333333333;3,166666667;1;2;1,5;1;3;5;3;2;4;3;Off;Off;Off;Off;On;Off;5;5;second.richest20%;4;2;1;;;;;;;1;;;7;Student;3,25
2022-04-26 02:22:21 UTC;2022-04-26 02:30:33 UTC;0;100;492;1;2022-04-26 02:30:34 UTC;R_3meMJve4CsHQpsw;;anonymous;EN;5ef3bad40b917e15e1a57370;1;1;1;2,116;4,117;5,946;3;0;0;0;4;0;0;5;26,042;36,169;38,302;2;5;4;4;1;5;5;4,898;21,946;24,567;11;5;5;5;5;4;4;4;2;4;4;2;1;1;1;3;2;1;1;1;2;17,414;70,129;72,898;28;2;4;3;3;4;5;4;2;3;1;1;3;0;0;0;4;0;0;0;0;0;3;0;0;0;0;6,668;85,633;87,592;31;1;2;2;2;2;2;1;1;5;1;5;1;54,909;91,932;95,588;15;1;5;1;2;5;1;2;4;4;5;4;1;1;30,122;74,181;76,914;13;0;0;0;0;5;0;0;0;0;0;17,943;17,943;21,472;1;1;;22;white;17;0;0;0;0;0;0;7;0;0;2;2,026;36,868;39,184;6;;5ef3bad40b917e15e1a57370;;ita;Off;Off;Off;On;Off;Off;Off;Off;Off;On;Off;Off;Off;Off;4;4;Off;Off;Off;Off;On;Off;Off;Off;Off;Off;3;3;5;5;male;2;3;4;2,333333333;1,833333333;1;1;1;1;1;2;2;1;2;1,3;Off;Off;Off;On;Off;Off;4;4;richest20%;4,444444444;1,666666667;1,333333333;;;;;;;1;;;7;Student;1,75
2022-04-26 02:22:16 UTC;2022-04-26 02:30:59 UTC;0;100;522;1;2022-04-26 02:30:59 UTC;R_12KYySzM2sSU5s1;;anonymous;EN;6042a56575ab0c1ccffc3152;1;1;1;2,207;4,62;5,882;3;0;0;0;0;5;0;4;65,714;73,334;74,983;2;5;4;5;2;3;3;6,793;32,538;33,441;6;5;5;5;5;5;5;4;2;5;5;2;1;1;1;2;2;3;1;1;1;19,768;85,523;86,349;21;2;1;4;5;2;4;5;5;5;3;3;4;0;0;0;4;0;0;0;0;0;3;0;0;0;0;5,67;79,361;80,443;18;2;2;4;2;1;4;1;1;5;2;5;1;10,978;56,914;57,766;13;5;4;5;3;4;1;1;4;4;4;2;3;1;5,945;71,464;72,442;15;0;0;0;0;0;0;7;0;0;0;18,813;18,813;21,6;1;1;;24;white;17;0;0;0;0;0;0;7;0;0;3;1,747;66,755;69,52;7;;6042a56575ab0c1ccffc3152;;ita;Off;Off;Off;On;Off;Off;Off;Off;Off;On;Off;Off;Off;Off;4;4;Off;Off;Off;Off;Off;Off;On;Off;Off;Off;3;3;7;7;male;5;2;3,666666667;3;2,5;1;1;1,25;2;2;2;2;2;4;2,6;Off;Off;Off;Off;On;Off;5;5;second.richest20%;4,888888889;1,5;1,666666667;;;;;;;1;;;7;Student;4
2022-04-26 02:21:47 UTC;2022-04-26 02:31:37 UTC;0;100;590;1;2022-04-26 02:31:38 UTC;R_1FyKN3W2BPtBhEX;;anonymous;EN;5ff5d401ab45c209e60213d8;1;1;1;2,923;5,555;6,27;3;0;0;3;0;0;0;3;41,902;55,39;56,902;2;4;2;3;2;4;3;15,312;60,193;61,154;10;4;3;4;4;4;4;3;2;4;4;2;2;2;2;3;2;3;1;1;3;13,566;86,503;87,272;22;4;3;2;4;4;3;4;3;4;4;5;3;0;0;0;0;0;6;0;0;0;3;0;0;0;0;6,654;92,078;94,035;20;4;3;4;3;3;4;1;1;3;2;4;2;7,782;66,383;67,719;16;2;4;4;3;4;4;2;3;3;4;3;2;1;7,211;81,004;82,661;13;0;0;0;0;0;6;0;0;0;0;5,35;5,35;7,374;1;1;;24;white;18;0;0;0;0;0;0;7;0;0;4;1,334;85,263;86,995;7;;5ff5d401ab45c209e60213d8;;ita;Off;Off;Off;Off;Off;On;Off;Off;Off;On;Off;Off;Off;Off;6;6;Off;Off;Off;Off;Off;On;Off;Off;Off;Off;3;3;6;6;male;3;4;3,666666667;3,666666667;3,5;3;2;2,25;2;2;3;3;2;3;2,6;Off;Off;On;Off;Off;Off;3;3;middle20%;3,777777778;2,166666667;2,333333333;;;;;;;1;;;7;Student;4
2022-04-26 02:23:09 UTC;2022-04-26 02:31:46 UTC;0;100;517;1;2022-04-26 02:31:47 UTC;R_2fdJxmWTD4hapbW;;anonymous;EN;602685272894b2310c631f4f;1;1;1;5,39;7,944;8,58;3;0;0;0;0;0;6;5;57,506;70,907;82,373;3;4;3;3;5;5;3;5,262;37,382;38,2;7;4;4;4;4;3;4;3;2;4;3;2;1;1;1;5;1;2;1;1;3;9,237;80,46;82,777;22;2;3;4;3;2;2;5;4;5;4;4;3;0;0;0;0;0;6;0;0;0;0;0;5;0;0;4,375;81,307;83,554;14;4;3;5;4;4;4;1;1;4;2;5;1;6,469;46,7;48,314;14;2;5;2;3;4;1;3;4;2;5;4;1;1;34,184;109,618;110,231;15;0;0;0;0;0;6;0;0;0;0;7,536;7,536;9,053;1;1;;34;white;16;1;0;0;0;0;0;0;0;0;3;1,41;34,584;37,758;10;;602685272894b2310c631f4f;;ita;Off;Off;Off;Off;Off;On;Off;Off;Off;Off;Off;On;Off;Off;6;6;Off;Off;Off;Off;Off;On;Off;Off;Off;Off;5;5;6;6;male;3;2;2,333333333;2,333333333;4;2;1;1,5;1;2;2;4;1;2;1,8;Off;Off;Off;Off;Off;On;6;6;richest20%;3,666666667;1,833333333;2;1;;;;;;;;;1;Employed.fulltime;4,25
2022-04-26 02:21:15 UTC;2022-04-26 02:32:29 UTC;0;100;673;1;2022-04-26 02:32:30 UTC;R_1QEJftOuud6g048;;anonymous;EN;58dcfd5a09694a0001a35e0b;1;1;1;3,095;5,743;7,059;3;0;0;0;0;0;6;4;26,394;55,755;57,26;2;5;5;5;4;5;5;6,109;32,71;33,706;7;5;5;5;5;3;5;5;2;5;4;1;1;1;1;1;1;3;1;1;2;11,447;123,972;124,767;23;2;4;4;4;5;5;5;3;4;3;2;4;0;2;0;0;0;0;0;0;2;0;0;0;0;0;5,024;87,66;90,986;21;2;2;3;1;1;2;1;1;4;1;5;1;6,517;48,156;49,19;17;2;4;2;1;4;1;1;4;4;5;2;1;1;4,655;184,671;185,447;16;0;0;0;0;0;0;7;0;0;0;19,788;23,949;26,488;6;2;;32;white;18;0;2;0;0;0;0;0;0;0;3;1,197;39,23;40,702;6;;58dcfd5a09694a0001a35e0b;;ita;Off;On;Off;Off;Off;Off;Off;Off;On;Off;Off;Off;Off;Off;2;2;Off;Off;Off;Off;Off;Off;On;Off;Off;Off;2;2;7;7;female;2;2;4,666666667;2;1,833333333;2;1;1,25;2;2;2;2;1;4;1,5;Off;Off;Off;Off;Off;On;6;6;second.richest20%;4,666666667;1;2;;1;;;;;;;;2;Employed.parttime;3
