StartDate;EndDate;Status;Progress;Duration;Finished;RecordedDate;ResponseId;ExternalReference;DistributionChannel;UserLanguage;Prolific.ID;English.fluent;Residence;Nationality;Timing1_First Click;Timing1_Last Click;Timing1_Page Submit;Timing1_Click Count;inequality.between_1;inequality.between_2;inequality.between_3;inequality.between_4;inequality.between_5;inequality.between_6;Position.Own.Country;Timing2_First Click;Timing2_Last Click;Timing2_Page Submit;Timing2_Click Count;Between.Inequality.Wide;Between.Redistribution;Between.Migration;Between.Fairness;Moralization;Moral.Outrage;Timing3_First Click;Timing3_Last Click;Timing3_Page Submit;Timing3_Click Count;CCIAS_01;CCIAS_02;CCIAS_03;CCIAS_04;CCIAS_05;CCIAS_06;CCIAS_07;Attention.check1;CCIAS_08;CCIAS_09;CCIAS_10;CCIAS_11;CCIAS_12;CCIAS_13;CCIAS_14;CCIAS_15;CCIAS_16;CCIAS_17;CCIAS_18;CCIAS_19;Timing4_First Click;Timing4_Last Click;Timing4_Page Submit;Timing4_Click Count;Social.mobility_1;Social.mobility_2;Social.mobility_3;Zero.sum_1;Zero.sum_2;Zero.sum_3;General.Trust.Inst;Trust.Inst.UN;Trust.Inst.WHO;Trust.Inst.IMF;Trust.Inst.WB;Horizontal.Trust;IOS.Country_1;IOS.Country_2;IOS.Country_3;IOS.Country_4;IOS.Country_5;IOS.Country_6;IOS.Country_7;IOS.World_1;IOS.World_2;IOS.World_3;IOS.World_4;IOS.World_5;IOS.World_6;IOS.World_7;Timing5_First Click;Timing5_Last Click;Timing5_Page Submit;Timing5_Click Count;Meritocracy_1;Meritocracy_2;Meritocracy_3;Meritocracy_4;Meritocracy_5;Meritocracy_6;Attention.check2;Attention.check3;Social.Dominance_1;Social.Dominance_2;Social.Dominance_3;Social.Dominance_4;Timing6_First Click;Timing6_Last Click;Timing6_Page Submit;Timing6_Click Count;ESJ_1;ESJ_2;ESJ_3;ESJ_4;ESJ_5;ESJ_6;ESJ_7;ESJ_8;ESJ_9;ESJ_10;ESJ_11;ESJ_12;Attantion.check4;Timing7_First Click;Timing7_Last Click;Timing7_Page Submit;Timing7_Click Count;Subjective.SES_1;Subjective.SES_2;Subjective.SES_3;Subjective.SES_4;Subjective.SES_5;Subjective.SES_6;Subjective.SES_7;Subjective.SES_8;Subjective.SES_9;Subjective.SES_10;Timing8_First Click;Timing8_Last Click;Timing8_Page Submit;Timing8_Click Count;Gender;Gender_3_TEXT;Age;Ethnicity;Education;Work.Status_1;Work.Status_2;Work.Status_3;Work.Status_4;Work.Status_5;Work.Status_6;Work.Status_7;Work.Status_8;Work.Status_9;Pol.Orientation;Timing9_First Click;Timing9_Last Click;Timing9_Page Submit;Timing9_Click Count;comments;PROLIFIC_PID;DeviceIdentifier;country;IOS.Country_1_orig;IOS.Country_2_orig;IOS.Country_3_orig;IOS.Country_4_orig;IOS.Country_5_orig;IOS.Country_6_orig;IOS.Country_7_orig;IOS.World_1_orig;IOS.World_2_orig;IOS.World_3_orig;IOS.World_4_orig;IOS.World_5_orig;IOS.World_6_orig;IOS.World_7_orig;identif.country;identif.country_fac;Subjective.SES_1_orig;Subjective.SES_2_orig;Subjective.SES_3_orig;Subjective.SES_4_orig;Subjective.SES_5_orig;Subjective.SES_6_orig;Subjective.SES_7_orig;Subjective.SES_8_orig;Subjective.SES_9_orig;Subjective.SES_10_orig;identif.world;identif.world_fac;subjective.ses;subjective.ses_fac;Gender_fac;Social.mobility_2_r;Social.mobility_3_r;zero.sum;social.mobility;meritocracy;Social.Dominance_1_r;Social.Dominance_3_r;social.dominance;ESJ_2_r;ESJ_5_r;ESJ_8_r;ESJ_9_r;ESJ_10_r;ESJ_11_r;eco.system.just;inequality.between_1_orig;inequality.between_2_orig;inequality.between_3_orig;inequality.between_4_orig;inequality.between_5_orig;inequality.between_6_orig;inequality.between;inequality.between_fac;Position.Own.Country_fac;ccias.rich;ccias.poor;ccias.fatal;Work.Status_1_orig;Work.Status_2_orig;Work.Status_3_orig;Work.Status_4_orig;Work.Status_5_orig;Work.Status_6_orig;Work.Status_7_orig;Work.Status_8_orig;Work.Status_9_orig;working.status;working.status_fac;trust.institution
2022-04-26 02:19:55 UTC;2022-04-26 02:31:12 UTC;0;100;677;1;2022-04-26 02:31:13 UTC;R_12zi0Ji5LXHXcoo;;anonymous;EN;5ba8ed2547ef5e000195a84e;1;1;1;3,469;6,549;7,966;3;0;0;3;0;0;0;3;4,108;91,446;92,047;15;1;2;1;4;3;4;7,51;52,64;53,122;16;4;5;3;5;5;5;5;2;5;4;1;1;1;2;5;2;2;2;2;2;2,63;113,466;114,345;39;3;2;3;5;5;5;3;4;3;3;2;1;0;0;0;4;0;0;0;0;0;0;4;0;0;0;5,993;128,128;128,942;41;4;2;2;2;1;3;1;1;5;1;5;1;5,818;71,5;72,67;22;5;5;5;2;3;3;1;3;3;5;2;3;1;11,293;86,166;86,64;21;0;0;0;0;5;0;0;0;0;0;2,457;11,352;13,03;5;2;;28;black;15;1;0;0;0;0;0;0;0;0;8;1,96;68,677;72,014;21;;5ba8ed2547ef5e000195a84e;;za;Off;Off;Off;On;Off;Off;Off;Off;Off;Off;On;Off;Off;Off;4;4;Off;Off;Off;Off;On;Off;Off;Off;Off;Off;4;4;5;5;female;4;3;5;3,333333333;2,333333333;1;1;1;1;3;3;3;1;4;2,7;Off;Off;On;Off;Off;Off;3;3;middle20%;4,555555556;2;2;1;;;;;;;;;1;Employed.fulltime;3
2022-04-26 02:18:07 UTC;2022-04-26 02:31:31 UTC;0;100;804;1;2022-04-26 02:31:32 UTC;R_3EglvyY1OygznKA;;anonymous;EN;6166b6c1c0431b7e68d1270e;1;1;1;2,164;5,024;5,711;3;0;0;0;0;0;6;3;40,198;96,912;98,664;10;5;4;5;2;5;4;7,656;55,378;56,02;7;5;5;5;5;4;5;4;2;5;5;1;1;2;5;5;3;2;1;1;2;13,553;106,101;106,966;24;4;1;1;2;2;3;5;3;4;;3;3;0;0;0;4;0;0;0;0;0;3;0;0;0;0;7,577;109,327;115,394;17;3;3;3;2;1;4;1;1;5;5;5;1;8,244;68,606;69,816;17;3;5;3;1;4;1;1;3;5;5;4;1;1;8,449;114,128;114,693;17;0;0;0;0;0;6;0;0;0;0;14,088;14,088;16,644;1;1;;26;black;20;1;0;0;0;0;0;0;0;0;3;1,763;108,911;112,941;13;;6166b6c1c0431b7e68d1270e;;za;Off;Off;Off;On;Off;Off;Off;Off;Off;On;Off;Off;Off;Off;4;4;Off;Off;Off;Off;Off;On;Off;Off;Off;Off;3;3;6;6;male;5;5;2,333333333;4,666666667;2,666666667;1;1;2;1;2;3;1;1;2;1,7;Off;Off;Off;Off;Off;On;6;6;middle20%;4,777777778;2,833333333;1,666666667;1;;;;;;;;;1;Employed.fulltime;
2022-04-26 02:25:32 UTC;2022-04-26 02:32:17 UTC;0;100;404;1;2022-04-26 02:32:18 UTC;R_6FQn3hizBUdxFCx;;anonymous;EN;611d65b28a9828d87d126fba;1;1;1;5,721;7,433;8,597;3;0;2;0;0;0;0;2;30,011;49,482;51,406;4;4;4;5;1;5;5;5,99;29,429;30,3;7;3;3;4;4;3;3;4;2;3;3;4;4;2;3;4;3;5;3;4;2;18,68;53,664;60,068;22;3;3;2;4;4;4;5;5;4;;4;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;5,209;63,195;65,344;16;4;3;4;1;1;2;1;1;4;3;3;3;9,421;70,705;72,772;15;4;4;4;4;4;4;3;4;4;4;2;4;1;6,355;36,963;37,863;18;0;0;0;0;5;0;0;0;0;0;3,604;6,116;9,268;4;2;;27;black;16;1;0;0;0;0;0;0;0;0;8;1,47;42,665;43,91;10;N/A;611d65b28a9828d87d126fba;;za;Off;On;Off;Off;Off;Off;Off;On;Off;Off;Off;Off;Off;Off;2;2;Off;Off;Off;Off;On;Off;Off;Off;Off;Off;1;1;5;5;female;3;4;4;3,333333333;2,5;2;3;2,75;2;2;2;2;2;4;3,1;Off;On;Off;Off;Off;Off;2;2;second.poorest20%;3,333333333;3,333333333;3,666666667;1;;;;;;;;;1;Employed.fulltime;
2022-04-26 02:21:38 UTC;2022-04-26 02:32:24 UTC;0;100;645;1;2022-04-26 02:32:25 UTC;R_31hGIkon1zTBHED;;anonymous;EN;616e887dfed9de3b3bc7b088;1;1;1;2,301;5,695;6,293;3;0;0;0;4;0;0;3;0,962;121,699;124,419;44;5;5;5;2;3;2;0,718;88,002;88,473;22;5;4;3;5;4;5;1;2;5;3;5;1;5;5;5;5;3;1;4;5;0,372;82,245;83,188;53;3;1;1;1;3;5;5;5;5;4;5;1;0;0;0;0;0;6;0;0;0;0;0;0;6;0;3,656;82,573;83,209;84;5;5;5;5;1;5;1;1;5;1;5;5;0,948;58,979;59,708;34;4;3;1;3;3;4;3;4;3;3;3;3;1;0,798;48,103;48,893;30;0;0;0;0;0;6;0;0;0;0;4,983;26,833;29,194;9;1;;21;black;16;1;0;0;0;0;0;0;0;0;5;1,178;55,72;56,16;36;;616e887dfed9de3b3bc7b088;;za;Off;Off;Off;Off;Off;On;Off;Off;Off;Off;Off;Off;On;Off;6;6;Off;Off;Off;Off;Off;On;Off;Off;Off;Off;6;6;6;6;male;5;5;3;4,333333333;4,333333333;1;1;2;3;3;2;3;3;3;2,9;Off;Off;Off;On;Off;Off;4;4;middle20%;3,888888889;4,333333333;4;1;;;;;;;;;1;Employed.fulltime;4,75
2022-04-26 02:20:20 UTC;2022-04-26 02:33:39 UTC;0;100;798;1;2022-04-26 02:33:39 UTC;R_4NpcihoeXmYEFdT;;anonymous;EN;615b02a30793b73a5c5560ab;1;1;1;3,301;7,402;14,925;3;0;0;0;0;0;6;1;69,069;95,676;104,382;2;5;3;4;1;3;4;7,657;46,08;49,756;6;5;5;5;5;5;5;5;2;5;3;1;5;1;5;5;1;1;1;1;1;25,345;142,962;145,826;21;1;3;1;5;5;5;2;1;1;1;1;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;6,335;128,017;136,162;18;3;3;3;1;1;3;1;1;5;1;4;1;4,665;73,198;75,907;12;1;4;1;3;5;1;1;5;1;4;5;1;1;9,011;95,791;99,636;13;0;0;0;0;5;0;0;0;0;0;26,646;41,496;44,372;3;2;;27;black;15;0;0;0;0;5;0;0;0;0;1;2,351;78,08;86,442;9;;615b02a30793b73a5c5560ab;;za;On;Off;Off;Off;Off;Off;Off;Off;On;Off;Off;Off;Off;Off;1;1;Off;Off;Off;Off;On;Off;Off;Off;Off;Off;2;2;5;5;female;3;5;5;3;2,333333333;1;2;1,25;2;1;1;5;2;1;1,4;Off;Off;Off;Off;Off;On;6;6;poorest20%;4,777777778;3;1;;;;;1;;;;;5;Unemployed.lookforjob;1
2022-04-26 02:22:57 UTC;2022-04-26 02:33:42 UTC;0;100;645;1;2022-04-26 02:33:44 UTC;R_22lSLu4H6ZeQ3Vs;;anonymous;EN;61122b2c98bd9fd56bfeec45;1;1;1;4,424;8,378;9,57;3;0;0;3;0;0;0;3;58,254;89,37;92,644;2;4;4;5;3;2;4;8,496;41,421;42,207;6;4;5;5;5;4;4;4;2;5;5;4;5;2;4;2;5;2;4;4;3;55,065;123,817;124,62;20;3;5;5;4;5;3;4;;5;5;2;3;0;0;3;0;0;0;0;0;0;0;4;0;0;0;4,356;103,228;105,056;15;4;5;4;4;4;4;1;1;5;2;5;2;5,217;62,77;63,605;12;5;4;4;4;4;3;2;4;2;5;4;4;1;9,636;75,747;76,902;13;0;0;0;4;0;0;0;0;0;0;44,519;44,519;46,05;1;1;;37;black;14;0;0;0;0;5;0;0;0;0;7;1,928;47,836;48,864;6;;61122b2c98bd9fd56bfeec45;;za;Off;Off;On;Off;Off;Off;Off;Off;Off;Off;On;Off;Off;Off;3;3;Off;Off;Off;On;Off;Off;Off;Off;Off;Off;4;4;4;4;male;1;1;4;1,666666667;4,166666667;1;1;1,5;2;2;2;4;1;2;2,9;Off;Off;On;Off;Off;Off;3;3;middle20%;4,555555556;3,666666667;3;;;;;1;;;;;5;Unemployed.lookforjob;
2022-04-26 02:19:51 UTC;2022-04-26 02:34:03 UTC;0;100;851;1;2022-04-26 02:34:04 UTC;R_3QLfwI5HiMqfEV0;;anonymous;EN;61003530fb3b4335ef7b2fe5;1;1;1;1,967;5,579;6,582;3;0;0;0;4;0;0;3;29,462;284,147;285,29;2;5;4;5;3;4;4;16,524;60,063;61,026;9;5;5;5;5;5;2;5;2;4;5;4;4;4;4;5;4;5;1;4;3;10,58;143,298;143,958;20;2;2;3;1;1;3;4;4;4;;;1;0;2;0;0;0;0;0;0;0;3;0;0;0;0;10,177;95,481;97,076;15;5;4;5;4;2;5;1;1;4;1;5;1;4,738;72,941;74,345;16;5;5;4;2;4;5;1;3;5;5;3;4;1;20,204;108,831;110,079;18;0;0;0;0;0;0;0;8;0;0;5,451;6,039;7,153;2;1;;19;white;12;1;0;0;0;0;0;0;0;0;1;1,219;21,527;22,484;6;;61003530fb3b4335ef7b2fe5;;za;Off;On;Off;Off;Off;Off;Off;Off;Off;On;Off;Off;Off;Off;2;2;Off;Off;Off;Off;Off;Off;Off;On;Off;Off;3;3;8;8;male;4;3;1,666666667;3;4,166666667;2;1;1,25;1;2;3;1;1;3;2,8;Off;Off;Off;On;Off;Off;4;4;middle20%;4,555555556;4,166666667;4;1;;;;;;;;;1;Employed.fulltime;
2022-04-26 02:24:30 UTC;2022-04-26 02:34:13 UTC;0;100;582;1;2022-04-26 02:34:14 UTC;R_33r4VK2kkn925pL;;anonymous;EN;601689ee246e5121a41fb230;1;1;1;1,977;6,276;7,138;3;0;0;0;0;5;0;1;45,136;74,216;75,181;2;5;2;5;1;5;4;8,15;41,334;42,877;6;5;4;4;5;5;5;4;2;5;5;1;1;1;1;3;1;1;1;1;1;7,409;88,929;90,025;20;4;2;2;5;5;4;5;1;1;2;1;2;0;0;0;0;0;6;0;0;0;0;4;0;0;0;9,103;111,203;113,027;14;5;4;4;1;1;5;1;1;5;2;5;1;7,706;70,765;72,02;15;4;5;2;2;4;5;3;4;1;2;3;3;1;13,019;97,412;98,686;14;0;0;0;0;5;0;0;0;0;0;6,52;6,52;8,265;1;1;;37;black;15;1;0;0;0;0;0;0;0;0;6;1,329;27,491;28,289;7;;601689ee246e5121a41fb230;;za;Off;Off;Off;Off;Off;On;Off;Off;Off;Off;On;Off;Off;Off;6;6;Off;Off;Off;Off;On;Off;Off;Off;Off;Off;4;4;5;5;male;4;4;4,666666667;4;3,333333333;1;1;1,25;1;2;2;5;4;3;2,8;Off;Off;Off;Off;On;Off;5;5;poorest20%;4,666666667;1,333333333;1;1;;;;;;;;;1;Employed.fulltime;1,25
2022-04-26 02:22:02 UTC;2022-04-26 02:34:33 UTC;0;100;751;1;2022-04-26 02:34:34 UTC;R_3MrtpbhxpLBN7Eq;;anonymous;EN;60f815535ea713f564c6ed61;1;1;1;2,286;6,608;7,544;3;0;0;0;0;5;0;3;14,814;80,3;83,229;15;5;3;4;2;4;4;1,282;43,865;46,008;12;5;5;5;5;5;5;5;2;5;5;1;4;3;4;4;4;2;1;1;1;11,999;84,152;87,447;41;5;4;2;3;5;4;5;5;3;3;4;2;0;0;0;0;5;0;0;0;0;3;0;0;0;0;55,601;150,645;154,301;54;3;3;5;1;2;5;1;1;5;1;4;1;0,764;54,324;56,618;27;2;5;4;3;5;3;1;5;4;3;4;3;1;12,079;144,591;147,119;22;0;0;0;0;0;0;7;0;0;0;9,352;18,658;21,16;3;2;;28;black;18;1;0;0;0;0;0;0;0;0;6;1,31;63,098;68,552;12;;60f815535ea713f564c6ed61;;za;Off;Off;Off;Off;On;Off;Off;Off;Off;On;Off;Off;Off;Off;5;5;Off;Off;Off;Off;Off;Off;On;Off;Off;Off;3;3;7;7;female;2;4;4;3,666666667;3,166666667;1;2;1,25;1;1;1;2;3;2;2,2;Off;Off;Off;Off;On;Off;5;5;middle20%;5;3,333333333;1,333333333;1;;;;;;;;;1;Employed.fulltime;3,75
2022-04-26 02:28:36 UTC;2022-04-26 02:34:45 UTC;0;100;369;1;2022-04-26 02:34:46 UTC;R_3rO2HFjQU4EAXgk;;anonymous;EN;6113eccbcc65fbc709e3d5b1;1;1;1;1,899;4,315;5,257;3;0;0;0;4;0;0;3;67,196;74,372;75,394;2;5;5;5;2;5;5;4,726;22,518;23,444;6;5;5;5;5;5;5;5;2;5;5;3;1;1;1;4;2;3;2;1;1;6,765;65,725;67,387;20;3;5;3;5;5;5;5;2;3;2;2;3;0;2;0;0;0;0;0;0;2;0;0;0;0;0;3,158;50,894;52,942;14;4;4;4;3;3;3;1;1;4;1;5;1;4,811;41,251;42,472;12;3;4;4;3;4;3;1;5;2;5;5;1;1;2,289;40,929;41,854;13;0;0;0;4;0;0;0;0;0;0;10,471;10,471;11,852;1;2;;29;black;15;1;0;0;0;0;0;0;0;0;6;1,306;21,901;23,497;6;;6113eccbcc65fbc709e3d5b1;;za;Off;On;Off;Off;Off;Off;Off;Off;On;Off;Off;Off;Off;Off;2;2;Off;Off;Off;On;Off;Off;Off;Off;Off;Off;2;2;4;4;female;1;3;5;2,333333333;3,5;2;1;1,25;2;2;1;4;1;1;2,1;Off;Off;Off;On;Off;Off;4;4;middle20%;5;2;1,666666667;1;;;;;;;;;1;Employed.fulltime;2,25
