StartDate;EndDate;Status;Progress;Duration;Finished;RecordedDate;ResponseId;ExternalReference;DistributionChannel;UserLanguage;Prolific.ID;English.fluent;Residence;Nationality;Timing1_First Click;Timing1_Last Click;Timing1_Page Submit;Timing1_Click Count;inequality.between_1;inequality.between_2;inequality.between_3;inequality.between_4;inequality.between_5;inequality.between_6;Position.Own.Country;Timing2_First Click;Timing2_Last Click;Timing2_Page Submit;Timing2_Click Count;Between.Inequality.Wide;Between.Redistribution;Between.Migration;Between.Fairness;Moralization;Moral.Outrage;Timing3_First Click;Timing3_Last Click;Timing3_Page Submit;Timing3_Click Count;CCIAS_01;CCIAS_02;CCIAS_03;CCIAS_04;CCIAS_05;CCIAS_06;CCIAS_07;Attention.check1;CCIAS_08;CCIAS_09;CCIAS_10;CCIAS_11;CCIAS_12;CCIAS_13;CCIAS_14;CCIAS_15;CCIAS_16;CCIAS_17;CCIAS_18;CCIAS_19;Timing4_First Click;Timing4_Last Click;Timing4_Page Submit;Timing4_Click Count;Social.mobility_1;Social.mobility_2;Social.mobility_3;Zero.sum_1;Zero.sum_2;Zero.sum_3;General.Trust.Inst;Trust.Inst.UN;Trust.Inst.WHO;Trust.Inst.IMF;Trust.Inst.WB;Horizontal.Trust;IOS.Country_1;IOS.Country_2;IOS.Country_3;IOS.Country_4;IOS.Country_5;IOS.Country_6;IOS.Country_7;IOS.World_1;IOS.World_2;IOS.World_3;IOS.World_4;IOS.World_5;IOS.World_6;IOS.World_7;Timing5_First Click;Timing5_Last Click;Timing5_Page Submit;Timing5_Click Count;Meritocracy_1;Meritocracy_2;Meritocracy_3;Meritocracy_4;Meritocracy_5;Meritocracy_6;Attention.check2;Attention.check3;Social.Dominance_1;Social.Dominance_2;Social.Dominance_3;Social.Dominance_4;Timing6_First Click;Timing6_Last Click;Timing6_Page Submit;Timing6_Click Count;ESJ_1;ESJ_2;ESJ_3;ESJ_4;ESJ_5;ESJ_6;ESJ_7;ESJ_8;ESJ_9;ESJ_10;ESJ_11;ESJ_12;Attantion.check4;Timing7_First Click;Timing7_Last Click;Timing7_Page Submit;Timing7_Click Count;Subjective.SES_1;Subjective.SES_2;Subjective.SES_3;Subjective.SES_4;Subjective.SES_5;Subjective.SES_6;Subjective.SES_7;Subjective.SES_8;Subjective.SES_9;Subjective.SES_10;Timing8_First Click;Timing8_Last Click;Timing8_Page Submit;Timing8_Click Count;Gender;Gender_3_TEXT;Age;Ethnicity;Education;Work.Status_1;Work.Status_2;Work.Status_3;Work.Status_4;Work.Status_5;Work.Status_6;Work.Status_7;Work.Status_8;Work.Status_9;Pol.Orientation;Timing9_First Click;Timing9_Last Click;Timing9_Page Submit;Timing9_Click Count;comments;PROLIFIC_PID;DeviceIdentifier;country;IOS.Country_1_orig;IOS.Country_2_orig;IOS.Country_3_orig;IOS.Country_4_orig;IOS.Country_5_orig;IOS.Country_6_orig;IOS.Country_7_orig;IOS.World_1_orig;IOS.World_2_orig;IOS.World_3_orig;IOS.World_4_orig;IOS.World_5_orig;IOS.World_6_orig;IOS.World_7_orig;identif.country;identif.country_fac;Subjective.SES_1_orig;Subjective.SES_2_orig;Subjective.SES_3_orig;Subjective.SES_4_orig;Subjective.SES_5_orig;Subjective.SES_6_orig;Subjective.SES_7_orig;Subjective.SES_8_orig;Subjective.SES_9_orig;Subjective.SES_10_orig;identif.world;identif.world_fac;subjective.ses;subjective.ses_fac;Gender_fac;Work.Status_1_orig;Work.Status_2_orig;Work.Status_3_orig;Work.Status_4_orig;Work.Status_5_orig;Work.Status_6_orig;Work.Status_7_orig;Work.Status_8_orig;Work.Status_9_orig;working.status;working.status_fac;Social.mobility_2_r;Social.mobility_3_r;zero.sum;social.mobility;meritocracy;Social.Dominance_1_r;Social.Dominance_3_r;social.dominance;ESJ_2_r;ESJ_5_r;ESJ_8_r;ESJ_9_r;ESJ_10_r;ESJ_11_r;eco.system.just;inequality.between_1_orig;inequality.between_2_orig;inequality.between_3_orig;inequality.between_4_orig;inequality.between_5_orig;inequality.between_6_orig;inequality.between;inequality.between_fac;Position.Own.Country_fac;ccias.rich;ccias.poor;ccias.fatal;trust.institution
2022-04-26 02:21:44 UTC;2022-04-26 02:26:05 UTC;0;100;260;1;2022-04-26 02:26:05 UTC;R_0qvWMHlP8PY0otX;;anonymous;EN;6065f19cfa664adc215c7d83;1;1;1;1,772;3,83;3,859;4;0;0;3;0;0;0;3;2,423;22,207;22,635;6;3;3;2;2;2;3;1,119;11,2;11,665;17;3;4;2;3;3;2;3;2;4;3;2;3;2;3;3;4;3;2;3;3;13,463;34,25;34,657;34;3;3;3;3;3;3;3;3;1;2;3;3;0;2;0;0;0;0;0;0;0;3;0;0;0;0;1,315;31,885;32,294;37;3;4;4;4;3;3;1;1;3;3;1;3;1,55;17,843;19,287;23;4;4;3;3;3;2;1;3;4;3;2;4;1;1,165;11,495;13,446;19;0;0;0;0;5;0;0;0;0;0;1,299;6,665;7,64;7;2;;25;white;14;1;0;0;0;0;0;0;0;0;4;1,428;30,015;30,333;14;;6065f19cfa664adc215c7d83;;uk;Off;On;Off;Off;Off;Off;Off;Off;Off;On;Off;Off;Off;Off;2;2;Off;Off;Off;Off;On;Off;Off;Off;Off;Off;3;3;5;5;female;1;;;;;;;;;1;Employed.fulltime;3;3;3;3;3,5;3;5;3,5;2;3;3;2;3;4;2,8;Off;Off;On;Off;Off;Off;3;3;middle20%;3;2,833333333;3;2,25
2022-04-26 02:25:36 UTC;2022-04-26 02:32:27 UTC;0;100;411;1;2022-04-26 02:32:28 UTC;R_1N9XyuSB9xAa1Hs;;anonymous;EN;5e7a35b598efeb0009e185a0;1;1;1;1,742;3,634;5,521;3;0;0;0;0;0;6;4;38,264;52,015;53,244;2;3;1;3;3;3;2;5,638;27,898;28,941;6;3;1;1;3;3;2;2;2;1;1;1;1;1;1;3;1;2;1;3;1;13,243;67,908;68,907;20;1;3;4;3;3;2;3;;3;;;3;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2,887;85,66;87,551;16;4;3;2;2;1;4;1;1;3;4;3;1;3,689;48,645;50,058;15;4;3;3;2;1;2;2;1;5;4;2;3;1;4,358;61,259;62,138;13;0;0;0;0;5;0;0;0;0;0;2,598;2,598;4,143;1;2;;31;white;19;1;0;0;0;0;0;0;0;0;3;1,327;34,057;35,338;5;;5e7a35b598efeb0009e185a0;;uk;Off;On;Off;Off;Off;Off;Off;Off;On;Off;Off;Off;Off;Off;2;2;Off;Off;Off;Off;On;Off;Off;Off;Off;Off;2;2;5;5;female;1;;;;;;;;;1;Employed.fulltime;3;2;2,666666667;2;2,666666667;3;3;2,75;3;5;5;1;2;4;3,1;Off;Off;Off;Off;Off;On;6;6;second.richest20%;1,888888889;1,333333333;2;3,25
2022-04-26 02:26:56 UTC;2022-04-26 02:34:41 UTC;0;100;464;1;2022-04-26 02:34:41 UTC;R_2dDYvMcv8EVhIyi;;anonymous;EN;615ed991c284df94dbcc3e88;1;1;1;1,811;3,257;4,018;3;0;0;0;0;0;6;5;3,042;105,612;106,076;26;5;4;4;1;5;5;11,433;42,457;43,591;18;5;5;5;5;5;4;5;2;5;5;1;2;2;1;3;1;4;1;4;4;1,444;66,591;67,399;49;1;2;4;4;5;5;5;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;3,484;66,767;67,5;50;5;4;5;2;2;4;2;1;5;1;5;1;8,904;49,412;50,124;29;4;5;4;5;5;1;2;5;5;5;1;1;1;5,637;52,733;53,363;30;0;0;0;4;0;0;0;0;0;0;1,581;4,411;4,866;5;1;;30;white;17;1;0;0;0;0;0;0;0;0;3;1,213;37,194;38,662;16;;615ed991c284df94dbcc3e88;;uk;On;Off;Off;Off;Off;Off;Off;On;Off;Off;Off;Off;Off;Off;1;1;Off;Off;Off;On;Off;Off;Off;Off;Off;Off;1;1;4;4;male;1;;;;;;;;;1;Employed.fulltime;4;2;4,666666667;2,333333333;3,666666667;1;1;1;1;1;1;1;1;5;2,1;Off;Off;Off;Off;Off;On;6;6;richest20%;4,888888889;1,666666667;4;1
2022-04-26 02:30:35 UTC;2022-04-26 02:34:43 UTC;0;100;247;1;2022-04-26 02:34:44 UTC;R_3hrKBfiCwrM4v59;;anonymous;EN;5b79bfd4db11320001c3ce3d;1;1;1;1,573;3,339;3,75;4;0;0;0;0;5;0;5;4,519;15,886;16,495;9;4;3;3;3;4;3;1,439;16,557;17,155;15;4;3;4;4;5;4;4;2;3;3;2;3;1;2;3;3;4;1;2;4;1,079;37,864;38,401;41;1;1;1;3;3;4;4;2;3;2;2;3;0;0;3;0;0;0;0;0;0;0;0;0;6;0;2,242;45,126;45,776;41;2;4;4;2;2;4;1;1;3;2;3;1;2,399;26,083;26,782;24;3;4;4;2;2;3;2;3;4;4;2;3;1;3,799;34,631;34,664;26;0;0;0;0;0;0;0;0;9;0;3,71;5,777;6,501;4;2;;37;white;24;1;0;0;0;0;0;0;0;0;6;1,359;45,043;45,856;17;;5b79bfd4db11320001c3ce3d;;uk;Off;Off;On;Off;Off;Off;Off;Off;Off;Off;Off;Off;On;Off;3;3;Off;Off;Off;Off;Off;Off;Off;Off;On;Off;6;6;9;9;female;1;;;;;;;;;1;Employed.fulltime;5;5;3,333333333;3,666666667;3;3;3;2,25;2;4;3;2;2;4;2,8;Off;Off;Off;Off;On;Off;5;5;richest20%;3,777777778;2,333333333;3,333333333;2,25
2022-04-26 02:26:50 UTC;2022-04-26 02:36:08 UTC;0;100;557;1;2022-04-26 02:36:09 UTC;R_2V2yhJP2YZIw9uU;;anonymous;EN;5f54d772f5bba984fdf8676e;1;1;1;1,456;2,855;3,69;3;0;0;0;0;5;0;4;44,187;70,744;72,949;15;5;2;4;2;5;3;17,013;44,362;45,401;17;4;4;3;4;5;5;4;2;4;4;1;1;1;3;3;1;1;1;1;1;7,585;87,806;89,959;38;1;2;1;3;3;2;3;;;;;1;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2,596;73,16;75,319;34;3;1;1;1;1;3;1;1;4;1;4;1;4,493;67,169;69,609;32;2;4;2;1;2;2;1;2;1;4;1;1;1;33,098;105,121;108,348;23;0;0;0;0;0;6;0;0;0;0;16,356;18,238;18,992;2;2;;24;mixed;15;1;0;0;0;0;0;0;0;0;7;0,903;31,695;32,747;12;;5f54d772f5bba984fdf8676e;;uk;Off;On;Off;Off;Off;Off;Off;Off;On;Off;Off;Off;Off;Off;2;2;Off;Off;Off;Off;Off;On;Off;Off;Off;Off;2;2;6;6;female;1;;;;;;;;;1;Employed.fulltime;4;5;2,666666667;3,333333333;1,666666667;2;2;1,5;2;4;4;5;2;5;2,1;Off;Off;Off;Off;On;Off;5;5;second.richest20%;4,111111111;1,666666667;1;3,25
2022-04-26 02:31:33 UTC;2022-04-26 02:36:15 UTC;0;100;281;1;2022-04-26 02:36:16 UTC;R_DqPBeHeJCicxIyt;;anonymous;EN;5d7c069627fe2b00019b73ec;1;1;1;1,418;3,454;4,813;3;0;0;0;0;0;6;4;4,067;29,058;30,322;4;5;2;5;3;3;3;3,154;21,735;22,55;7;5;4;5;5;5;4;4;2;3;4;2;2;1;1;1;1;1;1;1;2;3,223;51,856;52,788;26;2;3;4;4;4;4;5;5;5;4;4;2;0;0;0;4;0;0;0;0;2;0;0;0;0;0;2,217;42,848;44,585;17;4;4;3;3;3;3;1;1;4;2;3;2;4,92;39,811;40,502;15;3;5;4;2;3;3;1;1;4;2;1;4;1;3,324;47,089;48,742;15;0;0;0;0;0;0;7;0;0;0;4,714;4,714;5,729;1;2;;27;white;17;1;0;0;0;0;0;0;0;0;6;1,575;17,849;18,711;7;;5d7c069627fe2b00019b73ec;;uk;Off;Off;Off;On;Off;Off;Off;Off;On;Off;Off;Off;Off;Off;4;4;Off;Off;Off;Off;Off;Off;On;Off;Off;Off;2;2;7;7;female;1;;;;;;;;;1;Employed.fulltime;3;2;4;2,333333333;3,333333333;2;3;2,25;1;3;5;2;4;5;3;Off;Off;Off;Off;Off;On;6;6;second.richest20%;4,333333333;1,333333333;1,333333333;4,5
2022-04-26 02:30:50 UTC;2022-04-26 02:37:39 UTC;0;100;408;1;2022-04-26 02:37:40 UTC;R_2t4YTqJhYUCCDO5;;anonymous;EN;5adaf8f5cd58990001e45cd4;1;1;1;1,665;3,463;4,152;3;0;0;0;0;0;6;2;2,542;40,643;41,457;11;5;4;3;1;5;3;5,695;26,48;28,513;11;5;4;3;5;5;4;3;2;4;4;1;1;1;1;1;1;1;1;1;1;2,217;63,453;64,164;38;2;1;4;2;2;4;3;2;4;2;2;4;0;0;3;0;0;0;0;0;0;0;0;5;0;0;4,519;66,024;66,862;33;2;1;4;1;1;2;1;1;5;2;5;1;5,687;48,437;49,073;26;1;5;1;2;4;1;1;3;5;5;3;2;1;10,135;71,624;72,329;23;0;0;0;0;5;0;0;0;0;0;4,796;8,029;9,14;4;2;;43;white;21;0;0;0;0;0;0;0;0;9;3;1,684;50,269;51,354;10;;5adaf8f5cd58990001e45cd4;;uk;Off;Off;On;Off;Off;Off;Off;Off;Off;Off;Off;On;Off;Off;3;3;Off;Off;Off;Off;On;Off;Off;Off;Off;Off;5;5;5;5;female;;;;;;;;;1;9;Retired;5;2;2,666666667;3;1,833333333;1;1;1,25;1;2;3;1;1;3;1,5;Off;Off;Off;Off;Off;On;6;6;second.poorest20%;4,111111111;1;1;2,5
2022-04-26 02:29:51 UTC;2022-04-26 02:37:56 UTC;0;100;485;1;2022-04-26 02:37:57 UTC;R_1ovSABlrjIcaW22;;anonymous;EN;5f7c94621acf2a0d49b84148;1;1;1;1,825;3,303;3,936;3;0;0;0;0;5;0;5;3,481;51,388;51,989;13;4;1;4;2;4;3;11,184;45,332;45,86;13;4;3;4;3;2;2;2;2;3;4;3;2;1;2;2;2;1;1;1;1;3,978;82,981;83,436;55;2;2;2;1;1;1;5;4;2;4;3;2;0;0;0;0;0;6;0;0;0;0;4;0;0;0;3,478;96,734;97,658;52;4;3;4;3;2;3;1;1;5;1;5;1;7,714;52,374;53,483;27;1;3;2;3;3;3;3;3;4;4;3;3;1;9,33;75,711;76,433;24;0;0;0;0;0;0;0;0;9;0;1,974;20,231;22,112;13;1;;22;white;17;0;0;0;0;0;0;7;0;0;6;1,109;35,547;36,015;19;;5f7c94621acf2a0d49b84148;;uk;Off;Off;Off;Off;Off;On;Off;Off;Off;Off;On;Off;Off;Off;6;6;Off;Off;Off;Off;Off;Off;Off;Off;On;Off;4;4;9;9;male;;;;;;;1;;;7;Student;4;4;1;3,333333333;3,166666667;1;1;1;3;3;3;2;2;3;2,6;Off;Off;Off;Off;On;Off;5;5;richest20%;3;2;1;3,25
2022-04-26 02:32:47 UTC;2022-04-26 02:38:12 UTC;0;100;324;1;2022-04-26 02:38:12 UTC;R_2fBD9Tpm8tFeC1n;;anonymous;EN;5a6107bb31b87a0001c6c49b;1;1;1;2,677;4,243;4,901;3;0;0;0;0;0;6;2;11,721;40,44;41,286;9;5;4;2;2;4;3;6,235;28,665;29,499;11;4;4;4;4;4;3;4;2;3;3;4;2;1;1;2;2;2;1;1;4;5,221;57,564;58,444;36;1;1;1;3;3;2;3;2;1;1;2;3;0;0;3;0;0;0;0;0;2;0;0;0;0;0;4,382;50,444;52,623;27;4;4;4;3;4;4;1;1;5;2;5;1;1,887;37,561;38,225;21;5;4;3;4;3;3;3;4;3;3;3;1;1;2,343;39,211;40,023;21;0;0;0;0;5;0;0;0;0;0;9,912;12,987;13,772;3;2;;32;white;15;1;0;0;0;0;0;0;0;0;6;1,768;32,288;33,06;10;;5a6107bb31b87a0001c6c49b;;uk;Off;Off;On;Off;Off;Off;Off;Off;On;Off;Off;Off;Off;Off;3;3;Off;Off;Off;Off;On;Off;Off;Off;Off;Off;2;2;5;5;female;1;;;;;;;;;1;Employed.fulltime;5;5;2,666666667;3,666666667;3,833333333;1;1;1,25;2;3;2;3;3;3;2,9;Off;Off;Off;Off;Off;On;6;6;second.poorest20%;3,666666667;2;2,333333333;1,5
2022-04-26 02:31:45 UTC;2022-04-26 02:38:48 UTC;0;100;423;1;2022-04-26 02:38:49 UTC;R_1Dv8WTerfVcpcu2;;anonymous;EN;6147513d56b91288975a2587;1;1;1;1,922;3,996;5,548;3;0;0;0;0;5;0;3;1,474;31,973;34,226;7;4;4;4;3;3;3;6,088;33,594;34,374;12;4;3;3;4;3;3;3;2;4;4;4;2;2;4;2;2;1;1;2;1;1,333;76,447;77,107;40;1;4;3;4;4;4;4;3;4;;3;3;0;0;0;4;0;0;0;0;0;3;0;0;0;0;3,399;60,434;61,508;32;4;4;4;4;4;4;1;1;5;1;4;1;4,497;48,608;49,43;22;3;4;4;4;3;4;4;3;3;4;4;3;1;10,039;112,031;112,863;25;0;0;0;0;5;0;0;0;0;0;7,165;8,125;9,368;2;2;;34;white;18;0;2;0;0;0;0;0;0;0;6;1,364;23,978;24,969;10;;6147513d56b91288975a2587;;uk;Off;Off;Off;On;Off;Off;Off;Off;Off;On;Off;Off;Off;Off;4;4;Off;Off;Off;Off;On;Off;Off;Off;Off;Off;3;3;5;5;female;;1;;;;;;;;2;Employed.parttime;2;3;4;2;4;1;2;1,25;2;3;3;3;2;2;3,2;Off;Off;Off;Off;On;Off;5;5;middle20%;3,444444444;2,666666667;1,333333333;3,25
