"","country","ccias.rich","ccias.poor","ccias.fatal","Between.Inequality.Wide","Between.Redistribution","Between.Migration","Between.Fairness","Moralization","Moral.Outrage","Position.Own.Country","General.Trust.Inst","trust.institution","Horizontal.Trust","zero.sum","meritocracy","social.dominance","eco.system.just","identif.country","identif.world","subjective.ses","Pol.Orientation","Age","Gender","Education","Gender_fac"
"1","za",5,2,1,5,3,5,3,5,5,5,3,325,3,5,3,1,1,6,2,4,4,39,2,14,3
"2","za",4,2,1,5,5,4,3,5,3,5,4,5,4,4,1,15,32,7,4,4,8,30,1,16,2
"3","uk",4,3,2,3,4,4,3,5,3,5,4,325,1,4,4,275,29,4,2,6,4,22,2,20,1
"4","za",3,1,1,5,2,5,1,4,3,3,5,225,4,2,2,1,27,3,2,7,6,47,2,17,1
"5","uk",3,1,4,5,5,3,2,5,2,3,1,325,4,3,3,125,21,3,2,4,6,31,2,16,2
"6","za",5,2,2,5,3,5,3,4,4,2,4,NA,3,4,4,1,27,7,5,8,6,32,3,17,2
"7","za",1,4,2,1,3,5,2,5,4,5,5,325,4,2,2,15,32,7,2,5,4,24,1,16,1
"8","ita",4,5,2,5,3,4,5,4,4,4,5,2,2,5,3,1,29,4,2,7,7,28,2,16,1
"9","uk",5,3,3,5,5,5,2,1,4,1,5,4,2,4,3,1,26,3,6,5,6,26,2,15,1
"10","za",4,2,2,4,4,5,2,5,4,2,2,375,4,4,2,1,36,7,3,4,4,24,1,15,2
"11","ita",4,5,2,5,5,4,1,5,4,2,4,4,2,2,4,1,25,4,2,5,5,22,2,16,2
"12","za",4,4,2,5,3,3,2,4,5,1,3,5,3,3,3,175,26,4,2,5,5,66,2,6,1
"13","ita",4,3,3,5,2,3,1,4,1,5,5,1,1,3,4,15,31,4,6,2,6,64,1,19,1
"14","za",5,3,3,2,4,5,1,4,1,1,4,325,3,4,3,1,17,3,2,4,9,23,2,17,1
"15","uk",4,3,3,4,3,4,1,5,3,2,5,325,4,5,3,1,24,5,1,6,3,48,1,16,1
"16","ita",4,3,2,3,1,3,1,2,4,5,4,275,2,3,4,3,24,5,3,3,3,41,1,16,1
"17","uk",5,1,1,5,5,5,1,3,5,3,5,125,2,4,2,2,27,2,2,7,6,20,2,13,2
"18","za",5,2,1,5,1,5,2,5,5,4,5,275,4,4,4,35,17,4,3,4,5,48,2,13,1
"19","uk",5,1,3,4,1,3,1,4,4,5,4,3,3,3,3,3,31,2,2,7,5,42,1,15,2
"20","uk",5,1,5,5,1,3,1,3,4,3,4,NA,2,4,2,35,17,5,5,6,6,22,1,13,2
"21","za",5,1,2,4,4,4,3,4,4,5,4,375,3,3,4,15,26,1,3,6,7,21,1,13,1
"22","ita",3,3,2,5,3,5,1,3,1,5,4,3,3,3,4,15,33,2,3,7,8,35,1,16,1
"23","uk",5,2,2,5,3,4,2,4,4,3,4,3,2,5,1,1,17,7,3,7,5,22,2,15,1
"24","uk",4,4,2,5,2,5,2,5,2,3,1,425,4,3,3,125,17,3,2,4,3,23,2,13,2
"25","za",3,2,2,5,5,5,2,3,3,5,5,3,1,1,4,35,2,3,2,5,1,34,2,15,2
"26","uk",5,1,2,5,3,4,3,4,5,5,3,45,2,4,4,1,24,3,4,3,6,27,2,14,2
"27","uk",4,1,2,4,4,4,1,2,4,2,3,1,1,3,3,25,19,7,3,3,7,28,2,18,1
"28","za",4,2,1,5,5,5,1,4,1,1,5,325,3,3,4,1,24,3,5,7,6,21,1,12,1
"29","ita",3,2,3,5,5,5,1,5,3,3,1,45,1,4,3,2,19,3,4,6,4,25,2,12,2
"30","ita",4,2,2,4,3,3,1,4,4,3,1,NA,3,4,3,125,22,3,1,6,1,36,1,18,1
"31","uk",4,2,2,4,2,3,1,5,2,3,5,NA,2,4,1,15,13,2,4,5,1,22,1,18,1
"32","ita",5,3,1,2,4,5,2,5,3,3,4,375,3,4,4,225,15,4,2,7,9,19,3,7,1
"33","ita",5,5,2,4,5,1,3,4,4,5,5,35,1,5,3,1,22,3,2,4,3,56,2,16,1
"34","uk",3,1,2,5,1,5,4,5,4,5,4,325,2,3,5,15,23,3,3,4,3,28,1,15,2
"35","ita",3,2,3,2,4,5,3,4,3,4,3,3,4,4,4,175,24,7,5,7,3,25,2,15,1
"36","uk",5,1,3,4,5,5,2,4,3,3,5,NA,2,5,5,125,18,4,1,4,6,19,2,14,2
