"country","ccias.rich","ccias.poor","ccias.fatal","Between.Inequality.Wide","Between.Redistribution","Between.Migration","Between.Fairness","Moralization","Moral.Outrage","Position.Own.Country","General.Trust.Inst","trust.institution","Horizontal.Trust","zero.sum","meritocracy","social.dominance","eco.system.just","identif.country","identif.world","subjective.ses","Pol.Orientation","Age","Gender","Education","Gender_fac"
"uk",5,3,2,5,5,4,1,4,4,5,5,35,2,4,4,15,23,7,4,7,4,23,1,16,1
"za",4,4,3,4,3,5,2,4,3,4,5,NA,3,3,4,1,23,4,1,3,10,33,1,15,1
"za",3,3,1,5,5,5,1,4,3,3,3,NA,3,5,3,1,17,1,3,5,1,23,2,14,2
"ita",5,2,3,4,4,3,3,4,3,4,4,4,3,4,2,125,25,5,4,4,8,59,1,16,1
"za",4,2,2,5,2,5,1,4,5,3,5,25,2,4,3,1,23,4,4,4,7,29,1,14,1
"za",3,3,2,4,5,4,1,5,4,3,3,35,3,2,3,125,24,7,2,7,6,43,1,17,1
"ita",5,2,2,5,5,5,2,5,5,3,5,3,3,4,4,15,25,7,7,5,6,34,2,22,2
"za",5,3,2,5,2,5,3,5,4,2,1,1,1,5,4,1,2,1,2,3,2,25,1,18,1
"za",5,2,2,4,5,4,1,4,4,3,4,1,3,4,4,3,15,3,3,6,2,19,1,15,1
"ita",4,2,2,5,4,4,1,5,3,4,3,275,4,5,2,125,27,4,5,6,3,22,2,23,2
"uk",4,2,1,5,3,5,1,4,3,4,4,325,2,3,3,3,17,2,3,5,6,54,2,18,2
"za",3,4,1,4,3,3,2,4,4,2,4,25,1,3,4,125,19,5,2,3,7,28,2,11,2
"za",5,3,2,4,3,5,2,4,4,3,5,275,1,5,4,15,28,5,5,5,3,22,1,13,1
"ita",5,1,1,5,5,4,1,4,4,3,3,325,3,4,2,15,18,2,4,6,5,28,2,16,2
"ita",5,2,1,4,1,5,1,5,3,5,5,325,1,5,3,3,18,1,5,6,3,21,1,18,1
"ita",5,1,1,5,4,5,1,5,4,3,4,275,2,4,2,1,2,4,4,7,2,23,2,20,2
