model,term,estimate,std.error,statistic,p.value,op,std.lv,std.all,std.nox,parameter,conf.low,conf.high,method,alternative
lm1,(Intercept),3.4752666940451866,0.22248489454742346,15.620236605790875,1.1458378650056257e-47,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm1,ccias.rich,0.25850461187245494,0.042358980249334904,6.102710932860897,1.6921551013861011e-9,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm1,ccias.poor,-0.08409833495597505,0.0348262450899023,-2.4147976544378866,0.015988787071901236,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm1,ccias.fatal,-0.09299860139628371,0.03263015232628215,-2.8500817423821045,0.004494011103703963,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm1,countryuk,-0.12385737209277055,0.06756485385507721,-1.8331627321867314,0.06718543328596263,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm1,countryza,-0.09627123148546628,0.07393903287168958,-1.302035308637739,0.19331499369562372,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm2,(Intercept),3.2934271028788076,0.2507107192327837,13.13636334719648,1.5832137151085658e-35,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm2,ccias.rich,0.25799597059719304,0.04239161236920777,6.08601457170794,1.8712005610753244e-9,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm2,ccias.poor,-0.08119107980564672,0.03501559463895572,-2.3187120094005094,0.020686717835759608,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm2,ccias.fatal,-0.08926206841284381,0.03272703111225442,-2.7274722264501476,0.006535904569644614,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm2,countryuk,-0.16451487993651984,0.07709549859885174,-2.1339103180658348,0.03318370419644595,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm2,countryza,-0.1021747042081262,0.07411753085341455,-1.3785497578191257,0.16845707895785855,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm2,Gender_fac,0.060751933428877,0.053948652853365815,1.1261065886854065,0.26049148491630586,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm2,Age,0.0029241069238547216,0.0027406069715135654,1.066955953279143,0.28634542117893896,NA,NA,NA,NA,NA,NA,NA,NA,NA
lm3,(Intercept),2.387610280363106,0.24000884054890526,9.948009727069183,5.955587523522691e-22,NA,NA,NA,NA,NA,NA,NA,NA,NA
